"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"g__Bacteroides"	30	72	20	78	33	138	11	62	6	35	1169	234	56	350	6	121	523	46	21	0	52	190	92	5	25	69	164	34	2	61	35	236	51	119
"g__Prevotellamassilia"	111	0	75	22	15	23	46	23	0	45	0	108	43	0	32	516	0	180	60	0	275	227	76	0	103	0	94	41	1	0	0	0	239	70
"g__Parabacteroides"	12	53	10	17	13	49	13	49	47	15	153	105	28	75	17	43	387	39	51	0	40	200	84	101	16	129	91	26	8	18	20	63	264	40
"g__Sutterella"	49	26	71	26	18	23	51	37	111	66	51	31	14	15	59	289	52	154	70	1	25	44	24	95	74	138	37	21	24	57	147	85	160	28
"g__Blautia"	59	131	25	59	95	131	37	9	107	46	46	287	52	198	7	4	39	1	80	0	7	114	6	17	33	67	5	4	10	20	4	25	47	245
"g__Mediterraneibacter"	13	10	35	82	130	107	1	262	0	39	5	80	4	23	0	1	3	0	0	0	53	10	244	0	13	15	380	231	0	27	0	0	2	37
"g__Bifidobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	625	23	0	849	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"g__Duodenibacillus"	13	41	8	4	7	18	14	0	2	18	12	13	16	3	20	461	411	101	17	0	7	22	5	4	48	36	4	1	4	2	0	25	45	15
"g__Clostridium"	34	30	38	52	61	30	15	24	19	26	32	178	21	97	4	24	14	6	28	20	13	143	13	4	42	79	10	87	3	29	5	10	109	83
"g__Wansuia"	37	37	25	21	34	27	16	21	21	16	21	57	21	33	7	5	4	2	63	0	14	167	4	17	22	139	19	20	10	26	24	44	33	110
"g__Succinatimonas"	41	76	2	19	30	41	23	22	35	38	23	32	72	23	4	19	8	2	31	0	14	128	3	16	43	65	9	11	4	29	63	15	4	55
"g__Collinsella"	11	54	14	16	22	6	11	4	8	12	10	39	2	29	3	17	383	5	6	0	2	12	2	9	4	3	1	2	0	19	115	18	61	8
"g__Lacrimispora"	37	24	23	43	52	48	11	28	24	28	31	63	14	102	4	6	1	0	11	0	2	122	1	3	16	48	6	19	2	8	0	13	19	28
"g__Xylanibacter"	0	0	4	0	0	0	35	0	0	0	209	0	0	51	0	2	48	0	0	0	1	0	0	0	0	425	0	0	0	1	0	0	0	0
"g__Enterocloster"	19	14	17	28	49	17	11	14	11	22	23	65	9	102	3	3	2	0	15	0	5	69	6	3	25	78	4	21	2	20	0	1	58	41
"g__Streptococcus"	0	2	1	3	0	1	3	20	0	0	0	3	2	3	0	0	0	0	0	639	5	12	3	2	2	1	0	7	1	0	1	0	0	1
"g__Leuconostoc"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Faecalicatena"	5	5	4	8	13	15	1	0	0	7	12	90	3	125	1	0	4	0	10	0	0	9	0	0	2	20	0	0	0	20	0	13	10	35
"g__Allisonella"	25	0	24	9	14	4	9	0	0	11	0	2	4	0	3	4	0	0	44	0	32	30	19	0	28	0	4	0	16	21	0	24	16	4
"g__Flavonifractor"	5	15	3	23	20	23	0	8	0	11	14	59	2	30	1	3	5	0	4	0	1	23	4	0	4	4	3	11	0	6	0	0	24	20
"g__Butyricicoccus"	11	11	11	11	15	25	3	22	0	11	13	0	2	27	0	4	1	1	0	0	0	4	0	0	13	87	0	13	4	22	0	10	2	0
"g__Prevotella"	0	0	2	0	0	0	8	0	0	0	36	0	0	16	0	1	72	0	0	0	6	7	3	0	1	156	0	0	0	0	0	0	0	0
"g__Bilifractor"	11	12	1	5	5	5	6	2	19	5	4	5	2	17	1	2	1	0	38	0	4	27	1	10	13	39	1	0	6	7	1	12	9	4
"g__Coprobacter"	1	2	0	1	2	8	0	2	0	2	34	8	1	6	0	0	29	6	0	0	13	11	26	0	4	6	42	1	0	1	20	20	1	4
"g__Lachnoclostridium"	3	4	8	1	8	7	2	10	9	2	5	6	4	29	0	2	0	0	3	0	3	23	3	1	3	20	3	8	2	7	0	4	12	7
"g__Paraprevotella"	5	90	1	1	0	4	1	6	0	1	11	11	2	0	0	3	3	4	0	0	3	8	1	0	2	2	1	2	0	1	2	2	4	3
"g__Peptococcus"	7	23	1	1	3	15	3	0	0	0	0	19	8	0	1	0	0	0	2	0	1	11	1	0	2	0	4	0	0	0	0	0	6	29
"g__Butyrivibrio"	1	4	0	0	4	0	0	3	7	5	3	1	1	7	0	1	5	0	3	0	2	27	0	2	2	23	2	3	3	1	2	9	3	3
"g__Enterococcus"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	112	2	0	1	0	0	0	8	2	0	0	0	0	0	0
"g__Porcincola"	1	1	3	1	6	0	1	1	5	3	1	0	1	3	0	2	0	0	7	0	4	7	0	3	2	37	1	0	3	2	0	7	5	2
"g__Barnesiella"	2	6	1	1	0	6	0	6	0	0	3	3	3	1	0	4	12	0	0	0	1	28	2	1	1	0	5	4	0	1	0	0	11	6
"g__Waltera"	1	2	2	3	3	2	2	1	5	3	2	3	2	4	0	1	3	0	9	0	1	23	0	4	0	12	1	1	2	2	0	4	2	1
"g__Aggregatibacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	81	0	0	0	4	0	1	0	0	0	0	4	0	0	0
"g__Duncaniella"	1	2	1	1	0	0	2	0	0	0	20	1	1	8	0	7	20	2	1	0	0	6	1	1	0	10	0	1	0	2	0	2	2	2
"g__Colibacter"	0	0	1	0	0	0	1	0	3	0	4	0	0	11	0	1	1	0	1	0	1	2	0	7	2	53	0	0	1	1	0	3	0	0
"g__Succinivibrio"	0	0	1	0	0	0	8	0	0	0	0	0	0	0	14	0	0	40	0	0	0	11	0	8	0	0	0	0	0	0	0	6	0	0
"g__Hominisplanchenecus"	1	2	1	1	7	0	1	2	1	1	2	1	2	10	0	1	1	0	3	0	1	17	1	0	2	14	1	0	1	1	0	2	2	3
"g__Hoylesella"	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	3	0	0	2	0	0	0	0	0	64	0	0	0	0	0	0	0	0
"g__Marvinbryantia"	1	1	1	1	1	2	2	0	3	1	1	3	0	4	0	3	1	0	4	0	1	9	3	1	4	12	1	1	2	1	0	4	3	3
"g__Gemella"	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	54	1	4	1	1	0	0	0	0	0	0	4	0	0	1
"g__Canicola"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	9	1	5	1	0	0	0	0	0	0	0	0	0
"g__Paramuribaculum"	1	0	1	1	1	2	1	0	0	0	0	6	2	0	0	2	0	1	3	0	0	14	0	4	1	0	0	0	1	6	0	1	10	5
"g__Pseudomonas"	24	35	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Asteroleplasma"	0	3	0	0	0	3	0	0	0	0	8	0	2	3	0	0	28	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0
"g__Thermophilibacter"	1	6	1	0	1	0	0	0	0	0	0	4	0	1	0	1	31	1	0	0	1	1	0	0	0	0	1	0	0	1	2	2	2	1
"g__Clostridioides"	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
"g__Neisseria"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	39	0	0	3	3	1	3	0	0	1	0	1	0	0	0
"g__Anaeromassilibacillus"	0	3	0	1	0	1	0	3	0	2	1	3	3	3	0	0	1	0	0	0	1	7	8	0	0	1	1	1	0	1	1	0	0	4
"g__Kineothrix"	0	2	1	0	2	0	1	1	0	1	0	0	0	0	1	0	0	0	2	0	1	9	1	3	2	6	0	2	1	1	0	2	3	0
"g__Eubacterium"	0	2	0	1	1	0	0	0	0	1	1	7	0	14	0	0	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1
"g__Parolsenella"	0	1	1	0	0	1	2	0	1	0	0	1	1	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	4
"g__Marseilla"	0	0	0	0	0	0	14	0	0	2	0	1	2	1	0	0	0	0	0	0	5	4	1	0	0	0	0	0	0	0	0	0	1	0
"g__Hungatella"	0	0	0	1	2	1	0	2	1	1	0	3	2	7	0	1	0	0	0	0	0	5	0	0	0	2	0	0	0	1	0	0	0	0
"g__Abiotrophia"	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	1	8	1	3	0	0	0	0	1	0	2	0	0	0
"g__Anaerocolumna"	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	2	0	0	1	0	1	2	10	0	1	1	0	0	3	1	0
"g__Enterobacter"	0	0	0	0	0	5	0	14	0	1	0	0	3	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Muribaculum"	0	0	0	0	0	0	0	0	0	0	8	0	0	5	0	0	7	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0
"g__Catenibacillus"	0	1	0	0	0	4	0	1	0	0	0	3	0	3	0	0	1	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	1	5
"g__Roseburia"	0	0	0	0	2	0	0	0	2	1	0	0	0	2	0	0	0	0	1	0	1	2	0	2	0	7	0	0	0	0	0	2	2	0
"g__Pasteurella"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	8	1	3	0	0	0	0	0	0	1	0	0	1
"g__Gluceribacter"	0	0	0	0	2	0	0	1	1	0	0	1	0	3	0	0	0	0	1	0	1	5	0	1	0	5	0	0	0	0	0	1	0	1
"g__Veillonella"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0	0	0	0	2	0	0	0
"g__Sodaliphilus"	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	1	0	0	5	0	1	0	0	0	0	1	2	0	0	2	3
"g__Mannheimia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	7	0	2	0	0	0	0	0	0	0	0	0	0
"g__Eisenbergiella"	1	0	0	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	0	2	0	0	5	0
"g__Alloprevotella"	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	7	5	1	0	1	0	0	0	0	0	0	0	1	0
"g__Qiania"	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	2	0	8	0	0	1	0	0	1	1	0
"g__Caecibacter"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	1	3	1	6	0	0	1	1	0	0	0	0
"g__Alistipes"	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	2	4	0	0	0	4	0	0	1	0	0	3	0
"g__Drancourtella"	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	6	0	1	0	3	0	0	1	0	0	0	0	0
"g__Jingyaoa"	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	1	1	0	0	0
"g__Granulicatella"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	0	0	0	0	1	2	0	0	2	0	0	0
"g__Olsenella"	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Murimonas"	0	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	1	0	0	0	0
"g__Actinobacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"g__Haemophilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	2	0	0	0	0	0	0	0	0	0	0
"g__Leyella"	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"g__Faecalimonas"	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
"g__Caecibacteroides"	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Salmonella"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0
"g__Glaesserella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"g__Corynebacterium"	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
"g__Bariatricus"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0
"g__Cuneatibacter"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0
"g__Mediterranea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Proteus"	1	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Caproiciproducens"	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
"g__Vescimonas"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
"g__Coprococcus"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
"g__Sellimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0
"g__Campylobacter"	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"g__Acetatifactor"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
"g__Diplocloster"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
"g__Parvimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
"g__Leptotrichia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Atlantibacter"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
"g__Fusicatenibacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"g__Merdimonas"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"g__Pelistega"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
"g__Paraeggerthella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"g__Fusimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"g__Herbinix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"g__Tyzzerella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Selenomonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"g__Anaeroglobus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"g__Metaprevotella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"g__Brachymonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"g__Kingella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Intestinirhabdus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"g__Pseudescherichia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
"g__Bibersteinia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
