"ID"	"Level.1"	"Level.2"	"Level.3"
"ko00365"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Furfural degradation"
"ko00380"	"Metabolism"	"Amino acid metabolism"	"Tryptophan metabolism"
"ko00400"	"Metabolism"	"Amino acid metabolism"	"Phenylalanine, tyrosine and tryptophan biosynthesis"
"ko00401"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Novobiocin biosynthesis"
"ko00404"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Staurosporine biosynthesis"
"ko00405"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Phenazine biosynthesis"
"ko00410"	"Metabolism"	"Metabolism of other amino acids"	"beta-Alanine metabolism"
"ko00430"	"Metabolism"	"Metabolism of other amino acids"	"Taurine and hypotaurine metabolism"
"ko00440"	"Metabolism"	"Metabolism of other amino acids"	"Phosphonate and phosphinate metabolism"
"ko00450"	"Metabolism"	"Metabolism of other amino acids"	"Selenocompound metabolism"
"ko00460"	"Metabolism"	"Metabolism of other amino acids"	"Cyanoamino acid metabolism"
"ko00471"	"Metabolism"	"Metabolism of other amino acids"	"D-Glutamine and D-glutamate metabolism"
"ko00472"	"Metabolism"	"Metabolism of other amino acids"	"D-Arginine and D-ornithine metabolism"
"ko00473"	"Metabolism"	"Metabolism of other amino acids"	"D-Alanine metabolism"
"ko00480"	"Metabolism"	"Metabolism of other amino acids"	"Glutathione metabolism"
"ko00500"	"Metabolism"	"Carbohydrate metabolism"	"Starch and sucrose metabolism"
"ko00510"	"Metabolism"	"Glycan biosynthesis and metabolism"	"N-Glycan biosynthesis"
"ko00511"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Other glycan degradation"
"ko00513"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Various types of N-glycan biosynthesis"
"ko00514"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Other types of O-glycan biosynthesis"
"ko00515"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Mannose type O-glycan biosynthesis"
"ko00520"	"Metabolism"	"Carbohydrate metabolism"	"Amino sugar and nucleotide sugar metabolism"
"ko00521"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Streptomycin biosynthesis"
"ko00522"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Biosynthesis of 12-, 14- and 16-membered macrolides"
"ko00523"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Polyketide sugar unit biosynthesis"
"ko00524"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Neomycin, kanamycin and gentamicin biosynthesis"
"ko00525"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Acarbose and validamycin biosynthesis"
"ko00531"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Glycosaminoglycan degradation"
"ko00532"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"ko00540"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Lipopolysaccharide biosynthesis"
"ko00550"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Peptidoglycan biosynthesis"
"ko00561"	"Metabolism"	"Lipid metabolism"	"Glycerolipid metabolism"
"ko00562"	"Metabolism"	"Carbohydrate metabolism"	"Inositol phosphate metabolism"
"ko00564"	"Metabolism"	"Lipid metabolism"	"Glycerophospholipid metabolism"
"ko00565"	"Metabolism"	"Lipid metabolism"	"Ether lipid metabolism"
"ko00571"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Lipoarabinomannan (LAM) biosynthesis"
"ko00590"	"Metabolism"	"Lipid metabolism"	"Arachidonic acid metabolism"
"ko00591"	"Metabolism"	"Lipid metabolism"	"Linoleic acid metabolism"
"ko00592"	"Metabolism"	"Lipid metabolism"	"alpha-Linolenic acid metabolism"
"ko00600"	"Metabolism"	"Lipid metabolism"	"Sphingolipid metabolism"
"ko00601"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Glycosphingolipid biosynthesis - lacto and neolacto series"
"ko00603"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Glycosphingolipid biosynthesis - globo and isoglobo series"
"ko00604"	"Metabolism"	"Glycan biosynthesis and metabolism"	"Glycosphingolipid biosynthesis - ganglio series"
"ko00620"	"Metabolism"	"Carbohydrate metabolism"	"Pyruvate metabolism"
"ko00621"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Dioxin degradation"
"ko00622"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Xylene degradation"
"ko00623"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Toluene degradation"
"ko00624"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Polycyclic aromatic hydrocarbon degradation"
"ko00625"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Chloroalkane and chloroalkene degradation"
"ko00626"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Naphthalene degradation"
"ko00627"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Aminobenzoate degradation"
"ko00630"	"Metabolism"	"Carbohydrate metabolism"	"Glyoxylate and dicarboxylate metabolism"
"ko00633"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Nitrotoluene degradation"
"ko00640"	"Metabolism"	"Carbohydrate metabolism"	"Propanoate metabolism"
"ko00642"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Ethylbenzene degradation"
"ko00643"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Styrene degradation"
"ko00650"	"Metabolism"	"Carbohydrate metabolism"	"Butanoate metabolism"
"ko00660"	"Metabolism"	"Carbohydrate metabolism"	"C5-Branched dibasic acid metabolism"
"ko00670"	"Metabolism"	"Metabolism of cofactors and vitamins"	"One carbon pool by folate"
"ko00680"	"Metabolism"	"Energy metabolism"	"Methane metabolism"
"ko00710"	"Metabolism"	"Energy metabolism"	"Carbon fixation in photosynthetic organisms"
"ko00720"	"Metabolism"	"Energy metabolism"	"Carbon fixation pathways in prokaryotes"
"ko00730"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Thiamine metabolism"
"ko00740"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Riboflavin metabolism"
"ko00750"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Vitamin B6 metabolism"
"ko00760"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Nicotinate and nicotinamide metabolism"
"ko00770"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Pantothenate and CoA biosynthesis"
"ko00780"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Biotin metabolism"
"ko00785"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Lipoic acid metabolism"
"ko00790"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Folate biosynthesis"
"ko00791"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Atrazine degradation"
"ko00830"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Retinol metabolism"
"ko00860"	"Metabolism"	"Metabolism of cofactors and vitamins"	"Porphyrin and chlorophyll metabolism"
"ko00900"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Terpenoid backbone biosynthesis"
"ko00901"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Indole alkaloid biosynthesis"
"ko00903"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Limonene and pinene degradation"
"ko00906"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Carotenoid biosynthesis"
"ko00908"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Zeatin biosynthesis"
"ko00909"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Sesquiterpenoid and triterpenoid biosynthesis"
"ko00910"	"Metabolism"	"Energy metabolism"	"Nitrogen metabolism"
"ko00920"	"Metabolism"	"Energy metabolism"	"Sulfur metabolism"
"ko00930"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Caprolactam degradation"
"ko00940"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Phenylpropanoid biosynthesis"
"ko00941"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Flavonoid biosynthesis"
"ko00944"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Flavone and flavonol biosynthesis"
"ko00945"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
"ko00950"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Isoquinoline alkaloid biosynthesis"
"ko00960"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Tropane, piperidine and pyridine alkaloid biosynthesis"
"ko00965"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Betalain biosynthesis"
"ko00966"	"Metabolism"	"Biosynthesis of other secondary metabolites"	"Glucosinolate biosynthesis"
"ko00970"	"Genetic Information Processing"	"Translation"	"Aminoacyl-tRNA biosynthesis"
"ko00980"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Metabolism of xenobiotics by cytochrome P450"
"ko00981"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Insect hormone biosynthesis"
"ko00982"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Drug metabolism - cytochrome P450"
"ko00983"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Drug metabolism - other enzymes"
"ko00984"	"Metabolism"	"Xenobiotics biodegradation and metabolism"	"Steroid degradation"
"ko01040"	"Metabolism"	"Lipid metabolism"	"Biosynthesis of unsaturated fatty acids"
"ko01051"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Biosynthesis of ansamycins"
"ko01052"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Type I polyketide structures"
"ko01053"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Biosynthesis of siderophore group nonribosomal peptides"
"ko01054"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Nonribosomal peptide structures"
"ko01055"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Biosynthesis of vancomycin group antibiotics"
"ko01056"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Biosynthesis of type II polyketide backbone"
"ko01057"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Biosynthesis of type II polyketide products"
"ko01059"	"Metabolism"	"Metabolism of terpenoids and polyketides"	"Biosynthesis of enediyne antibiotics"
"ko01062"	"Metabolism"	"Chemical structure transformation maps"	"Biosynthesis of terpenoids and steroids"
"ko01100"	"Metabolism"	"Global and overview maps"	"Metabolic pathways"
"ko01110"	"Metabolism"	"Global and overview maps"	"Biosynthesis of secondary metabolites"
"ko01120"	"Metabolism"	"Global and overview maps"	"Microbial metabolism in diverse environments"
"ko01130"	"Metabolism"	"Global and overview maps"	"Biosynthesis of antibiotics"
"ko01200"	"Metabolism"	"Global and overview maps"	"Carbon metabolism"
"ko01210"	"Metabolism"	"Global and overview maps"	"2-Oxocarboxylic acid metabolism"
"ko01212"	"Metabolism"	"Global and overview maps"	"Fatty acid metabolism"
"ko01220"	"Metabolism"	"Global and overview maps"	"Degradation of aromatic compounds"
"ko01230"	"Metabolism"	"Global and overview maps"	"Biosynthesis of amino acids"
"ko01501"	"Human Diseases"	"Drug resistance: Antimicrobial"	"beta-Lactam resistance"
"ko01502"	"Human Diseases"	"Drug resistance: Antimicrobial"	"Vancomycin resistance"
"ko01503"	"Human Diseases"	"Drug resistance: Antimicrobial"	"Cationic antimicrobial peptide (CAMP) resistance"
"ko01523"	"Human Diseases"	"Drug resistance: Antineoplastic"	"Antifolate resistance"
"ko01524"	"Human Diseases"	"Drug resistance: Antineoplastic"	"Platinum drug resistance"
"ko02010"	"Environmental Information Processing"	"Membrane transport"	"ABC transporters"
"ko02020"	"Environmental Information Processing"	"Signal transduction"	"Two-component system"
"ko02024"	"Cellular Processes"	"Cellular community - prokaryotes"	"Quorum sensing"
"ko02025"	"Cellular Processes"	"Cellular community - prokaryotes"	"Biofilm formation - Pseudomonas aeruginosa"
"ko02026"	"Cellular Processes"	"Cellular community - prokaryotes"	"Biofilm formation - Escherichia coli"
"ko02030"	"Cellular Processes"	"Cell motility"	"Bacterial chemotaxis"
"ko02040"	"Cellular Processes"	"Cell motility"	"Flagellar assembly"
"ko02060"	"Environmental Information Processing"	"Membrane transport"	"Phosphotransferase system (PTS)"
"ko03008"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis in eukaryotes"
"ko03010"	"Genetic Information Processing"	"Translation"	"Ribosome"
"ko03013"	"Genetic Information Processing"	"Translation"	"RNA transport"
"ko03018"	"Genetic Information Processing"	"Folding, sorting and degradation"	"RNA degradation"
"ko03020"	"Genetic Information Processing"	"Transcription"	"RNA polymerase"
"ko03022"	"Genetic Information Processing"	"Transcription"	"Basal transcription factors"
"ko03030"	"Genetic Information Processing"	"Replication and repair"	"DNA replication"
"ko03050"	"Genetic Information Processing"	"Folding, sorting and degradation"	"Proteasome"
"ko03060"	"Genetic Information Processing"	"Folding, sorting and degradation"	"Protein export"
"ko03070"	"Environmental Information Processing"	"Membrane transport"	"Bacterial secretion system"
"ko03320"	"Organismal Systems"	"Endocrine system"	"PPAR signaling pathway"
"ko03410"	"Genetic Information Processing"	"Replication and repair"	"Base excision repair"
"ko03420"	"Genetic Information Processing"	"Replication and repair"	"Nucleotide excision repair"
"ko03430"	"Genetic Information Processing"	"Replication and repair"	"Mismatch repair"
"ko03440"	"Genetic Information Processing"	"Replication and repair"	"Homologous recombination"
"ko03450"	"Genetic Information Processing"	"Replication and repair"	"Non-homologous end-joining"
"ko03460"	"Genetic Information Processing"	"Replication and repair"	"Fanconi anemia pathway"
"ko04011"	"Environmental Information Processing"	"Signal transduction"	"MAPK signaling pathway - yeast"
"ko04013"	"Environmental Information Processing"	"Signal transduction"	"MAPK signaling pathway - fly"
"ko04016"	"Environmental Information Processing"	"Signal transduction"	"MAPK signaling pathway - plant"
"ko04022"	"Environmental Information Processing"	"Signal transduction"	"cGMP-PKG signaling pathway"
"ko04024"	"Environmental Information Processing"	"Signal transduction"	"cAMP signaling pathway"
"ko04066"	"Environmental Information Processing"	"Signal transduction"	"HIF-1 signaling pathway"
"ko04068"	"Environmental Information Processing"	"Signal transduction"	"FoxO signaling pathway"
"ko04070"	"Environmental Information Processing"	"Signal transduction"	"Phosphatidylinositol signaling system"
"ko04072"	"Environmental Information Processing"	"Signal transduction"	"Phospholipase D signaling pathway"
"ko04080"	"Environmental Information Processing"	"Signaling molecules and interaction"	"Neuroactive ligand-receptor interaction"
"ko04112"	"Cellular Processes"	"Cell growth and death"	"Cell cycle - Caulobacter"
"ko04113"	"Cellular Processes"	"Cell growth and death"	"Meiosis - yeast"
"ko04115"	"Cellular Processes"	"Cell growth and death"	"p53 signaling pathway"
"ko04122"	"Genetic Information Processing"	"Folding, sorting and degradation"	"Sulfur relay system"
"ko04138"	"Cellular Processes"	"Transport and catabolism"	"Autophagy - yeast"
"ko04141"	"Genetic Information Processing"	"Folding, sorting and degradation"	"Protein processing in endoplasmic reticulum"
"ko04142"	"Cellular Processes"	"Transport and catabolism"	"Lysosome"
"ko04144"	"Cellular Processes"	"Transport and catabolism"	"Endocytosis"
"ko04146"	"Cellular Processes"	"Transport and catabolism"	"Peroxisome"
"ko04151"	"Environmental Information Processing"	"Signal transduction"	"PI3K-Akt signaling pathway"
"ko04152"	"Environmental Information Processing"	"Signal transduction"	"AMPK signaling pathway"
"ko04210"	"Cellular Processes"	"Cell growth and death"	"Apoptosis"
"ko04211"	"Organismal Systems"	"Aging"	"Longevity regulating pathway"
"ko04212"	"Organismal Systems"	"Aging"	"Longevity regulating pathway - worm"
"ko04213"	"Organismal Systems"	"Aging"	"Longevity regulating pathway - multiple species"
"ko04214"	"Cellular Processes"	"Cell growth and death"	"Apoptosis - fly"
"ko04215"	"Cellular Processes"	"Cell growth and death"	"Apoptosis - multiple species"
"ko04216"	"Cellular Processes"	"Cell growth and death"	"Ferroptosis"
"ko04217"	"Cellular Processes"	"Cell growth and death"	"Necroptosis"
"ko04260"	"Organismal Systems"	"Circulatory system"	"Cardiac muscle contraction"
"ko04261"	"Organismal Systems"	"Circulatory system"	"Adrenergic signaling in cardiomyocytes"
"ko04310"	"Environmental Information Processing"	"Signal transduction"	"Wnt signaling pathway"
"ko04330"	"Environmental Information Processing"	"Signal transduction"	"Notch signaling pathway"
"ko04380"	"Organismal Systems"	"Development"	"Osteoclast differentiation"
"ko04510"	"Cellular Processes"	"Cellular community - eukaryotes"	"Focal adhesion"
"ko04512"	"Environmental Information Processing"	"Signaling molecules and interaction"	"ECM-receptor interaction"
"ko04611"	"Organismal Systems"	"Immune system"	"Platelet activation"
"ko04612"	"Organismal Systems"	"Immune system"	"Antigen processing and presentation"
"ko04614"	"Organismal Systems"	"Endocrine system"	"Renin-angiotensin system"
"ko04621"	"Organismal Systems"	"Immune system"	"NOD-like receptor signaling pathway"
"ko04622"	"Organismal Systems"	"Immune system"	"RIG-I-like receptor signaling pathway"
"ko04626"	"Organismal Systems"	"Environmental adaptation"	"Plant-pathogen interaction"
"ko04657"	"Organismal Systems"	"Immune system"	"IL-17 signaling pathway"
"ko04659"	"Organismal Systems"	"Immune system"	"Th17 cell differentiation"
"ko04714"	"Organismal Systems"	"Environmental adaptation"	"Thermogenesis"
"ko04723"	"Organismal Systems"	"Nervous system"	"Retrograde endocannabinoid signaling"
"ko04724"	"Organismal Systems"	"Nervous system"	"Glutamatergic synapse"
"ko04726"	"Organismal Systems"	"Nervous system"	"Serotonergic synapse"
"ko04727"	"Organismal Systems"	"Nervous system"	"GABAergic synapse"
"ko04728"	"Organismal Systems"	"Nervous system"	"Dopaminergic synapse"
"ko04910"	"Organismal Systems"	"Endocrine system"	"Insulin signaling pathway"
"ko04911"	"Organismal Systems"	"Endocrine system"	"Insulin secretion"
"ko04914"	"Organismal Systems"	"Endocrine system"	"Progesterone-mediated oocyte maturation"
"ko04915"	"Organismal Systems"	"Endocrine system"	"Estrogen signaling pathway"
"ko04916"	"Organismal Systems"	"Endocrine system"	"Melanogenesis"
"ko04917"	"Organismal Systems"	"Endocrine system"	"Prolactin signaling pathway"
"ko04918"	"Organismal Systems"	"Endocrine system"	"Thyroid hormone synthesis"
"ko04919"	"Organismal Systems"	"Endocrine system"	"Thyroid hormone signaling pathway"
"ko04920"	"Organismal Systems"	"Endocrine system"	"Adipocytokine signaling pathway"
"ko04922"	"Organismal Systems"	"Endocrine system"	"Glucagon signaling pathway"
"ko04925"	"Organismal Systems"	"Endocrine system"	"Aldosterone synthesis and secretion"
"ko04926"	"Organismal Systems"	"Endocrine system"	"Relaxin signaling pathway"
"ko04928"	"Organismal Systems"	"Endocrine system"	"Parathyroid hormone synthesis, secretion and action"
"ko04930"	"Human Diseases"	"Endocrine and metabolic diseases"	"Type II diabetes mellitus"
"ko04931"	"Human Diseases"	"Endocrine and metabolic diseases"	"Insulin resistance"
"ko04932"	"Human Diseases"	"Endocrine and metabolic diseases"	"Non-alcoholic fatty liver disease (NAFLD)"
"ko04933"	"Human Diseases"	"Endocrine and metabolic diseases"	"AGE-RAGE signaling pathway in diabetic complications"
"ko04934"	"Human Diseases"	"Endocrine and metabolic diseases"	"Cushing's syndrome"
"ko04940"	"Human Diseases"	"Endocrine and metabolic diseases"	"Type I diabetes mellitus"
"ko04960"	"Organismal Systems"	"Excretory system"	"Aldosterone-regulated sodium reabsorption"
"ko04961"	"Organismal Systems"	"Excretory system"	"Endocrine and other factor-regulated calcium reabsorption"
"ko04964"	"Organismal Systems"	"Excretory system"	"Proximal tubule bicarbonate reclamation"
"ko04970"	"Organismal Systems"	"Digestive system"	"Salivary secretion"
"ko04971"	"Organismal Systems"	"Digestive system"	"Gastric acid secretion"
"ko04972"	"Organismal Systems"	"Digestive system"	"Pancreatic secretion"
"ko04973"	"Organismal Systems"	"Digestive system"	"Carbohydrate digestion and absorption"
"ko04974"	"Organismal Systems"	"Digestive system"	"Protein digestion and absorption"
"ko04976"	"Organismal Systems"	"Digestive system"	"Bile secretion"
"ko04978"	"Organismal Systems"	"Digestive system"	"Mineral absorption"
"ko04979"	"Organismal Systems"	"Digestive system"	"Cholesterol metabolism"
"ko05010"	"Human Diseases"	"Neurodegenerative diseases"	"Alzheimer's disease"
"ko05012"	"Human Diseases"	"Neurodegenerative diseases"	"Parkinson's disease"
"ko05014"	"Human Diseases"	"Neurodegenerative diseases"	"Amyotrophic lateral sclerosis (ALS)"
"ko05016"	"Human Diseases"	"Neurodegenerative diseases"	"Huntington's disease"
"ko05020"	"Human Diseases"	"Neurodegenerative diseases"	"Prion diseases"
"ko05030"	"Human Diseases"	"Substance dependence"	"Cocaine addiction"
"ko05031"	"Human Diseases"	"Substance dependence"	"Amphetamine addiction"
"ko05034"	"Human Diseases"	"Substance dependence"	"Alcoholism"
"ko05100"	"Human Diseases"	"Infectious diseases: Bacterial"	"Bacterial invasion of epithelial cells"
"ko05110"	"Human Diseases"	"Infectious diseases: Bacterial"	"Vibrio cholerae infection"
"ko05111"	"Cellular Processes"	"Cellular community - prokaryotes"	"Biofilm formation - Vibrio cholerae"
"ko05120"	"Human Diseases"	"Infectious diseases: Bacterial"	"Epithelial cell signaling in Helicobacter pylori infection"
"ko05130"	"Human Diseases"	"Infectious diseases: Bacterial"	"Pathogenic Escherichia coli infection"
"ko05131"	"Human Diseases"	"Infectious diseases: Bacterial"	"Shigellosis"
"ko05132"	"Human Diseases"	"Infectious diseases: Bacterial"	"Salmonella infection"
"ko05133"	"Human Diseases"	"Infectious diseases: Bacterial"	"Pertussis"
"ko05134"	"Human Diseases"	"Infectious diseases: Bacterial"	"Legionellosis"
"ko05142"	"Human Diseases"	"Infectious diseases: Parasitic"	"Chagas disease (American trypanosomiasis)"
"ko05143"	"Human Diseases"	"Infectious diseases: Parasitic"	"African trypanosomiasis"
"ko05145"	"Human Diseases"	"Infectious diseases: Parasitic"	"Toxoplasmosis"
"ko05146"	"Human Diseases"	"Infectious diseases: Parasitic"	"Amoebiasis"
"ko05150"	"Human Diseases"	"Infectious diseases: Bacterial"	"Staphylococcus aureus infection"
"ko05152"	"Human Diseases"	"Infectious diseases: Bacterial"	"Tuberculosis"
"ko05161"	"Human Diseases"	"Infectious diseases: Viral"	"Hepatitis B"
"ko05163"	"Human Diseases"	"Infectious diseases: Viral"	"Human cytomegalovirus infection"
"ko05164"	"Human Diseases"	"Infectious diseases: Viral"	"Influenza A"
"ko05165"	"Human Diseases"	"Infectious diseases: Viral"	"Human papillomavirus infection"
"ko05166"	"Human Diseases"	"Infectious diseases: Viral"	"HTLV-I infection"
"ko05167"	"Human Diseases"	"Infectious diseases: Viral"	"Kaposi's sarcoma-associated herpesvirus infection"
"ko05168"	"Human Diseases"	"Infectious diseases: Viral"	"Herpes simplex infection"
"ko05169"	"Human Diseases"	"Infectious diseases: Viral"	"Epstein-Barr virus infection"
"ko05200"	"Human Diseases"	"Cancers: Overview"	"Pathways in cancer"
"ko05203"	"Human Diseases"	"Cancers: Overview"	"Viral carcinogenesis"
"ko05204"	"Human Diseases"	"Cancers: Overview"	"Chemical carcinogenesis"
"ko05205"	"Human Diseases"	"Cancers: Overview"	"Proteoglycans in cancer"
"ko05206"	"Human Diseases"	"Cancers: Overview"	"MicroRNAs in cancer"
"ko05210"	"Human Diseases"	"Cancers: Specific types"	"Colorectal cancer"
"ko05211"	"Human Diseases"	"Cancers: Specific types"	"Renal cell carcinoma"
"ko05215"	"Human Diseases"	"Cancers: Specific types"	"Prostate cancer"
"ko05219"	"Human Diseases"	"Cancers: Specific types"	"Bladder cancer"
"ko05220"	"Human Diseases"	"Cancers: Specific types"	"Chronic myeloid leukemia"
"ko05222"	"Human Diseases"	"Cancers: Specific types"	"Small cell lung cancer"
"ko05225"	"Human Diseases"	"Cancers: Specific types"	"Hepatocellular carcinoma"
"ko05230"	"Human Diseases"	"Cancers: Overview"	"Central carbon metabolism in cancer"
"ko05231"	"Human Diseases"	"Cancers: Overview"	"Choline metabolism in cancer"
"ko05322"	"Human Diseases"	"Immune diseases"	"Systemic lupus erythematosus"
"ko05323"	"Human Diseases"	"Immune diseases"	"Rheumatoid arthritis"
