"SampleID","subject","SampleCollectedBy","SampleBox","Bristol","SampleStabilizer","sampledate","studyday","subj_day","sampletime"
"HER-2-MGE","hera","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-11,"2","hera_2",08:00:00
"JAR-2-DRS","jarjarbinks","SA",1,3,"DNA/RNA Shield",2023-03-11,"2","jarjarbinks_2",08:00:00
"JAR-2-MGE","jarjarbinks","SA",1,3,"Molecular Grade (96%) Ethanol",2023-03-11,"2","jarjarbinks_2",08:00:00
"OPH-2-DRS","ophelia","SA",1,1,"DNA/RNA Shield",2023-03-11,"2","ophelia_2",08:00:00
"OPH-2-MGE","ophelia","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-11,"2","ophelia_2",08:00:00
"WOL-2-DRS","wolverine","SA",1,1,"DNA/RNA Shield",2023-03-11,"2","wolverine_2",08:00:00
"WOL-2-MGE","wolverine","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-11,"2","wolverine_2",08:00:00
"IRI-2-DRS","iris","SA",1,1,"DNA/RNA Shield",2023-03-11,"2","iris_2",08:00:00
"IRI-2-MGE","iris","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-11,"2","iris_2",08:00:00
"GOO-2-DRS","goose","SA",1,1,"DNA/RNA Shield",2023-03-11,"2","goose_2",07:30:00
"GOO-2-MGE","goose","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-11,"2","goose_2",07:30:00
"LAM-2-DRS","lambchop","SA",1,2,"DNA/RNA Shield",2023-03-11,"2","lambchop_2",07:30:00
"LAM-2-MGE","lambchop","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-11,"2","lambchop_2",07:30:00
"IVY-2-DRS","ivy","SA",1,2,"DNA/RNA Shield",2023-03-11,"2","ivy_2",07:30:00
"IVY-2-MGE","ivy","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-11,"2","ivy_2",07:30:00
"JOA-2-DRS","joans","SA",1,1,"DNA/RNA Shield",2023-03-11,"2","joans_2",07:30:00
"JOA-2-MGE","joans","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-11,"2","joans_2",07:30:00
"HEN-2-DRS","henry","SA",1,3,"DNA/RNA Shield",2023-03-11,"2","henry_2",07:30:00
"HEN-2-MGE","henry","SA",1,3,"Molecular Grade (96%) Ethanol",2023-03-11,"2","henry_2",07:30:00
"GIN-2-DRS","ginger","SA",1,3,"DNA/RNA Shield",2023-03-11,"2","ginger_2",07:30:00
"GIN-2-MGE","ginger","SA",1,3,"Molecular Grade (96%) Ethanol",2023-03-11,"2","ginger_2",07:30:00
"HAM-3-DRS","hamlet","SA",1,1,"DNA/RNA Shield",2023-03-12,"3","hamlet_3",08:00:00
"HAM-3-MGE","hamlet","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-12,"3","hamlet_3",08:00:00
"JAR-3-DRS","jarjarbinks","SA",1,1,"DNA/RNA Shield",2023-03-12,"3","jarjarbinks_3",08:00:00
"JAR-3-MGE","jarjarbinks","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-12,"3","jarjarbinks_3",08:00:00
"OPH-3-DRS","ophelia","SA",1,1,"DNA/RNA Shield",2023-03-12,"3","ophelia_3",08:00:00
"OPH-3-MGE","ophelia","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-12,"3","ophelia_3",08:00:00
"KUB-3-DRS","kubo","SA",1,1,"DNA/RNA Shield",2023-03-12,"3","kubo_3",08:00:00
"KUB-3-MGE","kubo","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-12,"3","kubo_3",08:00:00
"KOR-3-DRS","korra","SA",1,2,"DNA/RNA Shield",2023-03-12,"3","korra_3",08:00:00
"KOR-3-MGE","korra","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-12,"3","korra_3",08:00:00
"WOL-3-DRS","wolverine","SA",1,1,"DNA/RNA Shield",2023-03-12,"3","wolverine_3",08:00:00
"WOL-3-MGE","wolverine","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-12,"3","wolverine_3",08:00:00
"IRI-3-DRS","iris","SA",1,2,"DNA/RNA Shield",2023-03-12,"3","iris_3",08:00:00
"IRI-3-MGE","iris","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-12,"3","iris_3",08:00:00
"GOO-3-DRS","goose","SA",1,2,"DNA/RNA Shield",2023-03-12,"3","goose_3",07:30:00
"GOO-3-MGE","goose","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-12,"3","goose_3",07:30:00
"LAM-3-DRS","lambchop","SA",1,3,"DNA/RNA Shield",2023-03-12,"3","lambchop_3",07:30:00
"LAM-3-MGE","lambchop","SA",1,3,"Molecular Grade (96%) Ethanol",2023-03-12,"3","lambchop_3",07:30:00
"FRA-3-DRS","franc","SA",1,2,"DNA/RNA Shield",2023-03-12,"3","franc_3",07:30:00
"FRA-3-MGE","franc","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-12,"3","franc_3",07:30:00
"IVY-3-DRS","ivy","SA",1,1,"DNA/RNA Shield",2023-03-12,"3","ivy_3",07:30:00
"IVY-3-MGE","ivy","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-12,"3","ivy_3",07:30:00
"PAD-3-DRS","padme","SA",1,3,"DNA/RNA Shield",2023-03-12,"3","padme_3",07:30:00
"PAD-3-MGE","padme","SA",1,3,"Molecular Grade (96%) Ethanol",2023-03-12,"3","padme_3",07:30:00
"GRO-3-DRS","grogu","SA",1,2,"DNA/RNA Shield",2023-03-12,"3","grogu_3",07:30:00
"GRO-3-MGE","grogu","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-12,"3","grogu_3",07:30:00
"MAR-3-DRS","marshmallow","SA",1,3,"DNA/RNA Shield",2023-03-12,"3","marshmallow_3",07:30:00
"MAR-3-MGE","marshmallow","SA",1,3,"Molecular Grade (96%) Ethanol",2023-03-12,"3","marshmallow_3",07:30:00
"BUD-3-DRS","buddy","SA",1,3,"DNA/RNA Shield",2023-03-12,"3","buddy_3",07:30:00
"BUD-3-MGE","buddy","SA",1,3,"Molecular Grade (96%) Ethanol",2023-03-12,"3","buddy_3",07:30:00
"JOA-3-DRS","joans","SA",1,2,"DNA/RNA Shield",2023-03-12,"3","joans_3",07:30:00
"JOA-3-MGE","joans","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-12,"3","joans_3",07:30:00
"HEN-3-DRS","henry","SA",1,2,"DNA/RNA Shield",2023-03-12,"3","henry_3",07:30:00
"HEN-3-MGE","henry","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-12,"3","henry_3",07:30:00
"GIN-3-DRS","ginger","SA",1,3,"DNA/RNA Shield",2023-03-12,"3","ginger_3",07:30:00
"GIN-3-MGE","ginger","SA",1,3,"Molecular Grade (96%) Ethanol",2023-03-12,"3","ginger_3",07:30:00
"HAM-4-DRS","hamlet","SA",1,1,"DNA/RNA Shield",2023-03-13,"4","hamlet_4",08:00:00
"HAM-4-MGE","hamlet","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-13,"4","hamlet_4",08:00:00
"HER-4-DRS","hera","SA",1,1,"DNA/RNA Shield",2023-03-13,"4","hera_4",08:00:00
"HER-4-MGE","hera","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-13,"4","hera_4",08:00:00
"JAR-4-DRS","jarjarbinks","SA",1,2,"DNA/RNA Shield",2023-03-13,"4","jarjarbinks_4",08:00:00
"JAR-4-MGE","jarjarbinks","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","jarjarbinks_4",08:00:00
"OPH-4-DRS","ophelia","SA",1,1,"DNA/RNA Shield",2023-03-13,"4","ophelia_4",08:00:00
"OPH-4-MGE","ophelia","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-13,"4","ophelia_4",08:00:00
"KUB-4-DRS","kubo","SA",1,1,"DNA/RNA Shield",2023-03-13,"4","kubo_4",08:00:00
"KUB-4-MGE","kubo","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-13,"4","kubo_4",08:00:00
"KOR-4-DRS","korra","SA",1,2,"DNA/RNA Shield",2023-03-13,"4","korra_4",08:00:00
"KOR-4-MGE","korra","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","korra_4",08:00:00
"WOL-4-DRS","wolverine","SA",1,1,"DNA/RNA Shield",2023-03-13,"4","wolverine_4",08:00:00
"WOL-4-MGE","wolverine","SA",1,1,"Molecular Grade (96%) Ethanol",2023-03-13,"4","wolverine_4",08:00:00
"IRI-4-DRS","iris","SA",1,2,"DNA/RNA Shield",2023-03-13,"4","iris_4",08:00:00
"IRI-4-MGE","iris","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","iris_4",08:00:00
"GOO-4-DRS","goose","SA",1,2,"DNA/RNA Shield",2023-03-13,"4","goose_4",07:30:00
"GOO-4-MGE","goose","SA",1,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","goose_4",07:30:00
"LAM-4-DRS","lambchop","SA",2,2,"DNA/RNA Shield",2023-03-13,"4","lambchop_4",07:30:00
"LAM-4-MGE","lambchop","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","lambchop_4",07:30:00
"FRA-4-DRS","franc","SA",2,2,"DNA/RNA Shield",2023-03-13,"4","franc_4",07:30:00
"FRA-4-MGE","franc","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","franc_4",07:30:00
"IVY-4-DRS","ivy","SA",2,2,"DNA/RNA Shield",2023-03-13,"4","ivy_4",07:30:00
"IVY-4-MGE","ivy","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","ivy_4",07:30:00
"BUD-4-DRS","buddy","SA",2,2,"DNA/RNA Shield",2023-03-13,"4","buddy_4",07:30:00
"BUD-4-MGE","buddy","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","buddy_4",07:30:00
"JOA-4-DRS","joans","SA",2,2,"DNA/RNA Shield",2023-03-13,"4","joans_4",07:30:00
"JOA-4-MGE","joans","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","joans_4",07:30:00
"HEN-4-DRS","henry","SA",2,3,"DNA/RNA Shield",2023-03-13,"4","henry_4",07:30:00
"HEN-4-MGE","henry","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-13,"4","henry_4",07:30:00
"GIN-4-DRS","ginger","SA",2,2,"DNA/RNA Shield",2023-03-13,"4","ginger_4",07:30:00
"GIN-4-MGE","ginger","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-13,"4","ginger_4",07:30:00
"HAM-5-DRS","hamlet","SA",2,1,"DNA/RNA Shield",2023-03-14,"5","hamlet_5",08:30:00
"HAM-5-MGE","hamlet","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-14,"5","hamlet_5",08:30:00
"PAD-5-DRS","padme","SA",2,4,"DNA/RNA Shield",2023-03-14,"5","padme_5",08:00:00
"PAD-5-MGE","padme","SA",2,4,"Molecular Grade (96%) Ethanol",2023-03-14,"5","padme_5",08:00:00
"HAM-6-DRS","hamlet","SA",2,2,"DNA/RNA Shield",2023-03-15,"6","hamlet_6",08:00:00
"HAM-6-MGE","hamlet","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-15,"6","hamlet_6",08:00:00
"OPH-6-DRS","ophelia","SA",2,1,"DNA/RNA Shield",2023-03-15,"6","ophelia_6",08:00:00
"OPH-6-MGE","ophelia","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-15,"6","ophelia_6",08:00:00
"KOR-6-DRS","korra","SA",2,4,"DNA/RNA Shield",2023-03-15,"6","korra_6",08:00:00
"KOR-6-MGE","korra","SA",2,4,"Molecular Grade (96%) Ethanol",2023-03-15,"6","korra_6",08:00:00
"WOL-6-DRS","wolverine","SA",2,3,"DNA/RNA Shield",2023-03-15,"6","wolverine_6",08:00:00
"WOL-6-MGE","wolverine","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-15,"6","wolverine_6",08:00:00
"LAM-6-DRS","lambchop","SA",2,2,"DNA/RNA Shield",2023-03-15,"6","lambchop_6",07:30:00
"LAM-6-MGE","lambchop","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-15,"6","lambchop_6",07:30:00
"IVY-6-DRS","ivy","SA",2,2,"DNA/RNA Shield",2023-03-15,"6","ivy_6",07:30:00
"IVY-6-MGE","ivy","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-15,"6","ivy_6",07:30:00
"PAD-6-DRS","padme","SA",2,4,"DNA/RNA Shield",2023-03-15,"6","padme_6",07:30:00
"PAD-6-MGE","padme","SA",2,4,"Molecular Grade (96%) Ethanol",2023-03-15,"6","padme_6",07:30:00
"MAR-6-DRS","marshmallow","SA",2,4,"DNA/RNA Shield",2023-03-15,"6","marshmallow_6",07:30:00
"MAR-6-MGE","marshmallow","SA",2,4,"Molecular Grade (96%) Ethanol",2023-03-15,"6","marshmallow_6",07:30:00
"JOA-6-DRS","joans","SA",2,1,"DNA/RNA Shield",2023-03-15,"6","joans_6",07:30:00
"JOA-6-MGE","joans","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-15,"6","joans_6",07:30:00
"HEN-6-DRS","henry","SA",2,3,"DNA/RNA Shield",2023-03-15,"6","henry_6",07:30:00
"HEN-6-MGE","henry","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-15,"6","henry_6",07:30:00
"HAM-7-DRS","hamlet","SA",2,1,"DNA/RNA Shield",2023-03-16,"7","hamlet_7",08:00:00
"HAM-7-MGE","hamlet","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-16,"7","hamlet_7",08:00:00
"HER-7-DRS","hera","SA",2,2,"DNA/RNA Shield",2023-03-16,"7","hera_7",08:00:00
"HER-7-MGE","hera","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-16,"7","hera_7",08:00:00
"JAR-7-DRS","jarjarbinks","SA",2,3,"DNA/RNA Shield",2023-03-16,"7","jarjarbinks_7",08:00:00
"JAR-7-MGE","jarjarbinks","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-16,"7","jarjarbinks_7",08:00:00
"OPH-7-DRS","ophelia","SA",2,1,"DNA/RNA Shield",2023-03-16,"7","ophelia_7",08:00:00
"OPH-7-MGE","ophelia","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-16,"7","ophelia_7",08:00:00
"IRI-7-DRS","iris","SA",2,2,"DNA/RNA Shield",2023-03-16,"7","iris_7",08:00:00
"IRI-7-MGE","iris","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-16,"7","iris_7",08:00:00
"GOO-7-DRS","goose","SA",2,2,"DNA/RNA Shield",2023-03-16,"7","goose_7",07:30:00
"GOO-7-MGE","goose","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-16,"7","goose_7",07:30:00
"LAM-7-DRS","lambchop","SA",2,3,"DNA/RNA Shield",2023-03-16,"7","lambchop_7",07:30:00
"LAM-7-MGE","lambchop","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-16,"7","lambchop_7",07:30:00
"FRA-7-DRS","franc","SA",2,1,"DNA/RNA Shield",2023-03-16,"7","franc_7",07:30:00
"FRA-7-MGE","franc","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-16,"7","franc_7",07:30:00
"IVY-7-DRS","ivy","SA",2,1,"DNA/RNA Shield",2023-03-16,"7","ivy_7",07:30:00
"IVY-7-MGE","ivy","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-16,"7","ivy_7",07:30:00
"CHA-7-DRS","charles","SA",2,2,"DNA/RNA Shield",2023-03-16,"7","charles_7",07:30:00
"CHA-7-MGE","charles","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-16,"7","charles_7",07:30:00
"PAD-7-DRS","padme","SA",2,4,"DNA/RNA Shield",2023-03-16,"7","padme_7",07:30:00
"PAD-7-MGE","padme","SA",2,4,"Molecular Grade (96%) Ethanol",2023-03-16,"7","padme_7",07:30:00
"GRO-7-DRS","grogu","SA",2,3,"DNA/RNA Shield",2023-03-16,"7","grogu_7",07:30:00
"GRO-7-MGE","grogu","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-16,"7","grogu_7",07:30:00
"MAR-7-DRS","marshmallow","SA",2,3,"DNA/RNA Shield",2023-03-16,"7","marshmallow_7",07:30:00
"MAR-7-MGE","marshmallow","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-16,"7","marshmallow_7",07:30:00
"BUD-7-DRS","buddy","SA",2,5,"DNA/RNA Shield",2023-03-16,"7","buddy_7",07:30:00
"BUD-7-MGE","buddy","SA",2,5,"Molecular Grade (96%) Ethanol",2023-03-16,"7","buddy_7",07:30:00
"JOA-7-DRS","joans","SA",2,1,"DNA/RNA Shield",2023-03-16,"7","joans_7",07:30:00
"JOA-7-MGE","joans","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-16,"7","joans_7",07:30:00
"HEN-7-DRS","henry","SA",2,3,"DNA/RNA Shield",2023-03-16,"7","henry_7",07:30:00
"HEN-7-MGE","henry","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-16,"7","henry_7",07:30:00
"GIN-7-DRS","ginger","SA",2,3,"DNA/RNA Shield",2023-03-16,"7","ginger_7",07:30:00
"GIN-7-MGE","ginger","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-16,"7","ginger_7",07:30:00
"HAM-9-DRS","hamlet","SA",2,2,"DNA/RNA Shield",2013-03-18,"9","hamlet_9",07:30:00
"HAM-9-MGE","hamlet","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-18,"9","hamlet_9",07:30:00
"HER-9-DRS","hera","SA",2,2,"DNA/RNA Shield",2023-03-18,"9","hera_9",07:30:00
"HER-9-MGE","hera","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-18,"9","hera_9",07:30:00
"JAR-9-DRS","jarjarbinks","SA",2,1,"DNA/RNA Shield",2023-03-18,"9","jarjarbinks_9",07:30:00
"JAR-9-MGE","jarjarbinks","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-18,"9","jarjarbinks_9",07:30:00
"OPH-9-DRS","ophelia","SA",2,1,"DNA/RNA Shield",2023-03-18,"9","ophelia_9",07:30:00
"OPH-9-MGE","ophelia","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-18,"9","ophelia_9",07:30:00
"KUB-9-DRS","kubo","SA",2,1,"DNA/RNA Shield",2023-03-18,"9","kubo_9",07:30:00
"KUB-9-MGE","kubo","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-18,"9","kubo_9",07:30:00
"KOR-9-DRS","korra","SA",2,2,"DNA/RNA Shield",2023-03-18,"9","korra_9",07:30:00
"KOR-9-MGE","korra","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-18,"9","korra_9",07:30:00
"WOL-9-DRS","wolverine","SA",2,1,"DNA/RNA Shield",2023-03-18,"9","wolverine_9",07:30:00
"WOL-9-MGE","wolverine","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-18,"9","wolverine_9",07:30:00
"IRI-9-DRS","iris","SA",2,2,"DNA/RNA Shield",2023-03-18,"9","iris_9",07:30:00
"IRI-9-MGE","iris","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-18,"9","iris_9",07:30:00
"GOO-9-DRS","goose","SA",2,3,"DNA/RNA Shield",2023-03-18,"9","goose_9",08:00:00
"GOO-9-MGE","goose","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-18,"9","goose_9",08:00:00
"LAM-9-DRS","lambchop","SA",2,3,"DNA/RNA Shield",2023-03-18,"9","lambchop_9",08:00:00
"LAM-9-MGE","lambchop","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-18,"9","lambchop_9",08:00:00
"FRA-9-DRS","franc","SA",2,2,"DNA/RNA Shield",2023-03-18,"9","franc_9",08:00:00
"FRA-9-MGE","franc","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-18,"9","franc_9",08:00:00
"IVY-9-DRS","ivy","SA",2,1,"DNA/RNA Shield",2023-03-18,"9","ivy_9",08:00:00
"IVY-9-MGE","ivy","SA",2,1,"Molecular Grade (96%) Ethanol",2023-03-18,"9","ivy_9",08:00:00
"CHA-9-DRS","charles","SA",2,2,"DNA/RNA Shield",2023-03-18,"9","charles_9",08:00:00
"CHA-9-MGE","charles","SA",2,2,"Molecular Grade (96%) Ethanol",2023-03-18,"9","charles_9",08:00:00
"PAD-9-DRS","padme","SA",2,3,"DNA/RNA Shield",2023-03-18,"9","padme_9",08:00:00
"PAD-9-MGE","padme","SA",2,3,"Molecular Grade (96%) Ethanol",2023-03-18,"9","padme_9",08:00:00
"GRO-9-DRS","grogu","SA",3,3,"DNA/RNA Shield",2023-03-18,"9","grogu_9",08:00:00
"GRO-9-MGE","grogu","SA",3,3,"Molecular Grade (96%) Ethanol",2023-03-18,"9","grogu_9",08:00:00
"MAR-9-DRS","marshmallow","SA",3,2,"DNA/RNA Shield",2023-03-18,"9","marshmallow_9",08:00:00
"MAR-9-MGE","marshmallow","SA",3,2,"Molecular Grade (96%) Ethanol",2023-03-18,"9","marshmallow_9",08:00:00
"BUD-9-DRS","buddy","SA",3,3,"DNA/RNA Shield",2023-03-18,"9","buddy_9",08:00:00
"BUD-9-MGE","buddy","SA",3,3,"Molecular Grade (96%) Ethanol",2023-03-18,"9","buddy_9",08:00:00
"JOA-9-DRS","joans","SA",3,2,"DNA/RNA Shield",2023-03-18,"9","joans_9",08:00:00
"JOA-9-MGE","joans","SA",3,2,"Molecular Grade (96%) Ethanol",2023-03-18,"9","joans_9",08:00:00
"HEN-9-DRS","henry","SA",3,3,"DNA/RNA Shield",2023-03-18,"9","henry_9",08:00:00
"HEN-9-MGE","henry","SA",3,3,"Molecular Grade (96%) Ethanol",2023-03-18,"9","henry_9",08:00:00
"GIN-9-DRS","ginger","SA",3,3,"DNA/RNA Shield",2023-03-18,"9","ginger_9",08:00:00
"GIN-9-MGE","ginger","SA",3,3,"Molecular Grade (96%) Ethanol",2023-03-18,"9","ginger_9",08:00:00
"HAM-11-DRS","hamlet","SA",3,2,"DNA/RNA Shield",2023-03-20,"11","hamlet_11",07:30:00
"HAM-11-MGE","hamlet","SA",3,2,"Molecular Grade (96%) Ethanol",2023-03-20,"11","hamlet_11",07:30:00
"HER-11-DRS","hera","SA",3,2,"DNA/RNA Shield",2023-03-20,"11","hera_11",07:30:00
"HER-11-MGE","hera","SA",3,2,"Molecular Grade (96%) Ethanol",2023-03-20,"11","hera_11",07:30:00
"JAR-11-DRS","jarjarbinks","SA",3,1,"DNA/RNA Shield",2023-03-20,"11","jarjarbinks_11",07:30:00
"JAR-11-MGE","jarjarbinks","SA",3,1,"Molecular Grade (96%) Ethanol",2023-03-20,"11","jarjarbinks_11",07:30:00
"OPH-11-DRS","ophelia","SA",3,2,"DNA/RNA Shield",2023-03-20,"11","ophelia_11",07:30:00
"OPH-11-MGE","ophelia","SA",3,2,"Molecular Grade (96%) Ethanol",2023-03-20,"11","ophelia_11",07:30:00
"KUB-11-DRS","kubo","SA",3,1,"DNA/RNA Shield",2023-03-20,"11","kubo_11",07:30:00
"KUB-11-MGE","kubo","SA",3,1,"Molecular Grade (96%) Ethanol",2023-03-20,"11","kubo_11",07:30:00
"KOR-11-DRS","korra","SA",3,1,"DNA/RNA Shield",2023-03-20,"11","korra_11",07:30:00
"KOR-11-MGE","korra","SA",3,1,"Molecular Grade (96%) Ethanol",2023-03-20,"11","korra_11",07:30:00
"WOL-11-DRS","wolverine","SA",3,1,"DNA/RNA Shield",2023-03-20,"11","wolverine_11",07:30:00
"WOL-11-MGE","wolverine","SA",3,1,"Molecular Grade (96%) Ethanol",2023-03-20,"11","wolverine_11",07:30:00
"IRI-11-DRS","iris","SA",3,1,"DNA/RNA Shield",2023-03-20,"11","iris_11",07:30:00
"IRI-11-MGE","iris","SA",3,1,"Molecular Grade (96%) Ethanol",2023-03-20,"11","iris_11",07:30:00
"GOO-11-DRS","goose","SA",3,3,"DNA/RNA Shield",2023-03-20,"11","goose_11",08:00:00
"GOO-11-MGE","goose","SA",3,3,"Molecular Grade (96%) Ethanol",2023-03-20,"11","goose_11",08:00:00
"LAM-11-DRS","lambchop","SA",3,3,"DNA/RNA Shield",2023-03-20,"11","lambchop_11",08:00:00
"LAM-11-MGE","lambchop","SA",3,3,"Molecular Grade (96%) Ethanol",2023-03-20,"11","lambchop_11",08:00:00
"FRA-11-DRS","franc","SA",3,2,"DNA/RNA Shield",2023-03-20,"11","franc_11",08:00:00
"FRA-11-MGE","franc","SA",3,2,"Molecular Grade (96%) Ethanol",2023-03-20,"11","franc_11",08:00:00
