"ID"	"ginger_29"	"henry_29"	"joans_29"	"ginger_36"	"grogu_36"	"henry_36"	"joans_36"	"franc_37"	"grogu_37"	"ginger_41"	"grogu_41"	"joans_41"	"marshmallow_41"	"ginger_42"	"grogu_42"	"henry_42"	"ivy_42"	"ophelia_57"	"wolverine_57"	"goose_58"	"wolverine_58"	"goose_59"	"hamlet_59"	"iris_59"	"ophelia_59"	"iris_60"	"wolverine_60"	"hamlet_67"	"hera_67"	"jarjarbinks_68"
"g__Butyrivibrio"	0	1	0	2	0	7	2	4	2	0	0	17	0	1	0	2	2	3	6	2	4	2	2	19	8	10	5	2	7	8
"g__Paramuribaculum"	0	8	1	4	0	5	0	5	0	4	0	0	5	7	1	15	1	22	0	0	0	1	5	0	7	2	0	2	0	6
"g__Porcincola"	3	1	1	4	1	6	3	4	1	5	0	18	0	4	2	6	0	1	1	3	0	12	0	2	3	5	1	1	2	8
"g__Butyricicoccus"	0	0	15	0	2	0	1	6	1	0	2	5	0	0	3	0	6	0	4	0	0	0	8	12	0	11	1	1	18	0
"g__Barnesiella"	0	2	1	1	0	2	0	3	1	0	0	0	18	2	0	4	1	26	2	0	0	0	4	0	7	0	0	4	0	18
"g__Hoylesella"	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	1	3	0	2	0	5	0	52	9	0	0	0
"g__Streptococcus"	1	3	0	13	0	0	2	0	0	1	0	1	0	1	0	2	2	0	0	20	2	2	0	0	1	0	19	0	0	1
"g__Peptococcus"	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	1	30	2	0	5	0	8	0	1	0	4	0	1	7
"g__Hominisplanchenecus"	0	0	1	0	0	3	3	4	2	1	1	10	0	0	1	1	1	2	0	2	0	1	0	3	5	9	2	2	2	6
"g__Kineothrix"	3	4	0	2	0	4	1	3	1	1	0	8	0	0	0	4	3	2	3	1	3	2	1	1	2	3	1	0	2	1
"g__Marvinbryantia"	0	1	1	3	0	2	1	5	1	0	1	8	0	2	3	1	4	3	1	0	1	1	3	3	1	4	3	0	0	3
"g__Pantoea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0	19	2	8	0	0	0
"g__Paraprevotella"	0	1	0	0	2	1	0	2	1	0	0	0	1	2	0	1	4	4	0	0	1	1	2	2	6	3	0	9	1	0
"g__Sodaliphilus"	2	2	0	2	0	3	0	1	0	0	0	0	6	1	1	4	0	8	0	0	0	0	1	0	4	0	0	2	0	3
"g__Thermophilibacter"	0	3	0	4	0	0	0	1	0	0	0	0	3	1	0	6	6	4	0	0	1	0	2	0	1	0	2	2	2	1
"g__Asteroleplasma"	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	12	0	0	0	0	0	2	6	4	0	5	0	0
"g__Anaeromassilibacillus"	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	4	0	1	1	0	0	2	0	8	0	6	0	0	0
"g__Proteus"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	3	0	0	0	0	0	0	0
"g__Muribaculum"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	1	15	2	0	0	1
"g__Eisenbergiella"	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	0
"g__Anaerocolumna"	0	0	1	1	0	2	0	1	0	1	0	1	0	1	1	1	0	0	0	3	0	1	0	0	1	2	1	1	1	2
"g__Gluceribacter"	1	0	0	1	0	3	0	1	0	1	0	8	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1
"g__Caecibacter"	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	5	0	2	0	0	1	1	2	0	3	2
"g__Caecibacteroides"	0	0	3	0	0	0	1	0	0	0	0	10	3	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0
"g__Parolsenella"	0	2	1	2	0	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	1	0	1	0	1	0	1	5	0	0
"g__Qiania"	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	3	0	0	1	2	1	0	1	1
"g__Alloprevotella"	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	8	0	0	0	1	0
"g__Alistipes"	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	1	0	2	0	1	0	0
"g__Marseilla"	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	5	1	0	0	0	2
"g__Jingyaoa"	0	0	0	1	0	0	1	1	0	0	0	5	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0
"g__Roseburia"	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	1
"g__Gemella"	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0
"g__Catenibacillus"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	1	0	0	0	0
"g__Hungatella"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	3	1
"g__Olsenella"	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1
"g__Abiotrophia"	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	0	1
"g__Leyella"	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0
"g__Murimonas"	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0
"g__Citrobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0
"g__Granulicatella"	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
"g__Drancourtella"	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
"g__Faecalimonas"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0
"g__Faecalimicrobium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
"g__Mediterranea"	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"g__Pseudocitrobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
"g__Eubacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0
"g__Merdimonas"	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"g__Syntrophococcus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1
"g__Diplocloster"	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"g__Aggregatibacter"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
"g__Canicola"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"g__Paraeggerthella"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"g__Caproiciproducens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"g__Pusillibacter"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Anaerostipes"	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Bariatricus"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"g__Fusicatenibacter"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Sellimonas"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Anaeroglobus"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"g__Neisseria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
