"Taxa"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.15775	0.00575	0	0.106125	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales"	0.003	0.0155	0.004	0.004	0.00575	0.00175	0.00325	0.001	0.00225	0.003	0.0025	0.01125	0.00075	0.0075	0.00075	0.0045	0.111	0.0015	0.0015	0	0.00075	0.001625	5e-04	0.001375	0.001	0.000375	5e-04	5e-04	0	0.00525	0.01475	0.00525	0.016	0.00325
"k__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales"	0	0.00075	5e-04	0.001	0	0.00025	0.001	0.00525	0	0	0	0.00075	5e-04	0.00075	0	0	0	0	0	0.18	0.0025	0.003	0.00125	0.000625	5e-04	0.000125	0.0025	0.00275	5e-04	0	0.00075	0	0	0.00025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-04	0.001	0	0	0	0	0.0245	0.00025	0.003625	0.00075	0.00225	0.00025	0.000125	0	0.00025	0	0	0.000625	0	0	0.00025
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales"	0.006	0.00875	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales"	0	0.00075	0	0	0	0.00075	0	0	0	0	0.002	0	5e-04	0.00075	0	0	0.007	0	0	0	0	0.0015	0	0	0	0	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Bacillota|c__Clostridia|o__Peptostreptococcales"	0	0	0	0	0	0	0	0.00825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475	0	0	0	0	0	0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales"	0	0.00025	0.00025	0	0	0.00025	0	0	0	0	0	0.00025	0	0.00025	0	0	0	0	0	0.00675	0.00025	5e-04	0.00025	0.000125	0	0	0	0	0	0	0.000625	0	0	0.00025
"k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0.005375	0	0	0.00075	0.000375	0.00025	0.000375	0	0	0.00025	0	0.00025	0	0	0
"k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales"	0	0	0	0	0	0	0	0	0	0.00025	0	0.00025	0	0.00025	0	0	0	0	0	0	0	0.000125	0	0	0	0.00025	0	0	0	0	0	0	0	0
"k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales"	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	5e-04	0	0	0	0	0	0.000125	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0
"k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0
"k__Bacteria|p__Bacillota|c__Tissierellia|o__Tissierellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000375	0	0.000125	0	0	0	0	0	0	0	0	0	0
"k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0
