SampleID	SampleSubject	SampleDate	SampleCollectedBy	SampleNotes	SampleBox	Bristol	SampleTime	SampleStabilizer
HAM-3-DRS	hamlet	3/12/23	SA		1	1	800	DNA/RNA Shield
HAM-3-MGE	hamlet	3/12/23	SA		1	1	800	Molecular Grade (96%) Ethanol
JAR-3-DRS	jarjarbinks	3/12/23	SA		1	1	800	DNA/RNA Shield
JAR-3-MGE	jarjarbinks	3/12/23	SA		1	1	800	Molecular Grade (96%) Ethanol
OPH-3-DRS	ophelia	3/12/23	SA		1	1	800	DNA/RNA Shield
OPH-3-MGE	ophelia	3/12/23	SA		1	1	800	Molecular Grade (96%) Ethanol
KUB-3-DRS	kubo	3/12/23	SA		1	1	800	DNA/RNA Shield
KUB-3-MGE	kubo	3/12/23	SA		1	1	800	Molecular Grade (96%) Ethanol
KOR-3-DRS	korra	3/12/23	SA		1	2	800	DNA/RNA Shield
KOR-3-MGE	korra	3/12/23	SA		1	2	800	Molecular Grade (96%) Ethanol
WOL-3-DRS	wolverine	3/12/23	SA		1	1	800	DNA/RNA Shield
WOL-3-MGE	wolverine	3/12/23	SA		1	1	800	Molecular Grade (96%) Ethanol
IRI-3-DRS	iris	3/12/23	SA		1	2	800	DNA/RNA Shield
IRI-3-MGE	iris	3/12/23	SA		1	2	800	Molecular Grade (96%) Ethanol
GOO-3-DRS	goose	3/12/23	SA		1	2	730	DNA/RNA Shield
GOO-3-MGE	goose	3/12/23	SA		1	2	730	Molecular Grade (96%) Ethanol
LAM-3-DRS	lambchop	3/12/23	SA		1	3	730	DNA/RNA Shield
LAM-3-MGE	lambchop	3/12/23	SA		1	3	730	Molecular Grade (96%) Ethanol
FRA-3-DRS	franc	3/12/23	SA		1	2	730	DNA/RNA Shield
FRA-3-MGE	franc	3/12/23	SA		1	2	730	Molecular Grade (96%) Ethanol
IVY-3-DRS	ivy	3/12/23	SA		1	1	730	DNA/RNA Shield
IVY-3-MGE	ivy	3/12/23	SA		1	1	730	Molecular Grade (96%) Ethanol
PAD-3-DRS	padme	3/12/23	SA		1	3	730	DNA/RNA Shield
PAD-3-MGE	padme	3/12/23	SA		1	3	730	Molecular Grade (96%) Ethanol
GRO-3-DRS	grogu	3/12/23	SA		1	2	730	DNA/RNA Shield
GRO-3-MGE	grogu	3/12/23	SA		1	2	730	Molecular Grade (96%) Ethanol
MAR-3-DRS	marshmallow	3/12/23	SA		1	3	730	DNA/RNA Shield
MAR-3-MGE	marshmallow	3/12/23	SA		1	3	730	Molecular Grade (96%) Ethanol
BUD-3-DRS	buddy	3/12/23	SA		1	3	730	DNA/RNA Shield
BUD-3-MGE	buddy	3/12/23	SA		1	3	730	Molecular Grade (96%) Ethanol
JOA-3-DRS	joans	3/12/23	SA		1	2	730	DNA/RNA Shield
JOA-3-MGE	joans	3/12/23	SA		1	2	730	Molecular Grade (96%) Ethanol
HEN-3-DRS	henry	3/12/23	SA		1	2	730	DNA/RNA Shield
HEN-3-MGE	henry	3/12/23	SA		1	2	730	Molecular Grade (96%) Ethanol
GIN-3-DRS	ginger	3/12/23	SA		1	3	730	DNA/RNA Shield
GIN-3-MGE	ginger	3/12/23	SA		1	3	730	Molecular Grade (96%) Ethanol
HAM-4-DRS	hamlet	3/13/23	SA		1	1	800	DNA/RNA Shield
HAM-4-MGE	hamlet	3/13/23	SA		1	1	800	Molecular Grade (96%) Ethanol
HER-4-DRS	hera	3/13/23	SA		1	1	800	DNA/RNA Shield
HER-4-MGE	hera	3/13/23	SA		1	1	800	Molecular Grade (96%) Ethanol
JAR-4-DRS	jarjarbinks	3/13/23	SA		1	2	800	DNA/RNA Shield
JAR-4-MGE	jarjarbinks	3/13/23	SA		1	2	800	Molecular Grade (96%) Ethanol
OPH-4-DRS	ophelia	3/13/23	SA		1	1	800	DNA/RNA Shield
OPH-4-MGE	ophelia	3/13/23	SA		1	1	800	Molecular Grade (96%) Ethanol
KUB-4-DRS	kubo	3/13/23	SA		1	1	800	DNA/RNA Shield
KUB-4-MGE	kubo	3/13/23	SA		1	1	800	Molecular Grade (96%) Ethanol
KOR-4-DRS	korra	3/13/23	SA		1	2	800	DNA/RNA Shield
KOR-4-MGE	korra	3/13/23	SA		1	2	800	Molecular Grade (96%) Ethanol
WOL-4-DRS	wolverine	3/13/23	SA		1	1	800	DNA/RNA Shield
WOL-4-MGE	wolverine	3/13/23	SA		1	1	800	Molecular Grade (96%) Ethanol
IRI-4-DRS	iris	3/13/23	SA		1	2	800	DNA/RNA Shield
IRI-4-MGE	iris	3/13/23	SA		1	2	800	Molecular Grade (96%) Ethanol
GOO-4-DRS	goose	3/13/23	SA		1	2	730	DNA/RNA Shield
GOO-4-MGE	goose	3/13/23	SA		1	2	730	Molecular Grade (96%) Ethanol
LAM-4-DRS	lambchop	3/13/23	SA		2	2	730	DNA/RNA Shield
LAM-4-MGE	lambchop	3/13/23	SA		2	2	730	Molecular Grade (96%) Ethanol
FRA-4-DRS	franc	3/13/23	SA		2	2	730	DNA/RNA Shield
FRA-4-MGE	franc	3/13/23	SA		2	2	730	Molecular Grade (96%) Ethanol
IVY-4-DRS	ivy	3/13/23	SA		2	2	730	DNA/RNA Shield
IVY-4-MGE	ivy	3/13/23	SA		2	2	730	Molecular Grade (96%) Ethanol
BUD-4-DRS	buddy	3/13/23	SA		2	2	730	DNA/RNA Shield
BUD-4-MGE	buddy	3/13/23	SA		2	2	730	Molecular Grade (96%) Ethanol
JOA-4-DRS	joans	3/13/23	SA		2	2	730	DNA/RNA Shield
JOA-4-MGE	joans	3/13/23	SA		2	2	730	Molecular Grade (96%) Ethanol
HEN-4-DRS	henry	3/13/23	SA		2	3	730	DNA/RNA Shield
HEN-4-MGE	henry	3/13/23	SA		2	3	730	Molecular Grade (96%) Ethanol
GIN-4-DRS	ginger	3/13/23	SA		2	2	730	DNA/RNA Shield
GIN-4-MGE	ginger	3/13/23	SA		2	2	730	Molecular Grade (96%) Ethanol
HAM-5-DRS	hamlet	3/14/23	SA		2	1	830	DNA/RNA Shield
HAM-5-MGE	hamlet	3/14/23	SA		2	1	830	Molecular Grade (96%) Ethanol
PAD-5-DRS	padme	3/14/23	SA		2	4	800	DNA/RNA Shield
PAD-5-MGE	padme	3/14/23	SA		2	4	800	Molecular Grade (96%) Ethanol
HAM-6-DRS	hamlet	3/15/23	SA		2	2	800	DNA/RNA Shield
HAM-6-MGE	hamlet	3/15/23	SA		2	2	800	Molecular Grade (96%) Ethanol
OPH-6-DRS	ophelia	3/15/23	SA		2	1	800	DNA/RNA Shield
OPH-6-MGE	ophelia	3/15/23	SA		2	1	800	Molecular Grade (96%) Ethanol
KOR-6-DRS	korra	3/15/23	SA		2	4	800	DNA/RNA Shield
KOR-6-MGE	korra	3/15/23	SA		2	4	800	Molecular Grade (96%) Ethanol
WOL-6-DRS	wolverine	3/15/23	SA		2	3	800	DNA/RNA Shield
WOL-6-MGE	wolverine	3/15/23	SA		2	3	800	Molecular Grade (96%) Ethanol
LAM-6-DRS	lambchop	3/15/23	SA		2	2	730	DNA/RNA Shield
LAM-6-MGE	lambchop	3/15/23	SA		2	2	730	Molecular Grade (96%) Ethanol
IVY-6-DRS	ivy	3/15/23	SA		2	2	730	DNA/RNA Shield
IVY-6-MGE	ivy	3/15/23	SA		2	2	730	Molecular Grade (96%) Ethanol
PAD-6-DRS	padme	3/15/23	SA		2	4	730	DNA/RNA Shield
PAD-6-MGE	padme	3/15/23	SA		2	4	730	Molecular Grade (96%) Ethanol
MAR-6-DRS	marshmallow	3/15/23	SA		2	4	730	DNA/RNA Shield
MAR-6-MGE	marshmallow	3/15/23	SA		2	4	730	Molecular Grade (96%) Ethanol
JOA-6-DRS	joans	3/15/23	SA		2	1	730	DNA/RNA Shield
JOA-6-MGE	joans	3/15/23	SA		2	1	730	Molecular Grade (96%) Ethanol
HEN-6-DRS	henry	3/15/23	SA		2	3	730	DNA/RNA Shield
HEN-6-MGE	henry	3/15/23	SA		2	3	730	Molecular Grade (96%) Ethanol
HAM-7-DRS	hamlet	3/16/23	SA		2	1	800	DNA/RNA Shield
HAM-7-MGE	hamlet	3/16/23	SA		2	1	800	Molecular Grade (96%) Ethanol
HER-7-DRS	hera	3/16/23	SA		2	2	800	DNA/RNA Shield
HER-7-MGE	hera	3/16/23	SA		2	2	800	Molecular Grade (96%) Ethanol
JAR-7-DRS	jarjarbinks	3/16/23	SA		2	3	800	DNA/RNA Shield
JAR-7-MGE	jarjarbinks	3/16/23	SA		2	3	800	Molecular Grade (96%) Ethanol
OPH-7-DRS	ophelia	3/16/23	SA		2	1	800	DNA/RNA Shield
OPH-7-MGE	ophelia	3/16/23	SA		2	1	800	Molecular Grade (96%) Ethanol
IRI-7-DRS	iris	3/16/23	SA		2	2	800	DNA/RNA Shield
IRI-7-MGE	iris	3/16/23	SA		2	2	800	Molecular Grade (96%) Ethanol
GOO-7-DRS	goose	3/16/23	SA		2	2	730	DNA/RNA Shield
GOO-7-MGE	goose	3/16/23	SA		2	2	730	Molecular Grade (96%) Ethanol
LAM-7-DRS	lambchop	3/16/23	SA		2	3	730	DNA/RNA Shield
LAM-7-MGE	lambchop	3/16/23	SA		2	3	730	Molecular Grade (96%) Ethanol
FRA-7-DRS	franc	3/16/23	SA		2	1	730	DNA/RNA Shield
FRA-7-MGE	franc	3/16/23	SA		2	1	730	Molecular Grade (96%) Ethanol
IVY-7-DRS	ivy	3/16/23	SA		2	1	730	DNA/RNA Shield
IVY-7-MGE	ivy	3/16/23	SA		2	1	730	Molecular Grade (96%) Ethanol
CHA-7-DRS	charles	3/16/23	SA		2	2	730	DNA/RNA Shield
CHA-7-MGE	charles	3/16/23	SA		2	2	730	Molecular Grade (96%) Ethanol
PAD-7-DRS	padme	3/16/23	SA		2	4	730	DNA/RNA Shield
PAD-7-MGE	padme	3/16/23	SA		2	4	730	Molecular Grade (96%) Ethanol
GRO-7-DRS	grogu	3/16/23	SA		2	3	730	DNA/RNA Shield
GRO-7-MGE	grogu	3/16/23	SA		2	3	730	Molecular Grade (96%) Ethanol
MAR-7-DRS	marshmallow	3/16/23	SA		2	3	730	DNA/RNA Shield
MAR-7-MGE	marshmallow	3/16/23	SA		2	3	730	Molecular Grade (96%) Ethanol
BUD-7-DRS	buddy	3/16/23	SA		2	5	730	DNA/RNA Shield
BUD-7-MGE	buddy	3/16/23	SA		2	5	730	Molecular Grade (96%) Ethanol
JOA-7-DRS	joans	3/16/23	SA		2	1	730	DNA/RNA Shield
JOA-7-MGE	joans	3/16/23	SA		2	1	730	Molecular Grade (96%) Ethanol
HEN-7-DRS	henry	3/16/23	SA		2	3	730	DNA/RNA Shield
HEN-7-MGE	henry	3/16/23	SA		2	3	730	Molecular Grade (96%) Ethanol
GIN-7-DRS	ginger	3/16/23	SA		2	3	730	DNA/RNA Shield
GIN-7-MGE	ginger	3/16/23	SA		2	3	730	Molecular Grade (96%) Ethanol
HAM-9-DRS	hamlet	3/18/13	SA		2	2	730	DNA/RNA Shield
HAM-9-MGE	hamlet	3/18/23	SA		2	2	730	Molecular Grade (96%) Ethanol
HER-9-DRS	hera	3/18/23	SA		2	2	730	DNA/RNA Shield
HER-9-MGE	hera	3/18/23	SA		2	2	730	Molecular Grade (96%) Ethanol
JAR-9-DRS	jarjarbinks	3/18/23	SA		2	1	730	DNA/RNA Shield
JAR-9-MGE	jarjarbinks	3/18/23	SA		2	1	730	Molecular Grade (96%) Ethanol
OPH-9-DRS	ophelia	3/18/23	SA		2	1	730	DNA/RNA Shield
OPH-9-MGE	ophelia	3/18/23	SA		2	1	730	Molecular Grade (96%) Ethanol
KUB-9-DRS	kubo	3/18/23	SA		2	1	730	DNA/RNA Shield
KUB-9-MGE	kubo	3/18/23	SA		2	1	730	Molecular Grade (96%) Ethanol
KOR-9-DRS	korra	3/18/23	SA		2	2	730	DNA/RNA Shield
KOR-9-MGE	korra	3/18/23	SA		2	2	730	Molecular Grade (96%) Ethanol
WOL-9-DRS	wolverine	3/18/23	SA		2	1	730	DNA/RNA Shield
WOL-9-MGE	wolverine	3/18/23	SA		2	1	730	Molecular Grade (96%) Ethanol
IRI-9-DRS	iris	3/18/23	SA		2	2	730	DNA/RNA Shield
IRI-9-MGE	iris	3/18/23	SA		2	2	730	Molecular Grade (96%) Ethanol
GOO-9-DRS	goose	3/18/23	SA		2	3	800	DNA/RNA Shield
GOO-9-MGE	goose	3/18/23	SA		2	3	800	Molecular Grade (96%) Ethanol
LAM-9-DRS	lambchop	3/18/23	SA		2	3	800	DNA/RNA Shield
LAM-9-MGE	lambchop	3/18/23	SA		2	3	800	Molecular Grade (96%) Ethanol
FRA-9-DRS	franc	3/18/23	SA		2	2	800	DNA/RNA Shield
FRA-9-MGE	franc	3/18/23	SA		2	2	800	Molecular Grade (96%) Ethanol
IVY-9-DRS	ivy	3/18/23	SA		2	1	800	DNA/RNA Shield
IVY-9-MGE	ivy	3/18/23	SA		2	1	800	Molecular Grade (96%) Ethanol
CHA-9-DRS	charles	3/18/23	SA		2	2	800	DNA/RNA Shield
CHA-9-MGE	charles	3/18/23	SA		2	2	800	Molecular Grade (96%) Ethanol
PAD-9-DRS	padme	3/18/23	SA		2	3	800	DNA/RNA Shield
PAD-9-MGE	padme	3/18/23	SA		2	3	800	Molecular Grade (96%) Ethanol
GRO-9-DRS	grogu	3/18/23	SA		3	3	800	DNA/RNA Shield
GRO-9-MGE	grogu	3/18/23	SA		3	3	800	Molecular Grade (96%) Ethanol
MAR-9-DRS	marshmallow	3/18/23	SA		3	2	800	DNA/RNA Shield
MAR-9-MGE	marshmallow	3/18/23	SA		3	2	800	Molecular Grade (96%) Ethanol
BUD-9-DRS	buddy	3/18/23	SA		3	3	800	DNA/RNA Shield
BUD-9-MGE	buddy	3/18/23	SA		3	3	800	Molecular Grade (96%) Ethanol
JOA-9-DRS	joans	3/18/23	SA		3	2	800	DNA/RNA Shield
JOA-9-MGE	joans	3/18/23	SA		3	2	800	Molecular Grade (96%) Ethanol
HEN-9-DRS	henry	3/18/23	SA		3	3	800	DNA/RNA Shield
HEN-9-MGE	henry	3/18/23	SA		3	3	800	Molecular Grade (96%) Ethanol
GIN-9-DRS	ginger	3/18/23	SA		3	3	800	DNA/RNA Shield
GIN-9-MGE	ginger	3/18/23	SA		3	3	800	Molecular Grade (96%) Ethanol
HAM-11-DRS	hamlet	3/20/23	SA		3	2	730	DNA/RNA Shield
HAM-11-MGE	hamlet	3/20/23	SA		3	2	730	Molecular Grade (96%) Ethanol
HER-11-DRS	hera	3/20/23	SA		3	2	730	DNA/RNA Shield
HER-11-MGE	hera	3/20/23	SA		3	2	730	Molecular Grade (96%) Ethanol
JAR-11-DRS	jarjarbinks	3/20/23	SA		3	1	730	DNA/RNA Shield
JAR-11-MGE	jarjarbinks	3/20/23	SA		3	1	730	Molecular Grade (96%) Ethanol
OPH-11-DRS	ophelia	3/20/23	SA		3	2	730	DNA/RNA Shield
OPH-11-MGE	ophelia	3/20/23	SA		3	2	730	Molecular Grade (96%) Ethanol
KUB-11-DRS	kubo	3/20/23	SA		3	1	730	DNA/RNA Shield
KUB-11-MGE	kubo	3/20/23	SA		3	1	730	Molecular Grade (96%) Ethanol
KOR-11-DRS	korra	3/20/23	SA		3	1	730	DNA/RNA Shield
KOR-11-MGE	korra	3/20/23	SA		3	1	730	Molecular Grade (96%) Ethanol
WOL-11-DRS	wolverine	3/20/23	SA		3	1	730	DNA/RNA Shield
WOL-11-MGE	wolverine	3/20/23	SA		3	1	730	Molecular Grade (96%) Ethanol
IRI-11-DRS	iris	3/20/23	SA		3	1	730	DNA/RNA Shield
IRI-11-MGE	iris	3/20/23	SA		3	1	730	Molecular Grade (96%) Ethanol
GOO-11-DRS	goose	3/20/23	SA		3	3	800	DNA/RNA Shield
GOO-11-MGE	goose	3/20/23	SA		3	3	800	Molecular Grade (96%) Ethanol
LAM-11-DRS	lambchop	3/20/23	SA		3	3	800	DNA/RNA Shield
LAM-11-MGE	lambchop	3/20/23	SA		3	3	800	Molecular Grade (96%) Ethanol
FRA-11-DRS	franc	3/20/23	SA		3	2	800	DNA/RNA Shield
FRA-11-MGE	franc	3/20/23	SA		3	2	800	Molecular Grade (96%) Ethanol
PAD-11-DRS	padme	3/20/23	SA		3	1	800	DNA/RNA Shield
PAD-11-MGE	padme	3/20/23	SA		3	1	800	Molecular Grade (96%) Ethanol
BUD-11-DRS	buddy	3/20/23	SA		3	3	800	DNA/RNA Shield
BUD-11-MGE	buddy	3/20/23	SA		3	3	800	Molecular Grade (96%) Ethanol
JOA-11-DRS	joans	3/20/23	SA		3	2	800	DNA/RNA Shield
JOA-11-MGE	joans	3/20/23	SA		3	2	800	Molecular Grade (96%) Ethanol
HAM-14-DRS	hamlet	3/23/23	SA/GR		3	1	730	DNA/RNA Shield
HAM-14-MGE	hamlet	3/23/23	SA/GR		3	1	730	Molecular Grade (96%) Ethanol
HER-14-DRS	hera	3/23/23	SA/GR		3	1	730	DNA/RNA Shield
HER-14-MGE	hera	3/23/23	SA/GR		3	1	730	Molecular Grade (96%) Ethanol
JAR-14-DRS	jarjarbinks	3/23/23	SA/GR		3	1	730	DNA/RNA Shield
JAR-14-MGE	jarjarbinks	3/23/23	SA/GR		3	1	730	Molecular Grade (96%) Ethanol
OPH-14-DRS	ophelia	3/23/23	SA/GR		3	2	730	DNA/RNA Shield
OPH-14-MGE	ophelia	3/23/23	SA/GR		3	2	730	Molecular Grade (96%) Ethanol
KUB-14-DRS	kubo	3/23/23	SA/GR		3	2	730	DNA/RNA Shield
KUB-14-MGE	kubo	3/23/23	SA/GR		3	2	730	Molecular Grade (96%) Ethanol
KOR-14-DRS	korra	3/23/23	SA/GR		3	1	730	DNA/RNA Shield
KOR-14-MGE	korra	3/23/23	SA/GR		3	1	730	Molecular Grade (96%) Ethanol
WOL-14-DRS	wolverine	3/23/23	SA/GR		3	2	730	DNA/RNA Shield
WOL-14-MGE	wolverine	3/23/23	SA/GR		3	2	730	Molecular Grade (96%) Ethanol
IRI-14-DRS	iris	3/23/23	SA/GR		3	2	730	DNA/RNA Shield
IRI-14-MGE	iris	3/23/23	SA/GR		3	2	730	Molecular Grade (96%) Ethanol
LAM-14-DRS	lambchop	3/23/23	SA/GR		3	3	800	DNA/RNA Shield
LAM-14-MGE	lambchop	3/23/23	SA/GR		3	3	800	Molecular Grade (96%) Ethanol
BUD-14-DRS	buddy	3/23/23	SA/GR		3	3	800	DNA/RNA Shield
BUD-14-MGE	buddy	3/23/23	SA/GR		3	3	800	Molecular Grade (96%) Ethanol
JOA-14-DRS	joans	3/23/23	SA/GR		3	4	800	DNA/RNA Shield
JOA-14-MGE	joans	3/23/23	SA/GR		3	4	800	Molecular Grade (96%) Ethanol
HEN-14-DRS	henry	3/23/23	SA/GR		3	1	800	DNA/RNA Shield
HEN-14-MGE	henry	3/23/23	SA/GR		3	1	800	Molecular Grade (96%) Ethanol
GIN-14-DRS	ginger	3/23/23	SA/GR		3	1	800	DNA/RNA Shield
GIN-14-MGE	ginger	3/23/23	SA/GR		3	1	800	Molecular Grade (96%) Ethanol
HAM-15-DRS	hamlet	3/24/23	SA		3	1	730	DNA/RNA Shield
HAM-15-MGE	hamlet	3/24/23	SA		3	1	730	Molecular Grade (96%) Ethanol
HER-15-MGE	hera	3/24/23	SA		3	1	730	Molecular Grade (96%) Ethanol
JAR-15-MGE	jarjarbinks	3/24/23	SA		3	1	730	Molecular Grade (96%) Ethanol
OPH-15-MGE	ophelia	3/24/23	SA		3	1	730	Molecular Grade (96%) Ethanol
KUB-15-MGE	kubo	3/24/23	SA		3	2	730	Molecular Grade (96%) Ethanol
KOR-15-MGE	korra	3/24/23	SA		3	3	730	Molecular Grade (96%) Ethanol
WOL-15-MGE	wolverine	3/24/23	SA		3	1	730	Molecular Grade (96%) Ethanol
IRI-15-MGE	iris	3/24/23	SA		3	2	730	Molecular Grade (96%) Ethanol
LAM-15-MGE	lambchop	3/24/23	SA		3	3	800	Molecular Grade (96%) Ethanol
PAD-15-DRS	padme	3/24/23	SA		3	3	800	DNA/RNA Shield
PAD-15-MGE	padme	3/24/23	SA		3	3	800	Molecular Grade (96%) Ethanol
HAM-16-DRS	hamlet	3/25/23	SA		3	2	730	DNA/RNA Shield
HAM-16-MGE	hamlet	3/25/23	SA		3	2	730	Molecular Grade (96%) Ethanol
HER-16-DRS	hera	3/25/23	SA		3	2	730	DNA/RNA Shield
HER-16-MGE	hera	3/25/23	SA		3	2	730	Molecular Grade (96%) Ethanol
JAR-16-DRS	jarjarbinks	3/25/23	SA		3	2	730	DNA/RNA Shield
JAR-16-MGE	jarjarbinks	3/25/23	SA		3	2	730	Molecular Grade (96%) Ethanol
OPH-16-DRS	ophelia	3/25/23	SA		3	1	730	DNA/RNA Shield
OPH-16-MGE	ophelia	3/25/23	SA		3	1	730	Molecular Grade (96%) Ethanol
KUB-16-DRS	kubo	3/25/23	SA		3	3	730	DNA/RNA Shield
KUB-16-MGE	kubo	3/25/23	SA		3	3	730	Molecular Grade (96%) Ethanol
KOR-16-DRS	korra	3/25/23	SA		3	3	730	DNA/RNA Shield
KOR-16-MGE	korra	3/25/23	SA		3	3	730	Molecular Grade (96%) Ethanol
WOL-16-DRS	wolverine	3/25/23	SA		3	1	730	DNA/RNA Shield
WOL-16-MGE	wolverine	3/25/23	SA		3	1	730	Molecular Grade (96%) Ethanol
IRI-16-DRS	iris	3/25/23	SA		3	2	730	DNA/RNA Shield
IRI-16-MGE	iris	3/25/23	SA		3	2	730	Molecular Grade (96%) Ethanol
BUD-16-DRS	buddy	3/25/23	SA		3	4	800	DNA/RNA Shield
BUD-16-MGE	buddy	3/25/23	SA		3	4	800	Molecular Grade (96%) Ethanol
HAM-17-DRS	hamlet	3/26/23	SA		3	3	730	DNA/RNA Shield
HAM-17-MGE	hamlet	3/26/23	SA		3	3	730	Molecular Grade (96%) Ethanol
HER-17-DRS	hera	3/26/23	SA		3	2	730	DNA/RNA Shield
HER-17-MGE	hera	3/26/23	SA		3	2	730	Molecular Grade (96%) Ethanol
JAR-17-DRS	jarjarbinks	3/26/23	SA		4	1	730	DNA/RNA Shield
JAR-17-MGE	jarjarbinks	3/26/23	SA		4	1	730	Molecular Grade (96%) Ethanol
OPH-17-DRS	ophelia	3/26/23	SA		4	2	730	DNA/RNA Shield
OPH-17-MGE	ophelia	3/26/23	SA		4	2	730	Molecular Grade (96%) Ethanol
KUB-17-DRS	kubo	3/26/23	SA		4	1	730	DNA/RNA Shield
KUB-17-MGE	kubo	3/26/23	SA		4	1	730	Molecular Grade (96%) Ethanol
KOR-17-DRS	korra	3/26/23	SA		4	2	730	DNA/RNA Shield
KOR-17-MGE	korra	3/26/23	SA		4	2	730	Molecular Grade (96%) Ethanol
WOL-17-DRS	wolverine	3/26/23	SA		4	2	730	DNA/RNA Shield
WOL-17-MGE	wolverine	3/26/23	SA		4	2	730	Molecular Grade (96%) Ethanol
IRI-17-DRS	iris	3/26/23	SA		4	3	730	DNA/RNA Shield
IRI-17-MGE	iris	3/26/23	SA		4	3	730	Molecular Grade (96%) Ethanol
GOO-17-DRS	goose	3/26/23	SA		4	1	800	DNA/RNA Shield
GOO-17-MGE	goose	3/26/23	SA		4	1	800	Molecular Grade (96%) Ethanol
LAM-17-DRS	lambchop	3/26/23	SA		4	3	800	DNA/RNA Shield
LAM-17-MGE	lambchop	3/26/23	SA		4	3	800	Molecular Grade (96%) Ethanol
FRA-17-DRS	franc	3/26/23	SA		4	2	800	DNA/RNA Shield
FRA-17-MGE	franc	3/26/23	SA		4	2	800	Molecular Grade (96%) Ethanol
IVY-17-DRS	ivy	3/26/23	SA		4	2	800	DNA/RNA Shield
