Sequence_ID	Extract_ID	Sample_ID	Seq_ID	Library_Tube	Library_Tube_ID	Library_Barcode	F_Primer	R_Primer	Run_ID	Final_Lib_Conc_ng_uL	Vol_Added_Pool_uL	Full_Seq_ID	Kit	Sequencer	MinION_Position	Flow_Cell_Type	Flongle_Adapter	Flow_Cell_ID	Run_Date	Loaded_By	Pipeline	Extract_Type	Extract_Date	Extracted_By	Extract_Conc_ng_uL	Extract_Kit	Extract_Box	Extract_Notes	Date	Study_Day	Sample_Time	Subject	Sample_Collected_By	Bristol	Sample_Stabilizer	Sample_Box	Sample_Notes	Diet_Trial	Group_Phase	Subj_Day	Group	Room	Cage	Subject_Code	Sex	Housing	Origin	Subj_DOB	Age	Contraception	Previous_Exp	Subject_Notes
HER-2-DRS-L145	DNA1-HER-2-DRS	HER-2-DRS	CM001	12	L145	barcode12	27F	1391R	MIN_16_2023-12-21	12	1.6	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-04	SA	28	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-03-11	2	08:00:00	Hera	SA	2	DNA/RNA Shield	1		run-in	baseline	Hera_2	Group1	RoomB	B1	HER	Female	Pair	Texas	2019-08-29	3.531506849	Estrumate		
HER-2-MGE-L146	DNA1-HER-2-MGE	HER-2-MGE	CM001	13	L146	barcode13	27F	1391R	MIN_16_2023-12-21	4.11	4.8	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-04	SA	6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-03-11	2	08:00:00	Hera	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Hera_2	Group1	RoomB	B1	HER	Female	Pair	Texas	2019-08-29	3.531506849	Estrumate		
IRI-16-DRS-L147	DNA1-IRI-16-DRS	IRI-16-DRS	CM001	14	L147	barcode14	27F	1391R	MIN_16_2023-12-21	9.8	2	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-04	SA	84	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-03-25	16	07:30:00	Iris	SA	2	DNA/RNA Shield	3		intervention_1	gum	Iris_16	Group1	RoomB	B4	IRI	Female	Pair	Texas	2016-05-10	6.835616438	Estrumate	ABX-CTRL	
IRI-16-MGE-L148	DNA1-IRI-16-MGE	IRI-16-MGE	CM001	15	L148	barcode15	27F	1391R	MIN_16_2023-12-21	8.8	2.2	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-04	SA	6.4	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-03-25	16	07:30:00	Iris	SA	2	Molecular Grade (96%) Ethanol	3		intervention_1	gum	Iris_16	Group1	RoomB	B4	IRI	Female	Pair	Texas	2016-05-10	6.835616438	Estrumate	ABX-CTRL	
GIN-66-DRS-L155	DNA1-GIN-66-DRS	GIN-66-DRS	CM001	16	L155	barcode16	27F	1391R	MIN_16_2023-12-21	7	2.8	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-04	SA	29	Quick-DNA Fecal/Soil Microbe	DNA Extracts 5		2023-05-14	66	08:00:00	Ginger	SA	2	DNA/RNA Shield	25		washout_2	gum-washout	Ginger_66	Group2	RoomF	F6	GIN	Female	Pair	Nebraska	2017-01-27	6.117808219	Estrumate	ABX	
WOL-70-DRS-L157	DNA1-WOL-70-DRS	WOL-70-DRS	CM001	17	L157	barcode17	27F	1391R	MIN_16_2023-12-21	10	2	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-04	SA	22	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-18	70	08:00:00	Wolverine	SA	2	DNA/RNA Shield	26		washout_2	control-washout	Wolverine_70	Group1	RoomB	B4	WOL	Male	Pair	Nebraska	2014-09-28	8.452054795		ABX-CTRL	
WOL-70-MGE-L158	DNA1-WOL-70-MGE	WOL-70-MGE	CM001	18	L158	barcode18	27F	1391R	MIN_16_2023-12-21	11	1.8	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-04	SA	9	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-18	70	08:00:00	Wolverine	SA	2	Molecular Grade (95%) Ethanol	26		washout_2	control-washout	Wolverine_70	Group1	RoomB	B4	WOL	Male	Pair	Nebraska	2014-09-28	8.452054795		ABX-CTRL	
JAR-2-DRS-L159	DNA1-JAR-2-DRS	JAR-2-DRS	CM001	19	L159	barcode19	27F	1391R	MIN_16_2023-12-21	7.7	2.6	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-08	SA	5.6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-03-11	2	08:00:00	JarJarBinks	SA	3	DNA/RNA Shield	1		run-in	baseline	JarJarBinks_2	Group1	RoomB	B2	JAR	Male	Pair	Texas	2020-01-25	3.123287671			
JAR-2-MGE-L160	DNA1-JAR-2-MGE	JAR-2-MGE	CM001	20	L160	barcode20	27F	1391R	MIN_16_2023-12-21	7.9	2.5	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-08	SA	5.2	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-03-11	2	08:00:00	JarJarBinks	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	JarJarBinks_2	Group1	RoomB	B2	JAR	Male	Pair	Texas	2020-01-25	3.123287671			
BUD-16-DRS-L161	DNA1-BUD-16-DRS	BUD-16-DRS	CM001	21	L161	barcode21	27F	1391R	MIN_16_2023-12-21	8.9	2.2	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-08	SA	27	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-03-25	16	08:00:00	Buddy	SA	4	DNA/RNA Shield	3		intervention_1	control	Buddy_16	Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274			
HAM-17-MGE-L175	DNA1-HAM-17-MGE	HAM-17-MGE	CM001	22	L175	barcode22	27F	1391R	MIN_16_2023-12-21	8.2	2.4	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	9.5	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-03-26	17	07:30:00	Hamlet	SA	3	Molecular Grade (96%) Ethanol	3		intervention_1	gum	Hamlet_17	Group1	RoomB	B1	HAM	Male	Pair	Nebraska	2017-03-05	6.016438356			
CHA-41-DRS-L176	DNA1-CHA-41-DRS	CHA-41-DRS	CM001	23	L176	barcode23	27F	1391R	MIN_16_2023-12-21	9.4	2.1	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	58	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-19	41	08:00:00	Charles	SA	2	DNA/RNA Shield	13		washout_1	control-washout	Charles_41	Group2	RoomF	F3	CHA	Male	Pair	Nebraska	2018-12-17	4.230136986			re-paired with bubblegum 3/31/23
WOL-44-DRS-L177	DNA1-WOL-44-DRS	WOL-44-DRS	CM001	24	L177	barcode24	27F	1391R	MIN_16_2023-12-21	11	1.8	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	106	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-22	44	07:30:00	Wolverine	SA	2	DNA/RNA Shield	14		intervention_2	control	Wolverine_44	Group1	RoomB	B4	WOL	Male	Pair	Nebraska	2014-09-28	8.452054795		ABX-CTRL	
WOL-44-MGE-L178	DNA1-WOL-44-MGE	WOL-44-MGE	CM001	25	L178	barcode25	27F	1391R	MIN_16_2023-12-21	12	1.6	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-22	44	07:30:00	Wolverine	SA	2	Molecular Grade (96%) Ethanol	14		intervention_2	control	Wolverine_44	Group1	RoomB	B4	WOL	Male	Pair	Nebraska	2014-09-28	8.452054795		ABX-CTRL	
HER-58-DRS-L179	DNA1-HER-58-DRS	HER-58-DRS	CM001	26	L179	barcode26	27F	1391R	MIN_16_2023-12-21	15	1.3	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	58	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-06	58	07:30:00	Hera	SA	2	DNA/RNA Shield	21		washout_2	control-washout	Hera_58	Group1	RoomB	B1	HER	Female	Pair	Texas	2019-08-29	3.531506849	Estrumate		
HER-58-MGE-L180	DNA1-HER-58-MGE	HER-58-MGE	CM001	27	L180	barcode27	27F	1391R	MIN_16_2023-12-21	7.2	2.7	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	24	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-06	58	07:30:00	Hera	SA	2	Molecular Grade (96%) Ethanol	21		washout_2	control-washout	Hera_58	Group1	RoomB	B1	HER	Female	Pair	Texas	2019-08-29	3.531506849	Estrumate		
HER-17-MGE-L187	DNA1-HER-17-MGE	HER-17-MGE	CM001	28	L187	barcode28	27F	1391R	MIN_16_2023-12-21	6.4	3.1	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	15	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-03-26	17	07:30:00	Hera	SA	2	Molecular Grade (96%) Ethanol	3		intervention_1	gum	Hera_17	Group1	RoomB	B1	HER	Female	Pair	Texas	2019-08-29	3.531506849	Estrumate		
IVY-36-MGE-L188	DNA1-IVY-36-MGE	IVY-36-MGE	CM001	29	L188	barcode29	27F	1391R	MIN_16_2023-12-21	11	1.8	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	3.36	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-14	36	08:00:00	Ivy	SA/GR	2	Molecular Grade (96%) Ethanol	12		washout_1	control-washout	Ivy_36	Group2	RoomF	F2	IVY	Female	Pair	Nebraska	2018-12-27	4.202739726	Estrumate		
GRO-41-DRS-L189	DNA1-GRO-41-DRS	GRO-41-DRS	CM001	30	L189	barcode30	27F	1391R	MIN_16_2023-12-21	2.12	9.3	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	107	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-19	41	08:00:00	Grogu	SA	2	DNA/RNA Shield	13		washout_1	control-washout	Grogu_41	Group2	RoomF	F4	GRO	Male	Pair	Texas	2018-08-10	4.583561644			
GRO-41-MGE-L190	DNA1-GRO-41-MGE	GRO-41-MGE	CM001	31	L190	barcode31	27F	1391R	MIN_16_2023-12-21	8.3	2.4	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	13	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-19	41	08:00:00	Grogu	SA	2	Molecular Grade (96%) Ethanol	13		washout_1	control-washout	Grogu_41	Group2	RoomF	F4	GRO	Male	Pair	Texas	2018-08-10	4.583561644			
KOR-44-DRS-L191	DNA1-KOR-44-DRS	KOR-44-DRS	CM001	32	L191	barcode32	27F	1391R	MIN_16_2023-12-21	13	1.5	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	29	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-22	44	07:30:00	Korra	SA	3	DNA/RNA Shield	14		intervention_2	control	Korra_44	Group1	RoomB	B3	KOR	Female	Pair	Nebraska	2017-04-17	5.898630137	Estrumate		gave birth to 4 stillborn babies 4/29/23
KOR-44-MGE-L192	DNA1-KOR-44-MGE	KOR-44-MGE	CM001	33	L192	barcode33	27F	1391R	MIN_16_2023-12-21	7.1	2.8	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-18	SA	11	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-22	44	07:30:00	Korra	SA	3	Molecular Grade (96%) Ethanol	14		intervention_2	control	Korra_44	Group1	RoomB	B3	KOR	Female	Pair	Nebraska	2017-04-17	5.898630137	Estrumate		gave birth to 4 stillborn babies 4/29/23
MAR-41-MGE-L202	DNA1-MAR-41-MGE	MAR-41-MGE	CM001	34	L202	barcode34	27F	1391R	MIN_16_2023-12-21	4.21	4.7	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-29	SA	6.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-19	41	08:00:00	Marshmallow	SA	3	Molecular Grade (96%) Ethanol	13		washout_1	control-washout	Marshmallow_41	Group2	RoomF	F4	MAR	Female	Pair	Nebraska	2019-02-02	4.101369863	Estrumate		
JAR-44-DRS-L203	DNA1-JAR-44-DRS	JAR-44-DRS	CM001	35	L203	barcode35	27F	1391R	MIN_16_2023-12-21	8.8	2.2	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-29	SA	56	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-22	44	07:30:00	JarJarBinks	SA	2	DNA/RNA Shield	14		intervention_2	control	JarJarBinks_44	Group1	RoomB	B2	JAR	Male	Pair	Texas	2020-01-25	3.123287671			
JAR-44-MGE-L204	DNA1-JAR-44-MGE	JAR-44-MGE	CM001	36	L204	barcode36	27F	1391R	MIN_16_2023-12-21	1.97	10	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-29	SA	18	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-22	44	07:30:00	JarJarBinks	SA	2	Molecular Grade (96%) Ethanol	14		intervention_2	control	JarJarBinks_44	Group1	RoomB	B2	JAR	Male	Pair	Texas	2020-01-25	3.123287671			
KUB-58-DRS-L205	DNA1-KUB-58-DRS	KUB-58-DRS	CM001	37	L205	barcode37	27F	1391R	MIN_16_2023-12-21	1.2	16.4	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-29	SA	33	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-06	58	07:30:00	Kubo	SA	2	DNA/RNA Shield	21		washout_2	control-washout	Kubo_58	Group1	RoomB	B3	KUB	Male	Pair	Nebraska	2019-02-02	4.101369863			
KUB-58-MGE-L206	DNA1-KUB-58-MGE	KUB-58-MGE	CM001	38	L206	barcode38	27F	1391R	MIN_16_2023-12-21	3.05	6.4	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-29	SA	4.85	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-06	58	07:30:00	Kubo	SA	2	Molecular Grade (96%) Ethanol	21		washout_2	control-washout	Kubo_58	Group1	RoomB	B3	KUB	Male	Pair	Nebraska	2019-02-02	4.101369863			
HAM-67-DRS-L207	DNA1-HAM-67-DRS	HAM-67-DRS	CM001	39	L207	barcode39	27F	1391R	MIN_16_2023-12-21	3.25	6	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-29	SA	28	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-15	67	07:30:00	Hamlet	SA/GR	2	DNA/RNA Shield	25		washout_2	control-washout	Hamlet_67	Group1	RoomB	B1	HAM	Male	Pair	Nebraska	2017-03-05	6.016438356			
HAM-67-MGE-L208	DNA1-HAM-67-MGE	HAM-67-MGE	CM001	40	L208	barcode40	27F	1391R	MIN_16_2023-12-21	2.35	8.4	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-29	SA	19	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-15	67	07:30:00	Hamlet	SA/GR	2	Molecular Grade (95%) Ethanol	25		washout_2	control-washout	Hamlet_67	Group1	RoomB	B1	HAM	Male	Pair	Nebraska	2017-03-05	6.016438356			
MAR-70-DRS-L209	DNA1-MAR-70-DRS	MAR-70-DRS	CM001	41	L209	barcode41	27F	1391R	MIN_16_2023-12-21	4.68	4.2	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-29	SA	30	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-18	70	07:30:00	Marshmallow	SA	2	DNA/RNA Shield	27		washout_2	gum-washout	Marshmallow_70	Group2	RoomF	F4	MAR	Female	Pair	Nebraska	2019-02-02	4.101369863	Estrumate		
GRO-36-MGE-L214	DNA1-GRO-36-MGE	GRO-36-MGE	CM001	42	L214	barcode42	27F	1391R	MIN_16_2023-12-21	9.2	2.1	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-08-30	SA/SK	23	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-04-14	36	08:00:00	Grogu	SA/GR	2	Molecular Grade (96%) Ethanol	12		washout_1	control-washout	Grogu_36	Group2	RoomF	F4	GRO	Male	Pair	Texas	2018-08-10	4.583561644			
KOR-58-MGE-L215	DNA1-KOR-58-MGE	KOR-58-MGE	CM001	43	L215	barcode43	27F	1391R	MIN_16_2023-12-21	3.33	5.9	LSK_UNO-CM-001	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA	16S_LSK	DNA	2023-09-15	SA	14	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		2023-05-06	58	07:30:00	Korra	SA	3	Molecular Grade (96%) Ethanol	21		washout_2	control-washout	Korra_58	Group1	RoomB	B3	KOR	Female	Pair	Nebraska	2017-04-17	5.898630137	Estrumate		gave birth to 4 stillborn babies 4/29/23
