"","Extract_ID","Sample_ID","Extract_Type","Extract_Date","Extracted_By","Extract_Conc_ng_uL","Extract_Kit","Extract_Box","Extract_Notes"
"44","DNA1-PAD-20-DRS","PAD-20-DRS","DNA",2023-06-15,"SA","84","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"45","DNA1-PAD-20-MGE","PAD-20-MGE","DNA",2023-06-15,"SA","27","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"46","DNA1-KUB-29-DRS","KUB-29-DRS","DNA",2023-06-15,"SA","45","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"47","DNA1-KUB-29-MGE","KUB-29-MGE","DNA",2023-06-15,"SA","4.77","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"48","DNA1-GRO-43-DRS","GRO-43-DRS","DNA",2023-06-15,"SA","48","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"49","DNA1-GRO-43-MGE","GRO-43-MGE","DNA",2023-06-15,"SA","16","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"50","DNA1-JOA-1-DRS","JOA-1-DRS","DNA",2023-06-16,"SA","58","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"51","DNA1-JOA-1-MGE","JOA-1-MGE","DNA",2023-06-16,"SA","49","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"52","DNA1-GOO-17-DRS","GOO-17-DRS","DNA",2023-06-16,"SA","35","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"53","DNA1-GOO-17-MGE","GOO-17-MGE","DNA",2023-06-16,"SA","33","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"54","DNA1-HEN-29-DRS","HEN-29-DRS","DNA",2023-06-16,"SA","42","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"55","DNA1-HEN-29-MGE","HEN-29-MGE","DNA",2023-06-16,"SA","2.04","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"56","DNA1-LAM-43-DRS","LAM-43-DRS","DNA",2023-06-16,"SA","2.18","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"57","DNA1-LAM-43-MGE","LAM-43-MGE","DNA",2023-06-16,"SA","3.63","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"58","DNA1-GIN-57-DRS","GIN-57-DRS","DNA",2023-06-16,"SA","4.01","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"59","DNA1-GIN-57-MGE","GIN-57-MGE","DNA",2023-06-16,"SA","7.9","Quick-DNA Fecal/Soil Microbe","DNA Extracts 1",""
"60","DNA1-WOL-1-DRS","WOL-1-DRS","DNA",2023-06-20,"SA","0.859","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"61","DNA1-WOL-1-MGE","WOL-1-MGE","DNA",2023-06-20,"SA","2.22","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"62","DNA1-HER-9-DRS","HER-9-DRS","DNA",2023-06-20,"SA","23","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"63","DNA1-HER-9-MGE","HER-9-MGE","DNA",2023-06-20,"SA","11","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"64","DNA1-HEN-17-DRS","HEN-17-DRS","DNA",2023-06-20,"SA","26","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"65","DNA1-HEN-17-MGE","HEN-17-MGE","DNA",2023-06-20,"SA","21","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"66","DNA1-JOA-25-DRS","JOA-25-DRS","DNA",2023-06-20,"SA","18","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"67","DNA1-JOA-25-MGE","JOA-25-MGE","DNA",2023-06-20,"SA","3.61","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"68","DNA1-IVY-29-DRS","IVY-29-DRS","DNA",2023-06-20,"SA","1.98","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"69","DNA1-IVY-29-MGE","IVY-29-MGE","DNA",2023-06-20,"SA","1.92","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"70","DNA1-HAM-33-DRS","HAM-33-DRS","DNA",2023-06-20,"SA","2.66","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"71","DNA1-HAM-33-MGE","HAM-33-MGE","DNA",2023-06-20,"SA","5.9","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"72","DNA1-KUB-43-DRS","KUB-43-DRS","DNA",2023-06-20,"SA","71","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"73","DNA1-KUB-43-MGE","KUB-43-MGE","DNA",2023-06-20,"SA","3.9","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"74","DNA1-CHA-47-DRS","CHA-47-DRS","DNA",2023-06-20,"SA","88","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"75","DNA1-CHA-47-MGE","CHA-47-MGE","DNA",2023-06-20,"SA","31","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"76","DNA1-BUD-57-DRS","BUD-57-DRS","DNA",2023-06-20,"SA","41","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"77","DNA1-BUD-57-MGE","BUD-57-MGE","DNA",2023-06-20,"SA","3.2","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"78","DNA1-IRI-69-DRS","IRI-69-DRS","DNA",2023-06-20,"SA","46","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"79","DNA1-IRI-69-MGE","IRI-69-MGE","DNA",2023-06-20,"SA","22","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"80","DNA1-HAM-2-DRS","HAM-2-DRS","DNA",2023-06-22,"SA","15","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"81","DNA1-HAM-2-MGE","HAM-2-MGE","DNA",2023-06-22,"SA","11","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"82","DNA1-JAR-9-DRS","JAR-9-DRS","DNA",2023-06-22,"SA","41","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"83","DNA1-JAR-9-MGE","JAR-9-MGE","DNA",2023-06-22,"SA","8.2","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","out"
"84","DNA1-CHA-17-DRS","CHA-17-DRS","DNA",2023-06-22,"SA","65","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"85","DNA1-CHA-17-MGE","CHA-17-MGE","DNA",2023-06-22,"SA","18","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"86","DNA1-BUD-27-DRS","BUD-27-DRS","DNA",2023-06-22,"SA","6.2","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"87","DNA1-BUD-27-MGE","BUD-27-MGE","DNA",2023-06-22,"SA","8.6","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","out"
"88","DNA1-KOR-29-DRS","KOR-29-DRS","DNA",2023-06-22,"SA","16","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"89","DNA1-KOR-29-MGE","KOR-29-MGE","DNA",2023-06-22,"SA","8.3","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","out"
"90","DNA1-WOL-37-MGE","WOL-37-MGE","DNA",2023-06-22,"SA","0.86","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"91","DNA1-IVY-52-DRS","IVY-52-DRS","DNA",2023-06-22,"SA","24","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"92","DNA1-IVY-52-MGE","IVY-52-MGE","DNA",2023-06-22,"SA","5.6","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"93","DNA1-GOO-66-DRS","GOO-66-DRS","DNA",2023-06-22,"SA","17","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"94","DNA1-GOO-66-MGE","GOO-66-MGE","DNA",2023-06-22,"SA","6.2","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"95","DNA1-KUB-9-DRS","KUB-9-DRS","DNA",2023-06-23,"SA","59","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"96","DNA1-KUB-9-MGE","KUB-9-MGE","DNA",2023-06-23,"SA","3.99","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"97","DNA1-JOA-14-DRS","JOA-14-DRS","DNA",2023-06-23,"SA","7","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"98","DNA1-JOA-14-MGE","JOA-14-MGE","DNA",2023-06-23,"SA","4.45","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"99","DNA1-GIN-27-DRS","GIN-27-DRS","DNA",2023-06-23,"SA","14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"100","DNA1-GIN-27-MGE","GIN-27-MGE","DNA",2023-06-23,"SA","2.17","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"101","DNA1-IRI-28-DRS","IRI-28-DRS","DNA",2023-06-23,"SA","35","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"102","DNA1-IRI-28-MGE","IRI-28-MGE","DNA",2023-06-23,"SA","8.9","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"103","DNA1-HAM-37-MGE","HAM-37-MGE","DNA",2023-06-23,"SA","18","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"104","DNA1-FRA-46-DRS","FRA-46-DRS","DNA",2023-06-23,"SA","8.3","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"105","DNA1-FRA-46-MGE","FRA-46-MGE","DNA",2023-06-23,"SA","9.4","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"106","DNA1-GRO-49-DRS","GRO-49-DRS","DNA",2023-06-23,"SA","51","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"107","DNA1-GRO-49-MGE","GRO-49-MGE","DNA",2023-06-23,"SA","19","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"108","DNA1-WOL-61-DRS","WOL-61-DRS","DNA",2023-06-23,"SA","79","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"109","DNA1-WOL-61-MGE","WOL-61-MGE","DNA",2023-06-23,"SA","8.9","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"110","DNA1-GIN-1-DRS","GIN-1-DRS","DNA",2023-06-26,"SA","47","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"111","DNA1-GIN-1-MGE","GIN-1-MGE","DNA",2023-06-26,"SA","0.246","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"112","DNA1-HER-15-MGE","HER-15-MGE","DNA",2023-06-26,"SA","11","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"113","DNA1-HAM-29-DRS","HAM-29-DRS","DNA",2023-06-26,"SA","98","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"114","DNA1-HAM-29-MGE","HAM-29-MGE","DNA",2023-06-26,"SA","14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"115","DNA1-JAR-43-DRS","JAR-43-DRS","DNA",2023-06-26,"SA","3.98","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"116","DNA1-JAR-43-MGE","JAR-43-MGE","DNA",2023-06-26,"SA","3.84","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"117","DNA1-OPH-57-DRS","OPH-57-DRS","DNA",2023-06-26,"SA","98","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"118","DNA1-OPH-57-MGE","OPH-57-MGE","DNA",2023-06-26,"SA","12","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"119","DNA1-KUB-59-DRS","KUB-59-DRS","DNA",2023-06-26,"SA","HIGHER THAN STANDARD","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"120","DNA1-KUB-59-MGE","KUB-59-MGE","DNA",2023-06-26,"SA","29","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"121","DNA1-HEN-66-DRS","HEN-66-DRS","DNA",2023-06-26,"SA","35","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"122","DNA1-HEN-66-MGE","HEN-66-MGE","DNA",2023-06-26,"SA","1.12","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"123","DNA1-IRI-70-DRS","IRI-70-DRS","DNA",2023-06-26,"SA","59","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"124","DNA1-IRI-70-MGE","IRI-70-MGE","DNA",2023-06-26,"SA","63","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"125","DNA1-HER-1-DRS","HER-1-DRS","DNA",2023-06-27,"SA","66","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"126","DNA1-HER-1-MGE","HER-1-MGE","DNA",2023-06-27,"SA","12","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","out"
"127","DNA1-JAR-15-MGE","JAR-15-MGE","DNA",2023-06-27,"SA","4.1","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"128","DNA1-GIN-29-DRS","GIN-29-DRS","DNA",2023-06-27,"SA","3.43","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"129","DNA1-GIN-29-MGE","GIN-29-MGE","DNA",2023-06-27,"SA","7.7","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"130","DNA1-OPH-43-DRS","OPH-43-DRS","DNA",2023-06-27,"SA","37","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"131","DNA1-OPH-43-MGE","OPH-43-MGE","DNA",2023-06-27,"SA","11","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"132","DNA1-HAM-57-DRS","HAM-57-DRS","DNA",2023-06-27,"SA","19","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"133","DNA1-HAM-57-MGE","HAM-57-MGE","DNA",2023-06-27,"SA","7.7","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2","low"
"134","DNA1-JAR-59-DRS","JAR-59-DRS","DNA",2023-06-27,"SA","27","Quick-DNA Fecal/Soil Microbe","DNA Extracts 2",""
"135","DNA1-JAR-59-MGE","JAR-59-MGE","DNA",2023-06-27,"SA","40","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"136","DNA1-BUD-66-DRS","BUD-66-DRS","DNA",2023-06-27,"SA","17","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"137","DNA1-BUD-66-MGE","BUD-66-MGE","DNA",2023-06-27,"SA","14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3","low"
"138","DNA1-FRA-70-DRS","FRA-70-DRS","DNA",2023-06-27,"SA","62","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"139","DNA1-FRA-70-MGE","FRA-70-MGE","DNA",2023-06-27,"SA","28","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"140","DNA1-JAR-1-DRS","JAR-1-DRS","DNA",2023-06-28,"SA","0.792","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"141","DNA1-JAR-1-MGE","JAR-1-MGE","DNA",2023-06-28,"SA","3.21","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"142","DNA1-KUB-15-MGE","KUB-15-MGE","DNA",2023-06-28,"SA","8.2","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3","out"
"143","DNA1-JOA-29-DRS","JOA-29-DRS","DNA",2023-06-28,"SA","2.15","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"144","DNA1-JOA-29-MGE","JOA-29-MGE","DNA",2023-06-28,"SA","10","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3","low"
"145","DNA1-KOR-43-DRS","KOR-43-DRS","DNA",2023-06-28,"SA","53","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"146","DNA1-KOR-43-MGE","KOR-43-MGE","DNA",2023-06-28,"SA","32","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"147","DNA1-HER-57-DRS","HER-57-DRS","DNA",2023-06-28,"SA","79","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"148","DNA1-HER-57-MGE","HER-57-MGE","DNA",2023-06-28,"SA","12","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3","low"
"149","DNA1-HAM-59-DRS","HAM-59-DRS","DNA",2023-06-28,"SA","38","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"150","DNA1-HAM-59-MGE","HAM-59-MGE","DNA",2023-06-28,"SA","3.47","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"151","DNA1-GRO-66-DRS","GRO-66-DRS","DNA",2023-06-28,"SA","47","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"152","DNA1-GRO-66-MGE","GRO-66-MGE","DNA",2023-06-28,"SA","6.9","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"153","DNA1-IVY-70-DRS","IVY-70-DRS","DNA",2023-06-28,"SA","2.38","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"154","DNA1-IVY-70-MGE","IVY-70-MGE","DNA",2023-06-28,"SA","1.44","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"155","DNA1-IRI-1-DRS","IRI-1-DRS","DNA",2023-06-29,"SA","16","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"156","DNA1-IRI-1-MGE","IRI-1-MGE","DNA",2023-06-29,"SA","11","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3","low"
"157","DNA1-KOR-15-MGE","KOR-15-MGE","DNA",2023-06-29,"SA","14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"158","DNA1-JAR-29-DRS","JAR-29-DRS","DNA",2023-06-29,"SA","1.14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"159","DNA1-JAR-29-MGE","JAR-29-MGE","DNA",2023-06-29,"SA","1.25","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"160","DNA1-WOL-43-DRS","WOL-43-DRS","DNA",2023-06-29,"SA","26","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"161","DNA1-WOL-43-MGE","WOL-43-MGE","DNA",2023-06-29,"SA","1.73","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"162","DNA1-KUB-57-DRS","KUB-57-DRS","DNA",2023-06-29,"SA","41","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"163","DNA1-KUB-57-MGE","KUB-57-MGE","DNA",2023-06-29,"SA","1.53","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"164","DNA1-HER-59-DRS","HER-59-DRS","DNA",2023-06-29,"SA","21","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"165","DNA1-HER-59-MGE","HER-59-MGE","DNA",2023-06-29,"SA","9.7","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3","low"
"166","DNA1-LAM-66-DRS","LAM-66-DRS","DNA",2023-06-29,"SA","2.38","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"167","DNA1-LAM-66-MGE","LAM-66-MGE","DNA",2023-06-29,"SA","2.06","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"168","DNA1-BUD-70-DRS","BUD-70-DRS","DNA",2023-06-29,"SA","7.3","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"169","DNA1-BUD-70-MGE","BUD-70-MGE","DNA",2023-06-29,"SA","0.835","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"170","DNA1-GOO-1-DRS","GOO-1-DRS","DNA",2023-07-06,"SA","12","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3","low"
"171","DNA1-GOO-1-MGE","GOO-1-MGE","DNA",2023-07-06,"SA","2.52","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"172","DNA1-WOL-15-MGE","WOL-15-MGE","DNA",2023-07-06,"SA","2.06","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"173","DNA1-OPH-29-DRS","OPH-29-DRS","DNA",2023-07-06,"SA","28","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"174","DNA1-OPH-29-MGE","OPH-29-MGE","DNA",2023-07-06,"SA","4.02","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"175","DNA1-IRI-43-DRS","IRI-43-DRS","DNA",2023-07-06,"SA","27","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
"176","DNA1-IRI-43-MGE","IRI-43-MGE","DNA",2023-07-06,"SA","4.71","Quick-DNA Fecal/Soil Microbe","DNA Extracts 3",""
