"","Sequence_ID","depth","mean_coverage","Extract_ID","Sample_ID","Seq_ID","Library_Tube","Library_Tube_ID","Library_Barcode","F_Primer","R_Primer","Run_ID","Final_Lib_Conc_ng_uL","Vol_Added_Pool_uL","Full_Seq_ID","Kit","Sequencer","MinION_Position","Flow_Cell_Type","Flongle_Adapter","Flow_Cell_ID","Run_Date","Loaded_By","Pipeline","Extract_Type","Extract_Date","Extracted_By","Extract_Conc_ng_uL","Extract_Kit","Extract_Box","Extract_Notes","Date","Study_Day","Sample_Time","Subject","Sample_Collected_By","Bristol","Sample_Stabilizer","Sample_Box","Sample_Notes","Diet_Trial","Group_Phase","Subj_Day","Group","Room","Cage","Subject_Code","Sex","Housing","Origin","Subj_DOB","Age","Contraception","Previous_Exp","Subject_Notes"
"20","CHA-51-MGE-S131",9172,0.9589,"DNA1-CHA-51-MGE","CHA-51-MGE","CM007",16,"S131","barcode16","27F","1492R","MIN_16_2024-5-21",1.9,2.1,"16S_UNO-CM-007","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG001","FA-08546","AQL192",2024-05-21,"SA","16S_RAP","DNA",2024-03-08,"SA","18","Quick-DNA Fecal/Soil Microbe","DNA Extracts 9","",2023-04-29,"51",08:00:00,"Charles","SA",3,"Molecular Grade (96%) Ethanol",18,"collected from bedding","intervention_2","gum","Charles_51","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
"21","CHA-52-MGE-S226",5456,0.9641,"DNA1-CHA-52-MGE","CHA-52-MGE","CM011",19,"S226","barcode19","27F","1492R","MIN_16_2025-1-23",3.25,1.2,"16S_UNO-CM-011","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWE108",2025-01-23,"SA","16S_RAP","DNA",2024-05-21,"SA","15","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-30,"52",08:00:00,"Charles","SA",3,"Molecular Grade (96%) Ethanol",18,"","intervention_2","gum","Charles_52","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
"22","CHA-55-MGE-S150",8154,0.977,"DNA1-CHA-55-MGE","CHA-55-MGE","CM008",12,"S150","barcode12","27F","1492R","MIN_16_2024-6-11",3.49,1.2,"16S_UNO-CM-008","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AUD426",2024-06-11,"SA","16S_RAP","DNA",2024-03-25,"SA","2.96","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-05-03,"55",08:00:00,"Charles","SA/GR",3,"Molecular Grade (96%) Ethanol",20,"","intervention_2","gum","Charles_55","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
"23","CHA-57-DRS-L131",7,0.9299,"DNA1-CHA-57-DRS","CHA-57-DRS","CM001",4,"L131","barcode04","27F","1391R","MIN_16_2023-12-21",7.4,2.7,"LSK_UNO-CM-001","SQK-LSK114 EXP-PBC096","Angel-MinION","MN43747","FLO-MIN114","","FAW97410",2023-12-21,"SA","16S_LSK","DNA",2023-07-28,"SA","47","Quick-DNA Fecal/Soil Microbe","DNA Extracts 5","",2023-05-05,"57",08:00:00,"Charles","SA",3,"DNA/RNA Shield",21,"","washout_2","gum-washout","Charles_57","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
"24","CHA-9-MGE-S204",8434,0.9734,"DNA1-CHA-9-MGE","CHA-9-MGE","CM010",20,"S204","barcode20","27F","1492R","MIN_16_2024-7-21",3.42,1.2,"16S_UNO-CM-010","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI583",2024-07-21,"SA","16S_RAP","DNA",2024-05-07,"SA","2.3","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-03-18,"9",08:00:00,"Charles","SA",2,"Molecular Grade (96%) Ethanol",2,"","baseline","run-in","Charles_9","Group2","RoomF","F3","CHA","Male","Pair","Nebraska",2018-12-17,4.230136986,"","","re-paired with bubblegum 3/31/23"
"25","CM-NTC-003",1,0.9389,"NTC","NTC3","CM003",24,"CTRL","barcode24","27F","1492R","MIN_16_2024-3-6",NA,NA,"16S_UNO-CM-003","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM773",2024-03-06,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CM-NTC-004",8,0.9266,"NTC","NTC4","CM004",24,"CTRL","barcode24","27F","1492R","MIN_16_2024-2-29",NA,NA,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CM-NTC-005",14,0.9189,"NTC","NTC5","CM005",24,"CTRL","barcode24","27F","1492R","MIN_16_2024-3-1",NA,NA,"16S_UNO-CM-005","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM042",2024-03-01,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CM-NTC-006",1,0.9182,"NTC","NTC6","CM006",24,"CTRL","barcode24","27F","1492R","MIN_16_2024-5-19",0.0269,1.6,"16S_UNO-CM-006","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM904",2024-05-19,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","CM-NTC-008",57,0.9808,"NTC","NTC8","CM008",24,"CTRL","barcode24","27F","1492R","MIN_16_2024-6-11",0.668,6,"16S_UNO-CM-008","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AUD426",2024-06-11,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","CM-NTC-009",42,0.9649,"NTC","NTC9","CM009",24,"CTRL","barcode24","27F","1492R","MIN_16_2024-7-19",2.27,1.8,"16S_UNO-CM-009","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI598",2024-07-19,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CM-NTC-010",35,0.9769,"NTC","NTC10","CM010",24,"CTRL","barcode24","27F","1492R","MIN_16_2024-7-21",0.783,5.1,"16S_UNO-CM-010","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI583",2024-07-21,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","CM-NTC-011",7,0.9728,"NTC","NTC11","CM011",24,"CTRL","barcode24","27F","1492R","MIN_16_2025-1-23",0.679,5.9,"16S_UNO-CM-011","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWE108",2025-01-23,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CM-NTC-012",25,0.9601,"NTC","NTC12","CM012",24,"CTRL","barcode24","27F","1492R","MIN_16_2025-2-21",0.854,4.7,"16S_UNO-CM-012","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWI952",2025-02-21,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CM-NTC-013",44,0.9558,"NTC","NTC13","CM013",24,"CTRL","barcode24","27F","1492R","MIN_16_2025-4-1",0.628,6.4,"16S_UNO-CM-013","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWD252",2025-04-01,"SA/TSP","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CM-NTC-014",59,0.9726,"NTC","NTC14","CM014",24,"CTRL","barcode24","27F","1492R","MIN_16_2025-4-2",0.611,6.6,"16S_UNO-CM-014","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWG208",2025-04-02,"SA","16S_RAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","FRA-19-MGE-S160",8611,0.9724,"DNA1-FRA-19-MGE","FRA-19-MGE","CM008",22,"S160","barcode22","27F","1492R","MIN_16_2024-6-11",4.48,0.9,"16S_UNO-CM-008","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AUD426",2024-06-11,"SA","16S_RAP","DNA",2024-04-23,"SA","3.87","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-03-28,"19",07:30:00,"Franc","SA",2,"Molecular Grade (96%) Ethanol",4,"","intervention_1","control","Franc_19","Group2","RoomF","F2","FRA","Male","Pair","Texas",2016-11-06,6.342465753,"","ABX",""
"37","FRA-22-MGE-S138",8697,0.9562,"DNA1-FRA-22-MGE","FRA-22-MGE","CM007",23,"S138","barcode23","27F","1492R","MIN_16_2024-5-21",5.1,0.8,"16S_UNO-CM-007","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG001","FA-08546","AQL192",2024-05-21,"SA","16S_RAP","DNA",2023-11-01,"SA/SK","2.31","Quick-DNA Fecal/Soil Microbe","DNA Extracts 7","",2023-03-31,"22",07:30:00,"Franc","SA/GR",3,"Molecular Grade (96%) Ethanol",5,"","intervention_1","control","Franc_22","Group2","RoomF","F2","FRA","Male","Pair","Texas",2016-11-06,6.342465753,"","ABX",""
"38","FRA-24-MGE-S262",8468,0.9604,"DNA1-FRA-24-MGE","FRA-24-MGE","CM013",9,"S262","barcode09","27F","1492R","MIN_16_2025-4-1",4.89,0.8,"16S_UNO-CM-013","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWD252",2025-04-01,"SA/TSP","16S_RAP","DNA",2024-08-09,"AS","7.9","Quick-DNA Fecal/Soil Microbe","DNA Extracts 11","",2023-04-02,"24",07:30:00,"Franc","SA",2,"Molecular Grade (96%) Ethanol",5,"","intervention_1","control","Franc_24","Group2","RoomF","F2","FRA","Male","Pair","Texas",2016-11-06,6.342465753,"","ABX",""
"39","FRA-37-MGE-S279",15064,0.9671,"DNA1-FRA-37-MGE","FRA-37-MGE","CM014",3,"S279","barcode03","27F","1492R","MIN_16_2025-4-2",3.46,1.2,"16S_UNO-CM-014","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AWG208",2025-04-02,"SA","16S_RAP","DNA",2024-03-08,"SA","Higher Than Standard","Quick-DNA Fecal/Soil Microbe","DNA Extracts 9","",2023-04-15,"37",08:00:00,"Franc","SA",2,"Molecular Grade (96%) Ethanol",12,"","washout_1","control-washout","Franc_37","Group2","RoomF","F2","FRA","Male","Pair","Texas",2016-11-06,6.342465753,"","ABX",""
"40","FRA-44-DRS-S35",7070,0.9642,"DNA1-FRA-44-DRS","FRA-44-DRS","CM003",12,"S35","barcode12","27F","1492R","MIN_16_2024-3-6",5.3,0.8,"16S_UNO-CM-003","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARM773",2024-03-06,"SA","16S_RAP","DNA",2023-10-11,"SA/SK","9.5","Quick-DNA Fecal/Soil Microbe","DNA Extracts 7","",2023-04-22,"44",08:00:00,"Franc","SA",3,"DNA/RNA Shield",14,"","intervention_2","gum","Franc_44","Group2","RoomF","F2","FRA","Male","Pair","Texas",2016-11-06,6.342465753,"","ABX",""
"41","FRA-45-DRS-S57",7607,0.9585,"DNA1-FRA-45-DRS","FRA-45-DRS","CM004",11,"S57","barcode11","27F","1492R","MIN_16_2024-2-29",5.7,0.7,"16S_UNO-CM-004","SQK-16S024","Angel-MinION","MN43747","FLO-FLG001","FA-08546","ARL498",2024-02-29,"SA","16S_RAP","DNA",2023-11-08,"SA/SK","4.15","Quick-DNA Fecal/Soil Microbe","DNA Extracts 8","",2023-04-23,"45",08:00:00,"Franc","SA",3,"DNA/RNA Shield",15,"","intervention_2","gum","Franc_45","Group2","RoomF","F2","FRA","Male","Pair","Texas",2016-11-06,6.342465753,"","ABX",""
"42","FRA-47-MGE-S195",5554,0.9682,"DNA1-FRA-47-MGE","FRA-47-MGE","CM010",11,"S195","barcode11","27F","1492R","MIN_16_2024-7-21",3.92,1,"16S_UNO-CM-010","SQK-16S114-24","Angel-MinION","MN43747","FLO-FLG114","FA-08546","AVI583",2024-07-21,"SA","16S_RAP","DNA",2024-04-30,"SA","14","Quick-DNA Fecal/Soil Microbe","DNA Extracts 10","",2023-04-25,"47",07:30:00,"Franc","SA",3,"Molecular Grade (96%) Ethanol",16,"","intervention_2","gum","Franc_47","Group2","RoomF","F2","FRA","Male","Pair","Texas",2016-11-06,6.342465753,"","ABX",""
