Sample_ID	Date	Study_Day	Sample_Time	Subject	Sample_Collected_By	Bristol	Sample_Stabilizer	Sample_Box	Sample_Notes	Diet_Trial	Group_Phase	Subj_Day	Known_Repro	Group	Room	Cage	Subject_Code	Sex	Housing	Origin	Subj_DOB	Age	Contraception	Previous_Exp	Subject_Notes	Extract_ID	Extract_Type	Extract_Date	Extracted_By	Extract_Conc_ng_uL	Extract_Kit	Extract_Box	Extract_Notes	Sequence_ID	Seq_ID	Library_Tube	Library_Tube_ID	Library_Barcode	F_Primer	R_Primer	Run_ID	Final_Lib_Conc_ng_uL	Vol_Added_Pool_uL	Full_Seq_ID	Pipeline	Kit	Sequencer	MinION_Position	Flow_Cell_Type	Flongle_Adapter	Flow_Cell_ID	Run_Date	Loaded_By
BUD-16-DRS	2023-03-25	16	08:00:00	Buddy	SA	4	DNA/RNA Shield	3		intervention_1	control	Buddy_16		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-16-DRS	DNA	2023-08-08	SA	27	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		BUD-16-DRS-L161	CM001	21	L161	barcode21	27F	1391R	MIN_16_2023-12-21	8.9	2.2	LSK_UNO-CM-001	16S_LSK	SQK-LSK114 EXP-PBC096	Angel-MinION	MN43747	FLO-MIN114		FAW97410	2023-12-21	SA
BUD-16-DRS	2023-03-25	16	08:00:00	Buddy	SA	4	DNA/RNA Shield	3		intervention_1	control	Buddy_16		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				RNA1-BUD-16-DRS	RNA	2023-08-28	SA/SK	101	Quick-DNA/RNA MagBead	RNA Extracts 3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-16-MGE	2023-03-25	16	08:00:00	Buddy	SA	4	Molecular Grade (96%) Ethanol	3		intervention_1	control	Buddy_16		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-16-MGE	DNA	2023-08-08	SA	0.39	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-16-MGE	2023-03-25	16	08:00:00	Buddy	SA	4	Molecular Grade (96%) Ethanol	3		intervention_1	control	Buddy_16		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				RNA1-BUD-16-MGE	RNA	2023-08-28	SA/SK	0.252	Quick-DNA/RNA MagBead	RNA Extracts 3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-17-DRS	2023-03-26	17	08:00:00	Buddy	SA	2	DNA/RNA Shield	4		intervention_1	control	Buddy_17		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-17-MGE	2023-03-26	17	08:00:00	Buddy	SA	2	Molecular Grade (96%) Ethanol	4		intervention_1	control	Buddy_17		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-17-MGE	DNA	2024-05-28	SA/TSP	14	Quick-DNA Fecal/Soil Microbe	DNA Extracts 11		BUD-17-MGE-S232	CM012	2	S232	barcode02	27F	1492R	MIN_16_2025-2-21	4.96	0.8	16S_UNO-CM-012	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AWI952	2025-02-21	SA
BUD-18-DRS	2023-03-27	18	07:30:00	Buddy	SA/GR	2	DNA/RNA Shield	4		intervention_1	control	Buddy_18		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-18-MGE	2023-03-27	18	07:30:00	Buddy	SA/GR	2	Molecular Grade (96%) Ethanol	4		intervention_1	control	Buddy_18		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-18-MGE	DNA	2024-08-07	SA	1.35	Quick-DNA Fecal/Soil Microbe	DNA Extracts 11		BUD-18-MGE-S250	CM012	20	S250	barcode20	27F	1492R	MIN_16_2025-2-21	8	0.5	16S_UNO-CM-012	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AWI952	2025-02-21	SA
BUD-19-DRS	2023-03-28	19	07:30:00	Buddy	SA	3	DNA/RNA Shield	4		intervention_1	control	Buddy_19		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-19-DRS	2023-03-28	19	07:30:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	4		intervention_1	control	Buddy_19		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-20-DRS	2023-03-29	20	08:00:00	Buddy	SA	2	DNA/RNA Shield	4		intervention_1	control	Buddy_20		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-20-MGE	2023-03-29	20	08:00:00	Buddy	SA	2	Molecular Grade (96%) Ethanol	4		intervention_1	control	Buddy_20		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-21-DRS	2023-03-30	21	07:30:00	Buddy	SA	3	DNA/RNA Shield	5		intervention_1	control	Buddy_21		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-21-MGE	2023-03-30	21	07:30:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	5		intervention_1	control	Buddy_21		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-21-MGE	DNA	2024-08-07	SA	10	Quick-DNA Fecal/Soil Microbe	DNA Extracts 11		BUD-21-MGE-S257	CM013	4	S257	barcode04	27F	1492R	MIN_16_2025-4-1	5.4	0.7	16S_UNO-CM-013	16S_RAP	SQK-16S114-24	Angel-MinION	MN43747	FLO-FLG114	FA-08546	AWD252	2025-04-01	SA/TSP
BUD-22-DRS	2023-03-31	22	07:30:00	Buddy	SA/GR	1	DNA/RNA Shield	5		intervention_1	control	Buddy_22		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-22-MGE	2023-03-31	22	07:30:00	Buddy	SA/GR	1	Molecular Grade (96%) Ethanol	5		intervention_1	control	Buddy_22		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-24-DRS	2023-04-02	24	07:30:00	Buddy	SA	3	DNA/RNA Shield	5		intervention_1	control	Buddy_24		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-24-MGE	2023-04-02	24	07:30:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	5		intervention_1	control	Buddy_24		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-25-DRS	2023-04-03	25	07:30:00	Buddy	SA/GR	3	DNA/RNA Shield	6		intervention_1	control	Buddy_25		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-25-MGE	2023-04-03	25	07:30:00	Buddy	SA/GR	3	Molecular Grade (96%) Ethanol	6		intervention_1	control	Buddy_25		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-27-DRS	2023-04-05	27	07:30:00	Buddy	SA/GR	2	DNA/RNA Shield	7		intervention_1	control	Buddy_27		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-27-DRS	DNA	2023-06-22	SA	6.2	Quick-DNA Fecal/Soil Microbe	DNA Extracts 2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-27-MGE	2023-04-05	27	07:30:00	Buddy	SA/GR	2	Molecular Grade (96%) Ethanol	7		intervention_1	control	Buddy_27		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-27-MGE	DNA	2023-06-22	SA	8.6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 2	out	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-28-DRS	2023-04-06	28	08:00:00	Buddy	SA	3	DNA/RNA Shield	7		intervention_1	control	Buddy_28		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-28-MGE	2023-04-06	28	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	7		intervention_1	control	Buddy_28		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-28-MGE	DNA	2023-11-01	SA/MB	9.6	Quick-DNA Fecal/Soil Microbe	DNA Extracts 7		BUD-28-MGE-S47	CM004	1	S47	barcode01	27F	1492R	MIN_16_2024-2-29	7.3	0.6	16S_UNO-CM-004	16S_RAP	SQK-16S024	Angel-MinION	MN43747	FLO-FLG001	FA-08546	ARL498	2024-02-29	SA
BUD-28-MGE	2023-04-06	28	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	7		intervention_1	control	Buddy_28		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				RNA1-BUD-28-MGE	RNA	2023-11-30	SA		Quick-DNA/RNA MagBead	RNA Extracts 4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-29-DRS	2023-04-07	29	07:30:00	Buddy	SA/GR	2	DNA/RNA Shield	8		washout_1	control-washout	Buddy_29		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-29-DRS	DNA	2023-07-11	SA	7.7	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-29-DRS	2023-04-07	29	07:30:00	Buddy	SA/GR	2	DNA/RNA Shield	8		washout_1	control-washout	Buddy_29		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA2-BUD-29-DRS	DNA	2023-07-12	SA	41	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-29-DRS	2023-04-07	29	07:30:00	Buddy	SA/GR	2	DNA/RNA Shield	8		washout_1	control-washout	Buddy_29		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				RNA1-BUD-29-DRS	RNA	2023-07-13	SA	>106	Quick-DNA/RNA MagBead	RNA Extracts 1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-29-MGE	2023-04-07	29	07:30:00	Buddy	SA/GR	2	Molecular Grade (96%) Ethanol	8		washout_1	control-washout	Buddy_29		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-29-MGE	DNA	2023-07-11	SA	4.21	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-29-MGE	2023-04-07	29	07:30:00	Buddy	SA/GR	2	Molecular Grade (96%) Ethanol	8		washout_1	control-washout	Buddy_29		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA2-BUD-29-MGE	DNA	2023-07-12	SA	22	Quick-DNA Fecal/Soil Microbe	DNA Extracts 3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-29-MGE	2023-04-07	29	07:30:00	Buddy	SA/GR	2	Molecular Grade (96%) Ethanol	8		washout_1	control-washout	Buddy_29		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				RNA1-BUD-29-MGE	RNA	2023-07-13	SA	>106	Quick-DNA/RNA MagBead	RNA Extracts 1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-30-DRS	2023-04-08	30	08:00:00	Buddy	SA	3	DNA/RNA Shield	8		washout_1	control-washout	Buddy_30		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-30-MGE	2023-04-08	30	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	8		washout_1	control-washout	Buddy_30		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-32-DRS	2023-04-10	32	07:30:00	Buddy	SA/GR	3	DNA/RNA Shield	10		washout_1	control-washout	Buddy_32		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-32-MGE	2023-04-10	32	07:30:00	Buddy	SA/GR	3	Molecular Grade (96%) Ethanol	10		washout_1	control-washout	Buddy_32		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-34-DRS	2023-04-12	34	07:30:00	Buddy	SA/GR	3	DNA/RNA Shield	11		washout_1	control-washout	Buddy_34		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-34-MGE	2023-04-12	34	07:30:00	Buddy	SA/GR	3	Molecular Grade (96%) Ethanol	11		washout_1	control-washout	Buddy_34		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-35-DRS	2023-04-13	35	08:00:00	Buddy	SA	2	DNA/RNA Shield	11		washout_1	control-washout	Buddy_35		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-35-MGE	2023-04-13	35	08:00:00	Buddy	SA	2	Molecular Grade (96%) Ethanol	11		washout_1	control-washout	Buddy_35		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-36-MGE	2023-04-14	36	08:00:00	Buddy	SA/GR	3	Molecular Grade (96%) Ethanol	12		washout_1	control-washout	Buddy_36		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-36-MGE	DNA	2023-10-11	SA/SK	27	Quick-DNA Fecal/Soil Microbe	DNA Extracts 7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-36-MGE	2023-04-14	36	08:00:00	Buddy	SA/GR	3	Molecular Grade (96%) Ethanol	12		washout_1	control-washout	Buddy_36		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				RNA1-BUD-36-MGE	RNA	2023-11-01	SA		Quick-DNA/RNA MagBead	RNA Extracts 4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-37-MGE	2023-04-15	37	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	12		washout_1	control-washout	Buddy_37		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-38-MGE	2023-04-16	38	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	12		washout_1	control-washout	Buddy_38		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-39-MGE	2023-04-17	39	07:30:00	Buddy	SA/GR	3	Molecular Grade (96%) Ethanol	12		washout_1	control-washout	Buddy_39		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-41-DRS	2023-04-19	41	08:00:00	Buddy	SA	3	DNA/RNA Shield	13		washout_1	control-washout	Buddy_41		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-41-DRS	DNA	2023-09-15	SA	3.32	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-41-DRS	2023-04-19	41	08:00:00	Buddy	SA	3	DNA/RNA Shield	13		washout_1	control-washout	Buddy_41		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				RNA1-BUD-41-DRS	RNA	2023-09-18	SA/SK	93	Quick-DNA/RNA MagBead	RNA Extracts 3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-41-MGE	2023-04-19	41	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	13		washout_1	control-washout	Buddy_41		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				DNA1-BUD-41-MGE	DNA	2023-09-15	SA	1.3	Quick-DNA Fecal/Soil Microbe	DNA Extracts 6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-41-MGE	2023-04-19	41	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	13		washout_1	control-washout	Buddy_41		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				RNA1-BUD-41-MGE	RNA	2023-09-18	SA/SK	>100	Quick-DNA/RNA MagBead	RNA Extracts 3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-42-DRS	2023-04-20	42	08:00:00	Buddy	SA	3	DNA/RNA Shield	13	collected from bedding	washout_1	control-washout	Buddy_42		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BUD-42-MGE	2023-04-20	42	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	13	collected from bedding	washout_1	control-washout	Buddy_42		Group2	RoomF	F5	BUD	Male	Family	Texas	2016-10-17	6.397260274				NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
