Sample_ID	Date	Study_Day	Sample_Time	Subject	Sample_Collected_By	Bristol	Sample_Stabilizer	Sample_Box	Sample_Notes	Diet_Trial	Group_Phase	Subj_Day
OPH-3-MGE	2023-03-12	3	08:00:00	Ophelia	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Ophelia_3
KUB-3-DRS	2023-03-12	3	08:00:00	Kubo	SA	1	DNA/RNA Shield	1		run-in	baseline	Kubo_3
KUB-3-MGE	2023-03-12	3	08:00:00	Kubo	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Kubo_3
KOR-3-DRS	2023-03-12	3	08:00:00	Korra	SA	2	DNA/RNA Shield	1		run-in	baseline	Korra_3
KOR-3-MGE	2023-03-12	3	08:00:00	Korra	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Korra_3
WOL-3-DRS	2023-03-12	3	08:00:00	Wolverine	SA	1	DNA/RNA Shield	1		run-in	baseline	Wolverine_3
WOL-3-MGE	2023-03-12	3	08:00:00	Wolverine	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Wolverine_3
IRI-3-DRS	2023-03-12	3	08:00:00	Iris	SA	2	DNA/RNA Shield	1		run-in	baseline	Iris_3
IRI-3-MGE	2023-03-12	3	08:00:00	Iris	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Iris_3
GOO-3-DRS	2023-03-12	3	07:30:00	Goose	SA	2	DNA/RNA Shield	1		run-in	baseline	Goose_3
GOO-3-MGE	2023-03-12	3	07:30:00	Goose	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Goose_3
LAM-3-DRS	2023-03-12	3	07:30:00	Lambchop	SA	3	DNA/RNA Shield	1		run-in	baseline	Lambchop_3
LAM-3-MGE	2023-03-12	3	07:30:00	Lambchop	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	Lambchop_3
FRA-3-DRS	2023-03-12	3	07:30:00	Franc	SA	2	DNA/RNA Shield	1		run-in	baseline	Franc_3
FRA-3-MGE	2023-03-12	3	07:30:00	Franc	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Franc_3
IVY-3-DRS	2023-03-12	3	07:30:00	Ivy	SA	1	DNA/RNA Shield	1		run-in	baseline	Ivy_3
IVY-3-MGE	2023-03-12	3	07:30:00	Ivy	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Ivy_3
PAD-3-DRS	2023-03-12	3	07:30:00	Padme	SA	3	DNA/RNA Shield	1		run-in	baseline	Padme_3
PAD-3-MGE	2023-03-12	3	07:30:00	Padme	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	Padme_3
GRO-3-DRS	2023-03-12	3	07:30:00	Grogu	SA	2	DNA/RNA Shield	1		run-in	baseline	Grogu_3
GRO-3-MGE	2023-03-12	3	07:30:00	Grogu	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Grogu_3
MAR-3-DRS	2023-03-12	3	07:30:00	Marshmallow	SA	3	DNA/RNA Shield	1		run-in	baseline	Marshmallow_3
MAR-3-MGE	2023-03-12	3	07:30:00	Marshmallow	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	Marshmallow_3
BUD-3-DRS	2023-03-12	3	07:30:00	Buddy	SA	3	DNA/RNA Shield	1		run-in	baseline	Buddy_3
BUD-3-MGE	2023-03-12	3	07:30:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	Buddy_3
JOA-3-DRS	2023-03-12	3	07:30:00	Joans	SA	2	DNA/RNA Shield	1		run-in	baseline	Joans_3
JOA-3-MGE	2023-03-12	3	07:30:00	Joans	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Joans_3
HEN-3-DRS	2023-03-12	3	07:30:00	Henry	SA	2	DNA/RNA Shield	1		run-in	baseline	Henry_3
HEN-3-MGE	2023-03-12	3	07:30:00	Henry	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Henry_3
GIN-3-DRS	2023-03-12	3	07:30:00	Ginger	SA	3	DNA/RNA Shield	1		run-in	baseline	Ginger_3
GIN-3-MGE	2023-03-12	3	07:30:00	Ginger	SA	3	Molecular Grade (96%) Ethanol	1		run-in	baseline	Ginger_3
HAM-4-DRS	2023-03-13	4	08:00:00	Hamlet	SA	1	DNA/RNA Shield	1		run-in	baseline	Hamlet_4
HAM-4-MGE	2023-03-13	4	08:00:00	Hamlet	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Hamlet_4
HER-4-DRS	2023-03-13	4	08:00:00	Hera	SA	1	DNA/RNA Shield	1		run-in	baseline	Hera_4
HER-4-MGE	2023-03-13	4	08:00:00	Hera	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Hera_4
JAR-4-DRS	2023-03-13	4	08:00:00	JarJarBinks	SA	2	DNA/RNA Shield	1		run-in	baseline	JarJarBinks_4
JAR-4-MGE	2023-03-13	4	08:00:00	JarJarBinks	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	JarJarBinks_4
OPH-4-DRS	2023-03-13	4	08:00:00	Ophelia	SA	1	DNA/RNA Shield	1		run-in	baseline	Ophelia_4
OPH-4-MGE	2023-03-13	4	08:00:00	Ophelia	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Ophelia_4
KUB-4-DRS	2023-03-13	4	08:00:00	Kubo	SA	1	DNA/RNA Shield	1		run-in	baseline	Kubo_4
KUB-4-MGE	2023-03-13	4	08:00:00	Kubo	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Kubo_4
KOR-4-DRS	2023-03-13	4	08:00:00	Korra	SA	2	DNA/RNA Shield	1		run-in	baseline	Korra_4
KOR-4-MGE	2023-03-13	4	08:00:00	Korra	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Korra_4
WOL-4-DRS	2023-03-13	4	08:00:00	Wolverine	SA	1	DNA/RNA Shield	1		run-in	baseline	Wolverine_4
WOL-4-MGE	2023-03-13	4	08:00:00	Wolverine	SA	1	Molecular Grade (96%) Ethanol	1		run-in	baseline	Wolverine_4
IRI-4-DRS	2023-03-13	4	08:00:00	Iris	SA	2	DNA/RNA Shield	1		run-in	baseline	Iris_4
IRI-4-MGE	2023-03-13	4	08:00:00	Iris	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Iris_4
GOO-4-DRS	2023-03-13	4	07:30:00	Goose	SA	2	DNA/RNA Shield	1		run-in	baseline	Goose_4
GOO-4-MGE	2023-03-13	4	07:30:00	Goose	SA	2	Molecular Grade (96%) Ethanol	1		run-in	baseline	Goose_4
LAM-4-DRS	2023-03-13	4	07:30:00	Lambchop	SA	2	DNA/RNA Shield	2		run-in	baseline	Lambchop_4
LAM-4-MGE	2023-03-13	4	07:30:00	Lambchop	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Lambchop_4
FRA-4-DRS	2023-03-13	4	07:30:00	Franc	SA	2	DNA/RNA Shield	2		run-in	baseline	Franc_4
FRA-4-MGE	2023-03-13	4	07:30:00	Franc	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Franc_4
IVY-4-DRS	2023-03-13	4	07:30:00	Ivy	SA	2	DNA/RNA Shield	2		run-in	baseline	Ivy_4
IVY-4-MGE	2023-03-13	4	07:30:00	Ivy	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Ivy_4
BUD-4-DRS	2023-03-13	4	07:30:00	Buddy	SA	2	DNA/RNA Shield	2		run-in	baseline	Buddy_4
BUD-4-MGE	2023-03-13	4	07:30:00	Buddy	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Buddy_4
JOA-4-DRS	2023-03-13	4	07:30:00	Joans	SA	2	DNA/RNA Shield	2		run-in	baseline	Joans_4
JOA-4-MGE	2023-03-13	4	07:30:00	Joans	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Joans_4
HEN-4-DRS	2023-03-13	4	07:30:00	Henry	SA	3	DNA/RNA Shield	2	blood in stool	run-in	baseline	Henry_4
HEN-4-MGE	2023-03-13	4	07:30:00	Henry	SA	3	Molecular Grade (96%) Ethanol	2	blood in stool	run-in	baseline	Henry_4
GIN-4-DRS	2023-03-13	4	07:30:00	Ginger	SA	2	DNA/RNA Shield	2		run-in	baseline	Ginger_4
GIN-4-MGE	2023-03-13	4	07:30:00	Ginger	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Ginger_4
HAM-5-DRS	2023-03-14	5	08:30:00	Hamlet	SA	1	DNA/RNA Shield	2		run-in	baseline	Hamlet_5
HAM-5-MGE	2023-03-14	5	08:30:00	Hamlet	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Hamlet_5
PAD-5-DRS	2023-03-14	5	08:00:00	Padme	SA	4	DNA/RNA Shield	2		run-in	baseline	Padme_5
PAD-5-MGE	2023-03-14	5	08:00:00	Padme	SA	4	Molecular Grade (96%) Ethanol	2		run-in	baseline	Padme_5
HAM-6-DRS	2023-03-15	6	08:00:00	Hamlet	SA	2	DNA/RNA Shield	2		run-in	baseline	Hamlet_6
HAM-6-MGE	2023-03-15	6	08:00:00	Hamlet	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Hamlet_6
OPH-6-DRS	2023-03-15	6	08:00:00	Ophelia	SA	1	DNA/RNA Shield	2		run-in	baseline	Ophelia_6
OPH-6-MGE	2023-03-15	6	08:00:00	Ophelia	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Ophelia_6
KOR-6-DRS	2023-03-15	6	08:00:00	Korra	SA	4	DNA/RNA Shield	2		run-in	baseline	Korra_6
KOR-6-MGE	2023-03-15	6	08:00:00	Korra	SA	4	Molecular Grade (96%) Ethanol	2		run-in	baseline	Korra_6
WOL-6-DRS	2023-03-15	6	08:00:00	Wolverine	SA	3	DNA/RNA Shield	2		run-in	baseline	Wolverine_6
WOL-6-MGE	2023-03-15	6	08:00:00	Wolverine	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Wolverine_6
LAM-6-DRS	2023-03-15	6	07:30:00	Lambchop	SA	2	DNA/RNA Shield	2		run-in	baseline	Lambchop_6
LAM-6-MGE	2023-03-15	6	07:30:00	Lambchop	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Lambchop_6
IVY-6-DRS	2023-03-15	6	07:30:00	Ivy	SA	2	DNA/RNA Shield	2		run-in	baseline	Ivy_6
IVY-6-MGE	2023-03-15	6	07:30:00	Ivy	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Ivy_6
PAD-6-DRS	2023-03-15	6	07:30:00	Padme	SA	4	DNA/RNA Shield	2		run-in	baseline	Padme_6
PAD-6-MGE	2023-03-15	6	07:30:00	Padme	SA	4	Molecular Grade (96%) Ethanol	2		run-in	baseline	Padme_6
MAR-6-DRS	2023-03-15	6	07:30:00	Marshmallow	SA	4	DNA/RNA Shield	2		run-in	baseline	Marshmallow_6
MAR-6-MGE	2023-03-15	6	07:30:00	Marshmallow	SA	4	Molecular Grade (96%) Ethanol	2		run-in	baseline	Marshmallow_6
JOA-6-DRS	2023-03-15	6	07:30:00	Joans	SA	1	DNA/RNA Shield	2		run-in	baseline	Joans_6
JOA-6-MGE	2023-03-15	6	07:30:00	Joans	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Joans_6
HEN-6-DRS	2023-03-15	6	07:30:00	Henry	SA	3	DNA/RNA Shield	2		run-in	baseline	Henry_6
HEN-6-MGE	2023-03-15	6	07:30:00	Henry	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Henry_6
HAM-7-DRS	2023-03-16	7	08:00:00	Hamlet	SA	1	DNA/RNA Shield	2		run-in	baseline	Hamlet_7
HAM-7-MGE	2023-03-16	7	08:00:00	Hamlet	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Hamlet_7
HER-7-DRS	2023-03-16	7	08:00:00	Hera	SA	2	DNA/RNA Shield	2		run-in	baseline	Hera_7
HER-7-MGE	2023-03-16	7	08:00:00	Hera	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Hera_7
JAR-7-DRS	2023-03-16	7	08:00:00	JarJarBinks	SA	3	DNA/RNA Shield	2		run-in	baseline	JarJarBinks_7
JAR-7-MGE	2023-03-16	7	08:00:00	JarJarBinks	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	JarJarBinks_7
OPH-7-DRS	2023-03-16	7	08:00:00	Ophelia	SA	1	DNA/RNA Shield	2		run-in	baseline	Ophelia_7
OPH-7-MGE	2023-03-16	7	08:00:00	Ophelia	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Ophelia_7
IRI-7-DRS	2023-03-16	7	08:00:00	Iris	SA	2	DNA/RNA Shield	2		run-in	baseline	Iris_7
IRI-7-MGE	2023-03-16	7	08:00:00	Iris	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Iris_7
GOO-7-DRS	2023-03-16	7	07:30:00	Goose	SA	2	DNA/RNA Shield	2		run-in	baseline	Goose_7
GOO-7-MGE	2023-03-16	7	07:30:00	Goose	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Goose_7
LAM-7-DRS	2023-03-16	7	07:30:00	Lambchop	SA	3	DNA/RNA Shield	2		run-in	baseline	Lambchop_7
LAM-7-MGE	2023-03-16	7	07:30:00	Lambchop	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Lambchop_7
FRA-7-DRS	2023-03-16	7	07:30:00	Franc	SA	1	DNA/RNA Shield	2		run-in	baseline	Franc_7
FRA-7-MGE	2023-03-16	7	07:30:00	Franc	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Franc_7
IVY-7-DRS	2023-03-16	7	07:30:00	Ivy	SA	1	DNA/RNA Shield	2		run-in	baseline	Ivy_7
IVY-7-MGE	2023-03-16	7	07:30:00	Ivy	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Ivy_7
CHA-7-DRS	2023-03-16	7	07:30:00	Charles	SA	2	DNA/RNA Shield	2		run-in	baseline	Charles_7
CHA-7-MGE	2023-03-16	7	07:30:00	Charles	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Charles_7
PAD-7-DRS	2023-03-16	7	07:30:00	Padme	SA	4	DNA/RNA Shield	2		run-in	baseline	Padme_7
PAD-7-MGE	2023-03-16	7	07:30:00	Padme	SA	4	Molecular Grade (96%) Ethanol	2		run-in	baseline	Padme_7
GRO-7-DRS	2023-03-16	7	07:30:00	Grogu	SA	3	DNA/RNA Shield	2		run-in	baseline	Grogu_7
GRO-7-MGE	2023-03-16	7	07:30:00	Grogu	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Grogu_7
MAR-7-DRS	2023-03-16	7	07:30:00	Marshmallow	SA	3	DNA/RNA Shield	2		run-in	baseline	Marshmallow_7
MAR-7-MGE	2023-03-16	7	07:30:00	Marshmallow	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Marshmallow_7
BUD-7-DRS	2023-03-16	7	07:30:00	Buddy	SA	5	DNA/RNA Shield	2	blood in stool	run-in	baseline	Buddy_7
BUD-7-MGE	2023-03-16	7	07:30:00	Buddy	SA	5	Molecular Grade (96%) Ethanol	2	blood in stool	run-in	baseline	Buddy_7
JOA-7-DRS	2023-03-16	7	07:30:00	Joans	SA	1	DNA/RNA Shield	2		run-in	baseline	Joans_7
JOA-7-MGE	2023-03-16	7	07:30:00	Joans	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Joans_7
HEN-7-DRS	2023-03-16	7	07:30:00	Henry	SA	3	DNA/RNA Shield	2		run-in	baseline	Henry_7
HEN-7-MGE	2023-03-16	7	07:30:00	Henry	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Henry_7
GIN-7-DRS	2023-03-16	7	07:30:00	Ginger	SA	3	DNA/RNA Shield	2		run-in	baseline	Ginger_7
GIN-7-MGE	2023-03-16	7	07:30:00	Ginger	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Ginger_7
HAM-9-DRS	2013-03-18	9	07:30:00	Hamlet	SA	2	DNA/RNA Shield	2		run-in	baseline	Hamlet_9
HAM-9-MGE	2023-03-18	9	07:30:00	Hamlet	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Hamlet_9
HER-9-DRS	2023-03-18	9	07:30:00	Hera	SA	2	DNA/RNA Shield	2		run-in	baseline	Hera_9
HER-9-MGE	2023-03-18	9	07:30:00	Hera	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Hera_9
JAR-9-DRS	2023-03-18	9	07:30:00	JarJarBinks	SA	1	DNA/RNA Shield	2		run-in	baseline	JarJarBinks_9
JAR-9-MGE	2023-03-18	9	07:30:00	JarJarBinks	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	JarJarBinks_9
OPH-9-DRS	2023-03-18	9	07:30:00	Ophelia	SA	1	DNA/RNA Shield	2		run-in	baseline	Ophelia_9
OPH-9-MGE	2023-03-18	9	07:30:00	Ophelia	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Ophelia_9
KUB-9-DRS	2023-03-18	9	07:30:00	Kubo	SA	1	DNA/RNA Shield	2		run-in	baseline	Kubo_9
KUB-9-MGE	2023-03-18	9	07:30:00	Kubo	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Kubo_9
KOR-9-DRS	2023-03-18	9	07:30:00	Korra	SA	2	DNA/RNA Shield	2		run-in	baseline	Korra_9
KOR-9-MGE	2023-03-18	9	07:30:00	Korra	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Korra_9
WOL-9-DRS	2023-03-18	9	07:30:00	Wolverine	SA	1	DNA/RNA Shield	2		run-in	baseline	Wolverine_9
WOL-9-MGE	2023-03-18	9	07:30:00	Wolverine	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Wolverine_9
IRI-9-DRS	2023-03-18	9	07:30:00	Iris	SA	2	DNA/RNA Shield	2		run-in	baseline	Iris_9
IRI-9-MGE	2023-03-18	9	07:30:00	Iris	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Iris_9
GOO-9-DRS	2023-03-18	9	08:00:00	Goose	SA	3	DNA/RNA Shield	2		run-in	baseline	Goose_9
GOO-9-MGE	2023-03-18	9	08:00:00	Goose	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Goose_9
LAM-9-DRS	2023-03-18	9	08:00:00	Lambchop	SA	3	DNA/RNA Shield	2		run-in	baseline	Lambchop_9
LAM-9-MGE	2023-03-18	9	08:00:00	Lambchop	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Lambchop_9
FRA-9-DRS	2023-03-18	9	08:00:00	Franc	SA	2	DNA/RNA Shield	2		run-in	baseline	Franc_9
FRA-9-MGE	2023-03-18	9	08:00:00	Franc	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Franc_9
IVY-9-DRS	2023-03-18	9	08:00:00	Ivy	SA	1	DNA/RNA Shield	2		run-in	baseline	Ivy_9
IVY-9-MGE	2023-03-18	9	08:00:00	Ivy	SA	1	Molecular Grade (96%) Ethanol	2		run-in	baseline	Ivy_9
CHA-9-DRS	2023-03-18	9	08:00:00	Charles	SA	2	DNA/RNA Shield	2		run-in	baseline	Charles_9
CHA-9-MGE	2023-03-18	9	08:00:00	Charles	SA	2	Molecular Grade (96%) Ethanol	2		run-in	baseline	Charles_9
PAD-9-DRS	2023-03-18	9	08:00:00	Padme	SA	3	DNA/RNA Shield	2		run-in	baseline	Padme_9
PAD-9-MGE	2023-03-18	9	08:00:00	Padme	SA	3	Molecular Grade (96%) Ethanol	2		run-in	baseline	Padme_9
GRO-9-DRS	2023-03-18	9	08:00:00	Grogu	SA	3	DNA/RNA Shield	3		run-in	baseline	Grogu_9
GRO-9-MGE	2023-03-18	9	08:00:00	Grogu	SA	3	Molecular Grade (96%) Ethanol	3		run-in	baseline	Grogu_9
MAR-9-DRS	2023-03-18	9	08:00:00	Marshmallow	SA	2	DNA/RNA Shield	3		run-in	baseline	Marshmallow_9
MAR-9-MGE	2023-03-18	9	08:00:00	Marshmallow	SA	2	Molecular Grade (96%) Ethanol	3		run-in	baseline	Marshmallow_9
BUD-9-DRS	2023-03-18	9	08:00:00	Buddy	SA	3	DNA/RNA Shield	3		run-in	baseline	Buddy_9
BUD-9-MGE	2023-03-18	9	08:00:00	Buddy	SA	3	Molecular Grade (96%) Ethanol	3		run-in	baseline	Buddy_9
JOA-9-DRS	2023-03-18	9	08:00:00	Joans	SA	2	DNA/RNA Shield	3		run-in	baseline	Joans_9
JOA-9-MGE	2023-03-18	9	08:00:00	Joans	SA	2	Molecular Grade (96%) Ethanol	3		run-in	baseline	Joans_9
