Sample_ID	Subject	Sample_Date	Sample_Collected_By	Group_Phase	Diet_Trial	Sample_Notes	Sample_Box	Bristol	Sample_Time	Sample_Stabilizer
JOA-3-MGE	Joans	3/12/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
HEN-3-DRS	Henry	3/12/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
HEN-3-MGE	Henry	3/12/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
GIN-3-DRS	Ginger	3/12/23	SA	run-in	baseline		1	3	730	DNA/RNA Shield
GIN-3-MGE	Ginger	3/12/23	SA	run-in	baseline		1	3	730	Molecular Grade (96%) Ethanol
HAM-4-DRS	Hamlet	3/13/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
HAM-4-MGE	Hamlet	3/13/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
HER-4-DRS	Hera	3/13/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
HER-4-MGE	Hera	3/13/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
JAR-4-DRS	JarJarBinks	3/13/23	SA	run-in	baseline		1	2	800	DNA/RNA Shield
JAR-4-MGE	JarJarBinks	3/13/23	SA	run-in	baseline		1	2	800	Molecular Grade (96%) Ethanol
OPH-4-DRS	Ophelia	3/13/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
OPH-4-MGE	Ophelia	3/13/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
KUB-4-DRS	Kubo	3/13/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
KUB-4-MGE	Kubo	3/13/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
KOR-4-DRS	Korra	3/13/23	SA	run-in	baseline		1	2	800	DNA/RNA Shield
KOR-4-MGE	Korra	3/13/23	SA	run-in	baseline		1	2	800	Molecular Grade (96%) Ethanol
WOL-4-DRS	Wolverine	3/13/23	SA	run-in	baseline		1	1	800	DNA/RNA Shield
WOL-4-MGE	Wolverine	3/13/23	SA	run-in	baseline		1	1	800	Molecular Grade (96%) Ethanol
IRI-4-DRS	Iris	3/13/23	SA	run-in	baseline		1	2	800	DNA/RNA Shield
IRI-4-MGE	Iris	3/13/23	SA	run-in	baseline		1	2	800	Molecular Grade (96%) Ethanol
GOO-4-DRS	Goose	3/13/23	SA	run-in	baseline		1	2	730	DNA/RNA Shield
GOO-4-MGE	Goose	3/13/23	SA	run-in	baseline		1	2	730	Molecular Grade (96%) Ethanol
LAM-4-DRS	Lambchop	3/13/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
LAM-4-MGE	Lambchop	3/13/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
FRA-4-DRS	Franc	3/13/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
FRA-4-MGE	Franc	3/13/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
IVY-4-DRS	Ivy	3/13/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
IVY-4-MGE	Ivy	3/13/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
BUD-4-DRS	Buddy	3/13/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
BUD-4-MGE	Buddy	3/13/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
JOA-4-DRS	Joans	3/13/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
JOA-4-MGE	Joans	3/13/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
HEN-4-DRS	Henry	3/13/23	SA	run-in	baseline	blood in stool	2	3	730	DNA/RNA Shield
HEN-4-MGE	Henry	3/13/23	SA	run-in	baseline	blood in stool	2	3	730	Molecular Grade (96%) Ethanol
GIN-4-DRS	Ginger	3/13/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
GIN-4-MGE	Ginger	3/13/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
HAM-5-DRS	Hamlet	3/14/23	SA	run-in	baseline		2	1	830	DNA/RNA Shield
HAM-5-MGE	Hamlet	3/14/23	SA	run-in	baseline		2	1	830	Molecular Grade (96%) Ethanol
PAD-5-DRS	Padme	3/14/23	SA	run-in	baseline		2	4	800	DNA/RNA Shield
PAD-5-MGE	Padme	3/14/23	SA	run-in	baseline		2	4	800	Molecular Grade (96%) Ethanol
HAM-6-DRS	Hamlet	3/15/23	SA	run-in	baseline		2	2	800	DNA/RNA Shield
HAM-6-MGE	Hamlet	3/15/23	SA	run-in	baseline		2	2	800	Molecular Grade (96%) Ethanol
OPH-6-DRS	Ophelia	3/15/23	SA	run-in	baseline		2	1	800	DNA/RNA Shield
OPH-6-MGE	Ophelia	3/15/23	SA	run-in	baseline		2	1	800	Molecular Grade (96%) Ethanol
KOR-6-DRS	Korra	3/15/23	SA	run-in	baseline		2	4	800	DNA/RNA Shield
KOR-6-MGE	Korra	3/15/23	SA	run-in	baseline		2	4	800	Molecular Grade (96%) Ethanol
WOL-6-DRS	Wolverine	3/15/23	SA	run-in	baseline		2	3	800	DNA/RNA Shield
WOL-6-MGE	Wolverine	3/15/23	SA	run-in	baseline		2	3	800	Molecular Grade (96%) Ethanol
LAM-6-DRS	Lambchop	3/15/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
LAM-6-MGE	Lambchop	3/15/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
IVY-6-DRS	Ivy	3/15/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
IVY-6-MGE	Ivy	3/15/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
PAD-6-DRS	Padme	3/15/23	SA	run-in	baseline		2	4	730	DNA/RNA Shield
PAD-6-MGE	Padme	3/15/23	SA	run-in	baseline		2	4	730	Molecular Grade (96%) Ethanol
MAR-6-DRS	Marshmallow	3/15/23	SA	run-in	baseline		2	4	730	DNA/RNA Shield
MAR-6-MGE	Marshmallow	3/15/23	SA	run-in	baseline		2	4	730	Molecular Grade (96%) Ethanol
JOA-6-DRS	Joans	3/15/23	SA	run-in	baseline		2	1	730	DNA/RNA Shield
JOA-6-MGE	Joans	3/15/23	SA	run-in	baseline		2	1	730	Molecular Grade (96%) Ethanol
HEN-6-DRS	Henry	3/15/23	SA	run-in	baseline		2	3	730	DNA/RNA Shield
HEN-6-MGE	Henry	3/15/23	SA	run-in	baseline		2	3	730	Molecular Grade (96%) Ethanol
HAM-7-DRS	Hamlet	3/16/23	SA	run-in	baseline		2	1	800	DNA/RNA Shield
HAM-7-MGE	Hamlet	3/16/23	SA	run-in	baseline		2	1	800	Molecular Grade (96%) Ethanol
HER-7-DRS	Hera	3/16/23	SA	run-in	baseline		2	2	800	DNA/RNA Shield
HER-7-MGE	Hera	3/16/23	SA	run-in	baseline		2	2	800	Molecular Grade (96%) Ethanol
JAR-7-DRS	JarJarBinks	3/16/23	SA	run-in	baseline		2	3	800	DNA/RNA Shield
JAR-7-MGE	JarJarBinks	3/16/23	SA	run-in	baseline		2	3	800	Molecular Grade (96%) Ethanol
OPH-7-DRS	Ophelia	3/16/23	SA	run-in	baseline		2	1	800	DNA/RNA Shield
OPH-7-MGE	Ophelia	3/16/23	SA	run-in	baseline		2	1	800	Molecular Grade (96%) Ethanol
IRI-7-DRS	Iris	3/16/23	SA	run-in	baseline		2	2	800	DNA/RNA Shield
IRI-7-MGE	Iris	3/16/23	SA	run-in	baseline		2	2	800	Molecular Grade (96%) Ethanol
GOO-7-DRS	Goose	3/16/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
GOO-7-MGE	Goose	3/16/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
LAM-7-DRS	Lambchop	3/16/23	SA	run-in	baseline		2	3	730	DNA/RNA Shield
LAM-7-MGE	Lambchop	3/16/23	SA	run-in	baseline		2	3	730	Molecular Grade (96%) Ethanol
FRA-7-DRS	Franc	3/16/23	SA	run-in	baseline		2	1	730	DNA/RNA Shield
FRA-7-MGE	Franc	3/16/23	SA	run-in	baseline		2	1	730	Molecular Grade (96%) Ethanol
IVY-7-DRS	Ivy	3/16/23	SA	run-in	baseline		2	1	730	DNA/RNA Shield
IVY-7-MGE	Ivy	3/16/23	SA	run-in	baseline		2	1	730	Molecular Grade (96%) Ethanol
CHA-7-DRS	Charles	3/16/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
CHA-7-MGE	Charles	3/16/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
PAD-7-DRS	Padme	3/16/23	SA	run-in	baseline		2	4	730	DNA/RNA Shield
PAD-7-MGE	Padme	3/16/23	SA	run-in	baseline		2	4	730	Molecular Grade (96%) Ethanol
GRO-7-DRS	Grogu	3/16/23	SA	run-in	baseline		2	3	730	DNA/RNA Shield
GRO-7-MGE	Grogu	3/16/23	SA	run-in	baseline		2	3	730	Molecular Grade (96%) Ethanol
MAR-7-DRS	Marshmallow	3/16/23	SA	run-in	baseline		2	3	730	DNA/RNA Shield
MAR-7-MGE	Marshmallow	3/16/23	SA	run-in	baseline		2	3	730	Molecular Grade (96%) Ethanol
BUD-7-DRS	Buddy	3/16/23	SA	run-in	baseline	blood in stool	2	5	730	DNA/RNA Shield
BUD-7-MGE	Buddy	3/16/23	SA	run-in	baseline	blood in stool	2	5	730	Molecular Grade (96%) Ethanol
JOA-7-DRS	Joans	3/16/23	SA	run-in	baseline		2	1	730	DNA/RNA Shield
JOA-7-MGE	Joans	3/16/23	SA	run-in	baseline		2	1	730	Molecular Grade (96%) Ethanol
HEN-7-DRS	Henry	3/16/23	SA	run-in	baseline		2	3	730	DNA/RNA Shield
HEN-7-MGE	Henry	3/16/23	SA	run-in	baseline		2	3	730	Molecular Grade (96%) Ethanol
GIN-7-DRS	Ginger	3/16/23	SA	run-in	baseline		2	3	730	DNA/RNA Shield
GIN-7-MGE	Ginger	3/16/23	SA	run-in	baseline		2	3	730	Molecular Grade (96%) Ethanol
HAM-9-DRS	Hamlet	3/18/13	SA	run-in	baseline		2	2	730	DNA/RNA Shield
HAM-9-MGE	Hamlet	3/18/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
HER-9-DRS	Hera	3/18/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
HER-9-MGE	Hera	3/18/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
JAR-9-DRS	JarJarBinks	3/18/23	SA	run-in	baseline		2	1	730	DNA/RNA Shield
JAR-9-MGE	JarJarBinks	3/18/23	SA	run-in	baseline		2	1	730	Molecular Grade (96%) Ethanol
OPH-9-DRS	Ophelia	3/18/23	SA	run-in	baseline		2	1	730	DNA/RNA Shield
OPH-9-MGE	Ophelia	3/18/23	SA	run-in	baseline		2	1	730	Molecular Grade (96%) Ethanol
KUB-9-DRS	Kubo	3/18/23	SA	run-in	baseline		2	1	730	DNA/RNA Shield
KUB-9-MGE	Kubo	3/18/23	SA	run-in	baseline		2	1	730	Molecular Grade (96%) Ethanol
KOR-9-DRS	Korra	3/18/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
KOR-9-MGE	Korra	3/18/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
WOL-9-DRS	Wolverine	3/18/23	SA	run-in	baseline		2	1	730	DNA/RNA Shield
WOL-9-MGE	Wolverine	3/18/23	SA	run-in	baseline		2	1	730	Molecular Grade (96%) Ethanol
IRI-9-DRS	Iris	3/18/23	SA	run-in	baseline		2	2	730	DNA/RNA Shield
IRI-9-MGE	Iris	3/18/23	SA	run-in	baseline		2	2	730	Molecular Grade (96%) Ethanol
GOO-9-DRS	Goose	3/18/23	SA	run-in	baseline		2	3	800	DNA/RNA Shield
GOO-9-MGE	Goose	3/18/23	SA	run-in	baseline		2	3	800	Molecular Grade (96%) Ethanol
LAM-9-DRS	Lambchop	3/18/23	SA	run-in	baseline		2	3	800	DNA/RNA Shield
LAM-9-MGE	Lambchop	3/18/23	SA	run-in	baseline		2	3	800	Molecular Grade (96%) Ethanol
FRA-9-DRS	Franc	3/18/23	SA	run-in	baseline		2	2	800	DNA/RNA Shield
FRA-9-MGE	Franc	3/18/23	SA	run-in	baseline		2	2	800	Molecular Grade (96%) Ethanol
IVY-9-DRS	Ivy	3/18/23	SA	run-in	baseline		2	1	800	DNA/RNA Shield
IVY-9-MGE	Ivy	3/18/23	SA	run-in	baseline		2	1	800	Molecular Grade (96%) Ethanol
CHA-9-DRS	Charles	3/18/23	SA	run-in	baseline		2	2	800	DNA/RNA Shield
CHA-9-MGE	Charles	3/18/23	SA	run-in	baseline		2	2	800	Molecular Grade (96%) Ethanol
PAD-9-DRS	Padme	3/18/23	SA	run-in	baseline		2	3	800	DNA/RNA Shield
PAD-9-MGE	Padme	3/18/23	SA	run-in	baseline		2	3	800	Molecular Grade (96%) Ethanol
GRO-9-DRS	Grogu	3/18/23	SA	run-in	baseline		3	3	800	DNA/RNA Shield
GRO-9-MGE	Grogu	3/18/23	SA	run-in	baseline		3	3	800	Molecular Grade (96%) Ethanol
MAR-9-DRS	Marshmallow	3/18/23	SA	run-in	baseline		3	2	800	DNA/RNA Shield
MAR-9-MGE	Marshmallow	3/18/23	SA	run-in	baseline		3	2	800	Molecular Grade (96%) Ethanol
BUD-9-DRS	Buddy	3/18/23	SA	run-in	baseline		3	3	800	DNA/RNA Shield
BUD-9-MGE	Buddy	3/18/23	SA	run-in	baseline		3	3	800	Molecular Grade (96%) Ethanol
JOA-9-DRS	Joans	3/18/23	SA	run-in	baseline		3	2	800	DNA/RNA Shield
JOA-9-MGE	Joans	3/18/23	SA	run-in	baseline		3	2	800	Molecular Grade (96%) Ethanol
HEN-9-DRS	Henry	3/18/23	SA	run-in	baseline		3	3	800	DNA/RNA Shield
HEN-9-MGE	Henry	3/18/23	SA	run-in	baseline		3	3	800	Molecular Grade (96%) Ethanol
GIN-9-DRS	Ginger	3/18/23	SA	run-in	baseline		3	3	800	DNA/RNA Shield
GIN-9-MGE	Ginger	3/18/23	SA	run-in	baseline		3	3	800	Molecular Grade (96%) Ethanol
HAM-11-DRS	Hamlet	3/20/23	SA	run-in	baseline		3	2	730	DNA/RNA Shield
HAM-11-MGE	Hamlet	3/20/23	SA	run-in	baseline		3	2	730	Molecular Grade (96%) Ethanol
HER-11-DRS	Hera	3/20/23	SA	run-in	baseline		3	2	730	DNA/RNA Shield
HER-11-MGE	Hera	3/20/23	SA	run-in	baseline		3	2	730	Molecular Grade (96%) Ethanol
JAR-11-DRS	JarJarBinks	3/20/23	SA	run-in	baseline		3	1	730	DNA/RNA Shield
JAR-11-MGE	JarJarBinks	3/20/23	SA	run-in	baseline		3	1	730	Molecular Grade (96%) Ethanol
OPH-11-DRS	Ophelia	3/20/23	SA	run-in	baseline		3	2	730	DNA/RNA Shield
OPH-11-MGE	Ophelia	3/20/23	SA	run-in	baseline		3	2	730	Molecular Grade (96%) Ethanol
KUB-11-DRS	Kubo	3/20/23	SA	run-in	baseline		3	1	730	DNA/RNA Shield
KUB-11-MGE	Kubo	3/20/23	SA	run-in	baseline		3	1	730	Molecular Grade (96%) Ethanol
KOR-11-DRS	Korra	3/20/23	SA	run-in	baseline		3	1	730	DNA/RNA Shield
KOR-11-MGE	Korra	3/20/23	SA	run-in	baseline		3	1	730	Molecular Grade (96%) Ethanol
WOL-11-DRS	Wolverine	3/20/23	SA	run-in	baseline		3	1	730	DNA/RNA Shield
WOL-11-MGE	Wolverine	3/20/23	SA	run-in	baseline		3	1	730	Molecular Grade (96%) Ethanol
IRI-11-DRS	Iris	3/20/23	SA	run-in	baseline		3	1	730	DNA/RNA Shield
IRI-11-MGE	Iris	3/20/23	SA	run-in	baseline		3	1	730	Molecular Grade (96%) Ethanol
GOO-11-DRS	Goose	3/20/23	SA	run-in	baseline		3	3	800	DNA/RNA Shield
GOO-11-MGE	Goose	3/20/23	SA	run-in	baseline		3	3	800	Molecular Grade (96%) Ethanol
LAM-11-DRS	Lambchop	3/20/23	SA	run-in	baseline		3	3	800	DNA/RNA Shield
LAM-11-MGE	Lambchop	3/20/23	SA	run-in	baseline		3	3	800	Molecular Grade (96%) Ethanol
FRA-11-DRS	Franc	3/20/23	SA	run-in	baseline		3	2	800	DNA/RNA Shield
FRA-11-MGE	Franc	3/20/23	SA	run-in	baseline		3	2	800	Molecular Grade (96%) Ethanol
PAD-11-DRS	Padme	3/20/23	SA	run-in	baseline		3	1	800	DNA/RNA Shield
PAD-11-MGE	Padme	3/20/23	SA	run-in	baseline		3	1	800	Molecular Grade (96%) Ethanol
BUD-11-DRS	Buddy	3/20/23	SA	run-in	baseline		3	3	800	DNA/RNA Shield
BUD-11-MGE	Buddy	3/20/23	SA	run-in	baseline		3	3	800	Molecular Grade (96%) Ethanol
JOA-11-DRS	Joans	3/20/23	SA	run-in	baseline		3	2	800	DNA/RNA Shield
JOA-11-MGE	Joans	3/20/23	SA	run-in	baseline		3	2	800	Molecular Grade (96%) Ethanol
HAM-14-DRS	Hamlet	3/23/23	SA/GR	run-in	baseline		3	1	730	DNA/RNA Shield
HAM-14-MGE	Hamlet	3/23/23	SA/GR	run-in	baseline		3	1	730	Molecular Grade (96%) Ethanol
HER-14-DRS	Hera	3/23/23	SA/GR	run-in	baseline		3	1	730	DNA/RNA Shield
HER-14-MGE	Hera	3/23/23	SA/GR	run-in	baseline		3	1	730	Molecular Grade (96%) Ethanol
JAR-14-DRS	JarJarBinks	3/23/23	SA/GR	run-in	baseline		3	1	730	DNA/RNA Shield
JAR-14-MGE	JarJarBinks	3/23/23	SA/GR	run-in	baseline		3	1	730	Molecular Grade (96%) Ethanol
OPH-14-DRS	Ophelia	3/23/23	SA/GR	run-in	baseline		3	2	730	DNA/RNA Shield
OPH-14-MGE	Ophelia	3/23/23	SA/GR	run-in	baseline		3	2	730	Molecular Grade (96%) Ethanol
KUB-14-DRS	Kubo	3/23/23	SA/GR	run-in	baseline		3	2	730	DNA/RNA Shield
KUB-14-MGE	Kubo	3/23/23	SA/GR	run-in	baseline		3	2	730	Molecular Grade (96%) Ethanol
KOR-14-DRS	Korra	3/23/23	SA/GR	run-in	baseline		3	1	730	DNA/RNA Shield
KOR-14-MGE	Korra	3/23/23	SA/GR	run-in	baseline		3	1	730	Molecular Grade (96%) Ethanol
WOL-14-DRS	Wolverine	3/23/23	SA/GR	run-in	baseline		3	2	730	DNA/RNA Shield
WOL-14-MGE	Wolverine	3/23/23	SA/GR	run-in	baseline		3	2	730	Molecular Grade (96%) Ethanol
IRI-14-DRS	Iris	3/23/23	SA/GR	run-in	baseline		3	2	730	DNA/RNA Shield
IRI-14-MGE	Iris	3/23/23	SA/GR	run-in	baseline		3	2	730	Molecular Grade (96%) Ethanol
LAM-14-DRS	Lambchop	3/23/23	SA/GR	run-in	baseline		3	3	800	DNA/RNA Shield
LAM-14-MGE	Lambchop	3/23/23	SA/GR	run-in	baseline		3	3	800	Molecular Grade (96%) Ethanol
BUD-14-DRS	Buddy	3/23/23	SA/GR	run-in	baseline		3	3	800	DNA/RNA Shield
BUD-14-MGE	Buddy	3/23/23	SA/GR	run-in	baseline		3	3	800	Molecular Grade (96%) Ethanol
JOA-14-DRS	Joans	3/23/23	SA/GR	run-in	baseline		3	4	800	DNA/RNA Shield
JOA-14-MGE	Joans	3/23/23	SA/GR	run-in	baseline		3	4	800	Molecular Grade (96%) Ethanol
HEN-14-DRS	Henry	3/23/23	SA/GR	run-in	baseline		3	1	800	DNA/RNA Shield
HEN-14-MGE	Henry	3/23/23	SA/GR	run-in	baseline		3	1	800	Molecular Grade (96%) Ethanol
