Study_Day	Date	Subject	Diet_Trial	Group_Phase	Group	Bristol	Repro_Status
62	5/10/23	Hamlet	washout_2	control-washout	Group1	2	
63	5/11/23	Hamlet	washout_2	control-washout	Group1	2	
64	5/12/23	Hamlet	washout_2	control-washout	Group1	2	
65	5/13/23	Hamlet	washout_2	control-washout	Group1	2	
66	5/14/23	Hamlet	washout_2	control-washout	Group1	1	
67	5/15/23	Hamlet	washout_2	control-washout	Group1	2	
68	5/16/23	Hamlet	washout_2	control-washout	Group1	2	
69	5/17/23	Hamlet	washout_2	control-washout	Group1	2	
70	5/18/23	Hamlet	washout_2	control-washout	Group1	2	
1	3/10/2023	Hera	run-in	baseline	Group1	1	
2	3/11/2023	Hera	run-in	baseline	Group1	2	
4	3/13/23	Hera	run-in	baseline	Group1	1	
7	3/16/23	Hera	run-in	baseline	Group1	2	
9	3/18/23	Hera	run-in	baseline	Group1	2	
11	3/20/23	Hera	run-in	baseline	Group1	2	
14	3/23/23	Hera	run-in	baseline	Group1	1	
15	3/24/23	Hera	intervention_1	gum	Group1	1	
16	3/25/23	Hera	intervention_1	gum	Group1	2	
17	3/26/23	Hera	intervention_1	gum	Group1	2	
18	3/27/23	Hera	intervention_1	gum	Group1	3	
19	3/28/23	Hera	intervention_1	gum	Group1	2	
20	3/29/23	Hera	intervention_1	gum	Group1	2	
21	3/30/23	Hera	intervention_1	gum	Group1	2	
22	3/31/23	Hera	intervention_1	gum	Group1	2	
23	4/1/23	Hera	intervention_1	gum	Group1	2	
24	4/2/23	Hera	intervention_1	gum	Group1	3	
25	4/3/23	Hera	intervention_1	gum	Group1	3	
27	4/5/23	Hera	intervention_1	gum	Group1	1	
28	4/6/23	Hera	intervention_1	gum	Group1	2	
29	4/7/23	Hera	washout_1	gum-washout	Group1	3	
30	4/8/23	Hera	washout_1	gum-washout	Group1	1	
31	4/9/23	Hera	washout_1	gum-washout	Group1	2	
32	4/10/23	Hera	washout_1	gum-washout	Group1	2	
33	4/11/23	Hera	washout_1	gum-washout	Group1	2	
34	4/12/23	Hera	washout_1	gum-washout	Group1	2	
35	4/13/23	Hera	washout_1	gum-washout	Group1	1	
36	4/14/23	Hera	washout_1	gum-washout	Group1	2	
37	4/15/23	Hera	washout_1	gum-washout	Group1	2	
38	4/16/23	Hera	washout_1	gum-washout	Group1	2	
39	4/17/23	Hera	washout_1	gum-washout	Group1	3	
41	4/19/23	Hera	washout_1	gum-washout	Group1	2	
43	4/21/23	Hera	intervention_2	control	Group1	2	
44	4/22/23	Hera	intervention_2	control	Group1	2	
45	4/23/23	Hera	intervention_2	control	Group1	2	
46	4/24/23	Hera	intervention_2	control	Group1	2	
48	4/26/23	Hera	intervention_2	control	Group1	2	
49	4/27/23	Hera	intervention_2	control	Group1	2	
50	4/28/23	Hera	intervention_2	control	Group1	3	
52	4/30/23	Hera	intervention_2	control	Group1	2	
53	5/1/23	Hera	intervention_2	control	Group1	3	
55	5/3/23	Hera	intervention_2	control	Group1	2	
56	5/4/23	Hera	intervention_2	control	Group1	2	
57	5/5/23	Hera	washout_2	control-washout	Group1	2	
58	5/6/23	Hera	washout_2	control-washout	Group1	2	
59	5/7/23	Hera	washout_2	control-washout	Group1	2	
60	5/8/23	Hera	washout_2	control-washout	Group1	2	
61	5/9/23	Hera	washout_2	control-washout	Group1	2	
62	5/10/23	Hera	washout_2	control-washout	Group1	2	
63	5/11/23	Hera	washout_2	control-washout	Group1	3	
64	5/12/23	Hera	washout_2	control-washout	Group1	3	
65	5/13/23	Hera	washout_2	control-washout	Group1	2	
66	5/14/23	Hera	washout_2	control-washout	Group1	2	
67	5/15/23	Hera	washout_2	control-washout	Group1	2	
68	5/16/23	Hera	washout_2	control-washout	Group1	2	
69	5/17/23	Hera	washout_2	control-washout	Group1	2	
70	5/18/23	Hera	washout_2	control-washout	Group1	2	
1	3/10/2023	Iris	run-in	baseline	Group1	2	
2	3/11/2023	Iris	run-in	baseline	Group1	1	
3	3/12/2023	Iris	run-in	baseline	Group1	2	
4	3/13/23	Iris	run-in	baseline	Group1	2	
7	3/16/23	Iris	run-in	baseline	Group1	2	
9	3/18/23	Iris	run-in	baseline	Group1	2	
11	3/20/23	Iris	run-in	baseline	Group1	1	
14	3/23/23	Iris	run-in	baseline	Group1	2	
15	3/24/23	Iris	intervention_1	gum	Group1	2	
16	3/25/23	Iris	intervention_1	gum	Group1	2	
17	3/26/23	Iris	intervention_1	gum	Group1	3	
18	3/27/23	Iris	intervention_1	gum	Group1	2	
19	3/28/23	Iris	intervention_1	gum	Group1	3	
20	3/29/23	Iris	intervention_1	gum	Group1	2	
21	3/30/23	Iris	intervention_1	gum	Group1	3	
22	3/31/23	Iris	intervention_1	gum	Group1	3	
23	4/1/23	Iris	intervention_1	gum	Group1	3	
24	4/2/23	Iris	intervention_1	gum	Group1	3	
25	4/3/23	Iris	intervention_1	gum	Group1	3	
27	4/5/23	Iris	intervention_1	gum	Group1	3	
28	4/6/23	Iris	intervention_1	gum	Group1	3	
29	4/7/23	Iris	washout_1	gum-washout	Group1	3	
30	4/8/23	Iris	washout_1	gum-washout	Group1	3	
31	4/9/23	Iris	washout_1	gum-washout	Group1	2	
32	4/10/23	Iris	washout_1	gum-washout	Group1	2	
34	4/12/23	Iris	washout_1	gum-washout	Group1	2	
35	4/13/23	Iris	washout_1	gum-washout	Group1	2	
36	4/14/23	Iris	washout_1	gum-washout	Group1	3	
37	4/15/23	Iris	washout_1	gum-washout	Group1	3	
38	4/16/23	Iris	washout_1	gum-washout	Group1	3	
39	4/17/23	Iris	washout_1	gum-washout	Group1	2	
41	4/19/23	Iris	washout_1	gum-washout	Group1	2	
41	4/19/23	Iris	washout_1	gum-washout	Group1	2	
43	4/21/23	Iris	intervention_2	control	Group1	2	
44	4/22/23	Iris	intervention_2	control	Group1	2	
45	4/23/23	Iris	intervention_2	control	Group1	2	
46	4/24/23	Iris	intervention_2	control	Group1	3	
48	4/26/23	Iris	intervention_2	control	Group1	3	
49	4/27/23	Iris	intervention_2	control	Group1	3	
50	4/28/23	Iris	intervention_2	control	Group1	3	
52	4/30/23	Iris	intervention_2	control	Group1	2	
53	5/1/23	Iris	intervention_2	control	Group1	3	
55	5/3/23	Iris	intervention_2	control	Group1	3	
56	5/4/23	Iris	intervention_2	control	Group1	3	
57	5/5/23	Iris	washout_2	control-washout	Group1	3	
58	5/6/23	Iris	washout_2	control-washout	Group1	3	
59	5/7/23	Iris	washout_2	control-washout	Group1	3	
60	5/8/23	Iris	washout_2	control-washout	Group1	3	
61	5/9/23	Iris	washout_2	control-washout	Group1	3	
62	5/10/23	Iris	washout_2	control-washout	Group1	2	
63	5/11/23	Iris	washout_2	control-washout	Group1	2	
64	5/12/23	Iris	washout_2	control-washout	Group1	3	
65	5/13/23	Iris	washout_2	control-washout	Group1	3	
66	5/14/23	Iris	washout_2	control-washout	Group1	2	
67	5/15/23	Iris	washout_2	control-washout	Group1	3	
68	5/16/23	Iris	washout_2	control-washout	Group1	2	
69	5/17/23	Iris	washout_2	control-washout	Group1	3	
70	5/18/23	Iris	washout_2	control-washout	Group1	3	
1	3/10/2023	JarJarBinks	run-in	baseline	Group1	3	
2	3/11/2023	JarJarBinks	run-in	baseline	Group1	3	
3	3/12/2023	JarJarBinks	run-in	baseline	Group1	1	
4	3/13/23	JarJarBinks	run-in	baseline	Group1	2	
7	3/16/23	JarJarBinks	run-in	baseline	Group1	3	
9	3/18/23	JarJarBinks	run-in	baseline	Group1	1	
11	3/20/23	JarJarBinks	run-in	baseline	Group1	1	
14	3/23/23	JarJarBinks	run-in	baseline	Group1	1	
15	3/24/23	JarJarBinks	intervention_1	gum	Group1	1	
16	3/25/23	JarJarBinks	intervention_1	gum	Group1	2	
17	3/26/23	JarJarBinks	intervention_1	gum	Group1	1	
18	3/27/23	JarJarBinks	intervention_1	gum	Group1	3	
20	3/29/23	JarJarBinks	intervention_1	gum	Group1	1	
21	3/30/23	JarJarBinks	intervention_1	gum	Group1	2	
22	3/31/23	JarJarBinks	intervention_1	gum	Group1	2	
23	4/1/23	JarJarBinks	intervention_1	gum	Group1	2	
24	4/2/23	JarJarBinks	intervention_1	gum	Group1	3	
25	4/3/23	JarJarBinks	intervention_1	gum	Group1	2	
27	4/5/23	JarJarBinks	intervention_1	gum	Group1	3	
28	4/6/23	JarJarBinks	intervention_1	gum	Group1	3	
29	4/7/23	JarJarBinks	washout_1	gum-washout	Group1	3	
30	4/8/23	JarJarBinks	washout_1	gum-washout	Group1	3	
31	4/9/23	JarJarBinks	washout_1	gum-washout	Group1	2	
32	4/10/23	JarJarBinks	washout_1	gum-washout	Group1	2	
33	4/11/23	JarJarBinks	washout_1	gum-washout	Group1	2	
34	4/12/23	JarJarBinks	washout_1	gum-washout	Group1	3	
35	4/13/23	JarJarBinks	washout_1	gum-washout	Group1	2	
36	4/14/23	JarJarBinks	washout_1	gum-washout	Group1	2	
37	4/15/23	JarJarBinks	washout_1	gum-washout	Group1	2	
38	4/16/23	JarJarBinks	washout_1	gum-washout	Group1	2	
39	4/17/23	JarJarBinks	washout_1	gum-washout	Group1	2	
41	4/19/23	JarJarBinks	washout_1	gum-washout	Group1	2	
43	4/21/23	JarJarBinks	intervention_2	control	Group1	2	
44	4/22/23	JarJarBinks	intervention_2	control	Group1	2	
45	4/23/23	JarJarBinks	intervention_2	control	Group1	1	
46	4/24/23	JarJarBinks	intervention_2	control	Group1	2	
48	4/26/23	JarJarBinks	intervention_2	control	Group1	2	
49	4/27/23	JarJarBinks	intervention_2	control	Group1	3	
50	4/28/23	JarJarBinks	intervention_2	control	Group1	3	
52	4/30/23	JarJarBinks	intervention_2	control	Group1	2	
53	5/1/23	JarJarBinks	intervention_2	control	Group1	3	
55	5/3/23	JarJarBinks	intervention_2	control	Group1	2	
56	5/4/23	JarJarBinks	intervention_2	control	Group1	2	
57	5/5/23	JarJarBinks	washout_2	control-washout	Group1	2	
58	5/6/23	JarJarBinks	washout_2	control-washout	Group1	3	
59	5/7/23	JarJarBinks	washout_2	control-washout	Group1	3	
60	5/8/23	JarJarBinks	washout_2	control-washout	Group1	2	
61	5/9/23	JarJarBinks	washout_2	control-washout	Group1	3	
62	5/10/23	JarJarBinks	washout_2	control-washout	Group1	2	
63	5/11/23	JarJarBinks	washout_2	control-washout	Group1	3	
64	5/12/23	JarJarBinks	washout_2	control-washout	Group1	2	
65	5/13/23	JarJarBinks	washout_2	control-washout	Group1	3	
66	5/14/23	JarJarBinks	washout_2	control-washout	Group1	3	
67	5/15/23	JarJarBinks	washout_2	control-washout	Group1	2	
68	5/16/23	JarJarBinks	washout_2	control-washout	Group1	2	
69	5/17/23	JarJarBinks	washout_2	control-washout	Group1	2	
70	5/18/23	JarJarBinks	washout_2	control-washout	Group1	3	
3	3/12/2023	Korra	run-in	baseline	Group1	2	Pregnant
4	3/13/23	Korra	run-in	baseline	Group1	2	Pregnant
6	3/15/23	Korra	run-in	baseline	Group1	4	Pregnant
9	3/18/23	Korra	run-in	baseline	Group1	2	Pregnant
11	3/20/23	Korra	run-in	baseline	Group1	1	Pregnant
14	3/23/23	Korra	run-in	baseline	Group1	1	Pregnant
15	3/24/23	Korra	intervention_1	gum	Group1	3	Pregnant
16	3/25/23	Korra	intervention_1	gum	Group1	3	Pregnant
17	3/26/23	Korra	intervention_1	gum	Group1	2	Pregnant
18	3/27/23	Korra	intervention_1	gum	Group1	3	Pregnant
20	3/29/23	Korra	intervention_1	gum	Group1	3	Pregnant
21	3/30/23	Korra	intervention_1	gum	Group1	2	Pregnant
22	3/31/23	Korra	intervention_1	gum	Group1	3	Pregnant
23	4/1/23	Korra	intervention_1	gum	Group1	3	Pregnant
24	4/2/23	Korra	intervention_1	gum	Group1	1	Pregnant
25	4/3/23	Korra	intervention_1	gum	Group1	2	Pregnant
27	4/5/23	Korra	intervention_1	gum	Group1	2	Pregnant
28	4/6/23	Korra	intervention_1	gum	Group1	3	Pregnant
29	4/7/23	Korra	washout_1	gum-washout	Group1	3	Pregnant
30	4/8/23	Korra	washout_1	gum-washout	Group1	3	Pregnant
31	4/9/23	Korra	washout_1	gum-washout	Group1	3	Pregnant
32	4/10/23	Korra	washout_1	gum-washout	Group1	3	Pregnant
33	4/11/23	Korra	washout_1	gum-washout	Group1	2	Pregnant
34	4/12/23	Korra	washout_1	gum-washout	Group1	2	Pregnant
35	4/13/23	Korra	washout_1	gum-washout	Group1	2	Pregnant
36	4/14/23	Korra	washout_1	gum-washout	Group1	3	Pregnant
37	4/15/23	Korra	washout_1	gum-washout	Group1	2	Pregnant
38	4/16/23	Korra	washout_1	gum-washout	Group1	2	Pregnant
39	4/17/23	Korra	washout_1	gum-washout	Group1	2	Pregnant
41	4/19/23	Korra	washout_1	gum-washout	Group1	3	Pregnant
43	4/21/23	Korra	intervention_2	control	Group1	3	Pregnant
44	4/22/23	Korra	intervention_2	control	Group1	3	Pregnant
45	4/23/23	Korra	intervention_2	control	Group1	3	Pregnant
46	4/24/23	Korra	intervention_2	control	Group1	3	Pregnant
48	4/26/23	Korra	intervention_2	control	Group1	3	Pregnant
49	4/27/23	Korra	intervention_2	control	Group1	3	Pregnant
50	4/28/23	Korra	intervention_2	control	Group1	3	Pregnant
52	4/30/23	Korra	intervention_2	control	Group1	3	
53	5/1/23	Korra	intervention_2	control	Group1	3	
55	5/3/23	Korra	intervention_2	control	Group1	3	
56	5/4/23	Korra	intervention_2	control	Group1	3	
57	5/5/23	Korra	washout_2	control-washout	Group1	3	
58	5/6/23	Korra	washout_2	control-washout	Group1	3	
59	5/7/23	Korra	washout_2	control-washout	Group1	3	
60	5/8/23	Korra	washout_2	control-washout	Group1	3	
61	5/9/23	Korra	washout_2	control-washout	Group1	3	
62	5/10/23	Korra	washout_2	control-washout	Group1	3	
63	5/11/23	Korra	washout_2	control-washout	Group1	3	
64	5/12/23	Korra	washout_2	control-washout	Group1	3	
65	5/13/23	Korra	washout_2	control-washout	Group1	3	
66	5/14/23	Korra	washout_2	control-washout	Group1	3	
67	5/15/23	Korra	washout_2	control-washout	Group1	3	
68	5/16/23	Korra	washout_2	control-washout	Group1	3	
69	5/17/23	Korra	washout_2	control-washout	Group1	3	
70	5/18/23	Korra	washout_2	control-washout	Group1	3	
3	3/12/2023	Kubo	run-in	baseline	Group1	1	
3	3/12/2023	Kubo	run-in	baseline	Group1	1	
4	3/13/23	Kubo	run-in	baseline	Group1	1	
9	3/18/23	Kubo	run-in	baseline	Group1	1	
11	3/20/23	Kubo	run-in	baseline	Group1	1	
14	3/23/23	Kubo	run-in	baseline	Group1	2	
15	3/24/23	Kubo	intervention_1	gum	Group1	2	
16	3/25/23	Kubo	intervention_1	gum	Group1	3	
17	3/26/23	Kubo	intervention_1	gum	Group1	1	
18	3/27/23	Kubo	intervention_1	gum	Group1	2	
20	3/29/23	Kubo	intervention_1	gum	Group1	2	
21	3/30/23	Kubo	intervention_1	gum	Group1	2	
22	3/31/23	Kubo	intervention_1	gum	Group1	2	
24	4/2/23	Kubo	intervention_1	gum	Group1	3	
25	4/3/23	Kubo	intervention_1	gum	Group1	2	
27	4/5/23	Kubo	intervention_1	gum	Group1	3	
28	4/6/23	Kubo	intervention_1	gum	Group1	1	
29	4/7/23	Kubo	washout_1	gum-washout	Group1	2	
30	4/8/23	Kubo	washout_1	gum-washout	Group1	2	
31	4/9/23	Kubo	washout_1	gum-washout	Group1	2	
32	4/10/23	Kubo	washout_1	gum-washout	Group1	2	
33	4/11/23	Kubo	washout_1	gum-washout	Group1	3	
34	4/12/23	Kubo	washout_1	gum-washout	Group1	2	
35	4/13/23	Kubo	washout_1	gum-washout	Group1	2	
36	4/14/23	Kubo	washout_1	gum-washout	Group1	2	
37	4/15/23	Kubo	washout_1	gum-washout	Group1	2	
38	4/16/23	Kubo	washout_1	gum-washout	Group1	2	
39	4/17/23	Kubo	washout_1	gum-washout	Group1	2	
41	4/19/23	Kubo	washout_1	gum-washout	Group1	2	
43	4/21/23	Kubo	intervention_2	control	Group1	2	
44	4/22/23	Kubo	intervention_2	control	Group1	3	
45	4/23/23	Kubo	intervention_2	control	Group1	1	
46	4/24/23	Kubo	intervention_2	control	Group1	2	
48	4/26/23	Kubo	intervention_2	control	Group1	2	
49	4/27/23	Kubo	intervention_2	control	Group1	2	
50	4/28/23	Kubo	intervention_2	control	Group1	2	
52	4/30/23	Kubo	intervention_2	control	Group1	2	
53	5/1/23	Kubo	intervention_2	control	Group1	2	
55	5/3/23	Kubo	intervention_2	control	Group1	2	
56	5/4/23	Kubo	intervention_2	control	Group1	2	
57	5/5/23	Kubo	washout_2	control-washout	Group1	2	
58	5/6/23	Kubo	washout_2	control-washout	Group1	2	
58	5/6/23	Kubo	washout_2	control-washout	Group1	2	
59	5/7/23	Kubo	washout_2	control-washout	Group1	2	
60	5/8/23	Kubo	washout_2	control-washout	Group1	2	
61	5/9/23	Kubo	washout_2	control-washout	Group1	3	
62	5/10/23	Kubo	washout_2	control-washout	Group1	2	
63	5/11/23	Kubo	washout_2	control-washout	Group1	2	
64	5/12/23	Kubo	washout_2	control-washout	Group1	3	
65	5/13/23	Kubo	washout_2	control-washout	Group1	2	
66	5/14/23	Kubo	washout_2	control-washout	Group1	2	
67	5/15/23	Kubo	washout_2	control-washout	Group1	2	
68	5/16/23	Kubo	washout_2	control-washout	Group1	2	
69	5/17/23	Kubo	washout_2	control-washout	Group1	2	
70	5/18/23	Kubo	washout_2	control-washout	Group1	2	
2	3/11/2023	Ophelia	run-in	baseline	Group1	1	
3	3/12/2023	Ophelia	run-in	baseline	Group1	1	
4	3/13/23	Ophelia	run-in	baseline	Group1	1	
6	3/15/23	Ophelia	run-in	baseline	Group1	1	
7	3/16/23	Ophelia	run-in	baseline	Group1	1	
9	3/18/23	Ophelia	run-in	baseline	Group1	1	
11	3/20/23	Ophelia	run-in	baseline	Group1	2	
14	3/23/23	Ophelia	run-in	baseline	Group1	2	
15	3/24/23	Ophelia	intervention_1	gum	Group1	1	
16	3/25/23	Ophelia	intervention_1	gum	Group1	1	
17	3/26/23	Ophelia	intervention_1	gum	Group1	2	
18	3/27/23	Ophelia	intervention_1	gum	Group1	2	
19	3/28/23	Ophelia	intervention_1	gum	Group1	2	
20	3/29/23	Ophelia	intervention_1	gum	Group1	1	
21	3/30/23	Ophelia	intervention_1	gum	Group1	1	
22	3/31/23	Ophelia	intervention_1	gum	Group1	1	
24	4/2/23	Ophelia	intervention_1	gum	Group1	1	
25	4/3/23	Ophelia	intervention_1	gum	Group1	1	
27	4/5/23	Ophelia	intervention_1	gum	Group1	3	
28	4/6/23	Ophelia	intervention_1	gum	Group1	2	
29	4/7/23	Ophelia	washout_1	gum-washout	Group1	1	
30	4/8/23	Ophelia	washout_1	gum-washout	Group1	1	
31	4/9/23	Ophelia	washout_1	gum-washout	Group1	1	
32	4/10/23	Ophelia	washout_1	gum-washout	Group1	1	
33	4/11/23	Ophelia	washout_1	gum-washout	Group1	2	
34	4/12/23	Ophelia	washout_1	gum-washout	Group1	1	
35	4/13/23	Ophelia	washout_1	gum-washout	Group1	1	
36	4/14/23	Ophelia	washout_1	gum-washout	Group1	1	
37	4/15/23	Ophelia	washout_1	gum-washout	Group1	1	
38	4/16/23	Ophelia	washout_1	gum-washout	Group1	1	
39	4/17/23	Ophelia	washout_1	gum-washout	Group1	1	
41	4/19/23	Ophelia	washout_1	gum-washout	Group1	1	
43	4/21/23	Ophelia	intervention_2	control	Group1	2	
44	4/22/23	Ophelia	intervention_2	control	Group1	2	
45	4/23/23	Ophelia	intervention_2	control	Group1	2	
46	4/24/23	Ophelia	intervention_2	control	Group1	1	
48	4/26/23	Ophelia	intervention_2	control	Group1	1	
49	4/27/23	Ophelia	intervention_2	control	Group1	2	
50	4/28/23	Ophelia	intervention_2	control	Group1	1	
52	4/30/23	Ophelia	intervention_2	control	Group1	1	
53	5/1/23	Ophelia	intervention_2	control	Group1	1	
55	5/3/23	Ophelia	intervention_2	control	Group1	1	
56	5/4/23	Ophelia	intervention_2	control	Group1	2	
57	5/5/23	Ophelia	washout_2	control-washout	Group1	2	
58	5/6/23	Ophelia	washout_2	control-washout	Group1	2	
59	5/7/23	Ophelia	washout_2	control-washout	Group1	3	
60	5/8/23	Ophelia	washout_2	control-washout	Group1	2	
61	5/9/23	Ophelia	washout_2	control-washout	Group1	2	
62	5/10/23	Ophelia	washout_2	control-washout	Group1	2	
63	5/11/23	Ophelia	washout_2	control-washout	Group1	2	
64	5/12/23	Ophelia	washout_2	control-washout	Group1	2	
65	5/13/23	Ophelia	washout_2	control-washout	Group1	2	
66	5/14/23	Ophelia	washout_2	control-washout	Group1	2	
67	5/15/23	Ophelia	washout_2	control-washout	Group1	1	
68	5/16/23	Ophelia	washout_2	control-washout	Group1	2	
69	5/17/23	Ophelia	washout_2	control-washout	Group1	2	
70	5/18/23	Ophelia	washout_2	control-washout	Group1	1	
1	3/10/2023	Wolverine	run-in	baseline	Group1	1	
2	3/11/2023	Wolverine	run-in	baseline	Group1	1	
3	3/12/2023	Wolverine	run-in	baseline	Group1	1	
4	3/13/23	Wolverine	run-in	baseline	Group1	1	
6	3/15/23	Wolverine	run-in	baseline	Group1	3	
9	3/18/23	Wolverine	run-in	baseline	Group1	1	
11	3/20/23	Wolverine	run-in	baseline	Group1	1	
14	3/23/23	Wolverine	run-in	baseline	Group1	2	
15	3/24/23	Wolverine	intervention_1	gum	Group1	1	
16	3/25/23	Wolverine	intervention_1	gum	Group1	1	
17	3/26/23	Wolverine	intervention_1	gum	Group1	2	
18	3/27/23	Wolverine	intervention_1	gum	Group1	2	
19	3/28/23	Wolverine	intervention_1	gum	Group1	2	
20	3/29/23	Wolverine	intervention_1	gum	Group1	2	
21	3/30/23	Wolverine	intervention_1	gum	Group1	3	
22	3/31/23	Wolverine	intervention_1	gum	Group1	2	
23	4/1/23	Wolverine	intervention_1	gum	Group1	2	
24	4/2/23	Wolverine	intervention_1	gum	Group1	2	
25	4/3/23	Wolverine	intervention_1	gum	Group1	1	
27	4/5/23	Wolverine	intervention_1	gum	Group1	1	
28	4/6/23	Wolverine	intervention_1	gum	Group1	1	
29	4/7/23	Wolverine	washout_1	gum-washout	Group1	1	
30	4/8/23	Wolverine	washout_1	gum-washout	Group1	1	
31	4/9/23	Wolverine	washout_1	gum-washout	Group1	2	
32	4/10/23	Wolverine	washout_1	gum-washout	Group1	1	
33	4/11/23	Wolverine	washout_1	gum-washout	Group1	1	
34	4/12/23	Wolverine	washout_1	gum-washout	Group1	2	
35	4/13/23	Wolverine	washout_1	gum-washout	Group1	1	
36	4/14/23	Wolverine	washout_1	gum-washout	Group1	2	
37	4/15/23	Wolverine	washout_1	gum-washout	Group1	1	
38	4/16/23	Wolverine	washout_1	gum-washout	Group1	2	
39	4/17/23	Wolverine	washout_1	gum-washout	Group1	2	
41	4/19/23	Wolverine	washout_1	gum-washout	Group1	2	
43	4/21/23	Wolverine	intervention_2	control	Group1	2	
44	4/22/23	Wolverine	intervention_2	control	Group1	2	
45	4/23/23	Wolverine	intervention_2	control	Group1	2	
46	4/24/23	Wolverine	intervention_2	control	Group1	2	
48	4/26/23	Wolverine	intervention_2	control	Group1	2	
49	4/27/23	Wolverine	intervention_2	control	Group1	2	
50	4/28/23	Wolverine	intervention_2	control	Group1	2	
52	4/30/23	Wolverine	intervention_2	control	Group1	3	
53	5/1/23	Wolverine	intervention_2	control	Group1	2	
55	5/3/23	Wolverine	intervention_2	control	Group1	2	
56	5/4/23	Wolverine	intervention_2	control	Group1	2	
57	5/5/23	Wolverine	washout_2	control-washout	Group1	2	
58	5/6/23	Wolverine	washout_2	control-washout	Group1	2	
59	5/7/23	Wolverine	washout_2	control-washout	Group1	2	
60	5/8/23	Wolverine	washout_2	control-washout	Group1	2	
61	5/9/23	Wolverine	washout_2	control-washout	Group1	2	
62	5/10/23	Wolverine	washout_2	control-washout	Group1	2	
63	5/11/23	Wolverine	washout_2	control-washout	Group1	2	
64	5/12/23	Wolverine	washout_2	control-washout	Group1	2	
65	5/13/23	Wolverine	washout_2	control-washout	Group1	3	
66	5/14/23	Wolverine	washout_2	control-washout	Group1	2	
67	5/15/23	Wolverine	washout_2	control-washout	Group1	2	
68	5/16/23	Wolverine	washout_2	control-washout	Group1	2	
69	5/17/23	Wolverine	washout_2	control-washout	Group1	2	
70	5/18/23	Wolverine	washout_2	control-washout	Group1	2	
1	3/10/2023	Goose	run-in	baseline	Group1	2	
2	3/11/2023	Goose	run-in	baseline	Group1	1	
3	3/12/2023	Goose	run-in	baseline	Group1	2	
4	3/13/23	Goose	run-in	baseline	Group1	2	
7	3/16/23	Goose	run-in	baseline	Group1	2	
