Sequence_ID	Extract_ID	Sample_ID	Seq_ID	Library_Tube	Library_Tube_ID	Library_Barcode	F_Primer	R_Primer	Run_ID	Final_Lib_Conc_ng_uL	Vol_Added_Pool_uL
KOR-20-DRS-S29	DNA1-KOR-20-DRS	KOR-20-DRS	CM003	6	S29	barcode06	27F	1492R	MIN_16_2024-3-6	0.714	5.6
KUB-20-MGE-S30	DNA1-KUB-20-MGE	KUB-20-MGE	CM003	7	S30	barcode07	27F	1492R	MIN_16_2024-3-6	0.225	9
IRI-29-MGE-S31	DNA1-IRI-29-MGE	IRI-29-MGE	CM003	8	S31	barcode08	27F	1492R	MIN_16_2024-3-6	0.307	9
HAM-31-MGE-S32	DNA1-HAM-31-MGE	HAM-31-MGE	CM003	9	S32	barcode09	27F	1492R	MIN_16_2024-3-6	5.2	0.8
JAR-32-DRS-S33	DNA1-JAR-32-DRS	JAR-32-DRS	CM003	10	S33	barcode10	27F	1492R	MIN_16_2024-3-6	5.2	0.8
JAR-32-MGE-S34	DNA1-JAR-32-MGE	JAR-32-MGE	CM003	11	S34	barcode11	27F	1492R	MIN_16_2024-3-6	5.5	0.7
FRA-44-DRS-S35	DNA1-FRA-44-DRS	FRA-44-DRS	CM003	12	S35	barcode12	27F	1492R	MIN_16_2024-3-6	5.3	0.8
IVY-45-MGE-S36	DNA1-IVY-45-MGE	IVY-45-MGE	CM003	13	S36	barcode13	27F	1492R	MIN_16_2024-3-6	6.4	0.6
LAM-46-MGE-S37	DNA1-LAM-46-MGE	LAM-46-MGE	CM003	14	S37	barcode14	27F	1492R	MIN_16_2024-3-6	5.5	0.7
CHA-46-MGE-S38	DNA1-CHA-46-MGE	CHA-46-MGE	CM003	15	S38	barcode15	27F	1492R	MIN_16_2024-3-6	6.8	0.6
IRI-48-MGE-S39	DNA1-IRI-48-MGE	IRI-48-MGE	CM003	16	S39	barcode16	27F	1492R	MIN_16_2024-3-6	6.7	0.6
MAR-48-MGE-S40	DNA1-MAR-48-MGE	MAR-48-MGE	CM003	17	S40	barcode17	27F	1492R	MIN_16_2024-3-6	5.6	0.7
KUB-50-MGE-S41	DNA1-KUB-50-MGE	KUB-50-MGE	CM003	18	S41	barcode18	27F	1492R	MIN_16_2024-3-6	7.4	0.5
GIN-58-MGE-S42	DNA1-GIN-58-MGE	GIN-58-MGE	CM003	19	S42	barcode19	27F	1492R	MIN_16_2024-3-6	6.2	0.6
GOO-59-MGE-S43	DNA1-GOO-59-MGE	GOO-59-MGE	CM003	20	S43	barcode20	27F	1492R	MIN_16_2024-3-6	6.4	0.6
HAM-22-MGE-S44	DNA1-HAM-22-MGE	HAM-22-MGE	CM003	21	S44	barcode21	27F	1492R	MIN_16_2024-3-6	4.71	0.9
KUB-24-MGE-S45	DNA1-KUB-24-MGE	KUB-24-MGE	CM003	22	S45	barcode22	27F	1492R	MIN_16_2024-3-6	8.6	0.5
GRO-24-MGE-S46	DNA1-GRO-24-MGE	GRO-24-MGE	CM003	23	S46	barcode23	27F	1492R	MIN_16_2024-3-6	8.3	0.5
CM-NTC-003	NTC	NTC3	CM003	24	CTRL	barcode24	27F	1492R	MIN_16_2024-3-6	NA	NA
BUD-28-MGE-S47	DNA1-BUD-28-MGE	BUD-28-MGE	CM004	1	S47	barcode01	27F	1492R	MIN_16_2024-2-29	7.3	0.6
HER-67-MGE-S48	DNA1-HER-67-MGE	HER-67-MGE	CM004	2	S48	barcode02	27F	1492R	MIN_16_2024-2-29	5.3	0.8
IVY-67-MGE-S49	DNA1-IVY-67-MGE	IVY-67-MGE	CM004	3	S49	barcode03	27F	1492R	MIN_16_2024-2-29	5.5	0.7
JAR-68-MGE-S50	DNA1-JAR-68-MGE	JAR-68-MGE	CM004	4	S50	barcode04	27F	1492R	MIN_16_2024-2-29	4.66	0.9
FRA-68-MGE-S51	DNA1-FRA-68-MGE	FRA-68-MGE	CM004	5	S51	barcode05	27F	1492R	MIN_16_2024-2-29	1.87	2.1
JOA-36-MGE-S52	DNA1-JOA-36-MGE	JOA-36-MGE	CM004	6	S52	barcode06	27F	1492R	MIN_16_2024-2-29	6.8	0.6
IVY-44-DRS-S53	DNA1-IVY-44-DRS	IVY-44-DRS	CM004	7	S53	barcode07	27F	1492R	MIN_16_2024-2-29	2.32	1.7
IVY-44-MGE-S54	DNA1-IVY-44-MGE	IVY-44-MGE	CM004	8	S54	barcode08	27F	1492R	MIN_16_2024-2-29	2.58	1.6
CHA-44-MGE-S55	DNA1-CHA-44-MGE	CHA-44-MGE	CM004	9	S55	barcode09	27F	1492R	MIN_16_2024-2-29	8.2	0.5
JAR-45-MGE-S56	DNA1-JAR-45-MGE	JAR-45-MGE	CM004	10	S56	barcode10	27F	1492R	MIN_16_2024-2-29	5.4	0.7
FRA-45-DRS-S57	DNA1-FRA-45-DRS	FRA-45-DRS	CM004	11	S57	barcode11	27F	1492R	MIN_16_2024-2-29	5.7	0.7
GOO-46-DRS-S58	DNA1-GOO-46-DRS	GOO-46-DRS	CM004	12	S58	barcode12	27F	1492R	MIN_16_2024-2-29	6.7	0.6
GRO-46-DRS-S59	DNA1-GRO-46-DRS	GRO-46-DRS	CM004	13	S59	barcode13	27F	1492R	MIN_16_2024-2-29	6.3	0.6
GRO-46-MGE-S60	DNA1-GRO-46-MGE	GRO-46-MGE	CM004	14	S60	barcode14	27F	1492R	MIN_16_2024-2-29	7.3	0.6
LAM-48-MGE-S61	DNA1-LAM-48-MGE	LAM-48-MGE	CM004	15	S61	barcode15	27F	1492R	MIN_16_2024-2-29	4.15	1
HEN-36-MGE-S62	DNA1-HEN-36-MGE	HEN-36-MGE	CM004	16	S62	barcode16	27F	1492R	MIN_16_2024-2-29	3.12	1.3
HAM-41-DRS-S63	DNA1-HAM-41-DRS	HAM-41-DRS	CM004	17	S63	barcode17	27F	1492R	MIN_16_2024-2-29	5.3	0.8
HAM-41-MGE-S64	DNA1-HAM-41-MGE	HAM-41-MGE	CM004	18	S64	barcode18	27F	1492R	MIN_16_2024-2-29	6	0.7
JOA-41-DRS-S65	DNA1-JOA-41-DRS	JOA-41-DRS	CM004	19	S65	barcode19	27F	1492R	MIN_16_2024-2-29	4.7	0.9
JOA-41-MGE-S66	DNA1-JOA-41-MGE	JOA-41-MGE	CM004	20	S66	barcode20	27F	1492R	MIN_16_2024-2-29	8.4	0.5
IRI-44-MGE-S67	DNA1-IRI-44-MGE	IRI-44-MGE	CM004	21	S67	barcode21	27F	1492R	MIN_16_2024-2-29	4.68	0.9
GRO-44-DRS-S68	DNA1-GRO-44-DRS	GRO-44-DRS	CM004	22	S68	barcode22	27F	1492R	MIN_16_2024-2-29	7.8	0.5
BUD-48-MGE-S69	DNA1-BUD-48-MGE	BUD-48-MGE	CM004	23	S69	barcode23	27F	1492R	MIN_16_2024-2-29	4.99	0.8
CM-NTC-004	NTC	NTC4	CM004	24	CTRL	barcode24	27F	1492R	MIN_16_2024-2-29	NA	NA
JAR-49-DRS-S70	DNA1-JAR-49-DRS	JAR-49-DRS	CM005	1	S70	barcode01	27F	1492R	MIN_16_2024-3-1	5.8	0.7
FRA-9-MGE-S71	DNA1-FRA-9-MGE	FRA-9-MGE	CM005	2	S71	barcode02	27F	1492R	MIN_16_2024-3-1	4.56	0.9
HER-11-MGE-S72	DNA1-HER-11-MGE	HER-11-MGE	CM005	3	S72	barcode03	27F	1492R	MIN_16_2024-3-1	6.1	0.7
PAD-11-MGE-S73	DNA1-PAD-11-MGE	PAD-11-MGE	CM005	4	S73	barcode04	27F	1492R	MIN_16_2024-3-1	5.1	0.8
KUB-14-MGE-S74	DNA1-KUB-14-MGE	KUB-14-MGE	CM005	5	S74	barcode05	27F	1492R	MIN_16_2024-3-1	2.87	1.4
GIN-14-MGE-S75	DNA1-GIN-14-MGE	GIN-14-MGE	CM005	6	S75	barcode06	27F	1492R	MIN_16_2024-3-1	5.5	0.7
GOO-42-MGE-S76	DNA1-GOO-42-MGE	GOO-42-MGE	CM005	7	S76	barcode07	27F	1492R	MIN_16_2024-3-1	2.49	1.6
LAM-44-DRS-S77	DNA1-LAM-44-DRS	LAM-44-DRS	CM005	8	S77	barcode08	27F	1492R	MIN_16_2024-3-1	4.58	0.9
MAR-44-MGE-S78	DNA1-MAR-44-MGE	MAR-44-MGE	CM005	9	S78	barcode09	27F	1492R	MIN_16_2024-3-1	1.54	2.6
OPH-45-MGE-S79	DNA1-OPH-45-MGE	OPH-45-MGE	CM005	10	S79	barcode10	27F	1492R	MIN_16_2024-3-1	3.34	1.2
IRI-46-MGE-S80	DNA1-IRI-46-MGE	IRI-46-MGE	CM005	11	S80	barcode11	27F	1492R	MIN_16_2024-3-1	6.2	0.6
BUD-46-MGE-S81	DNA1-BUD-46-MGE	BUD-46-MGE	CM005	12	S81	barcode12	27F	1492R	MIN_16_2024-3-1	3.02	1.3
PAD-5-MGE-S82	DNA1-PAD-5-MGE	PAD-5-MGE	CM005	13	S82	barcode13	27F	1492R	MIN_16_2024-3-1	5.8	0.7
KOR-6-DRS-S83	DNA1-KOR-6-DRS	KOR-6-DRS	CM005	14	S83	barcode14	27F	1492R	MIN_16_2024-3-1	3.15	1.3
KOR-6-MGE-S84	DNA1-KOR-6-MGE	KOR-6-MGE	CM005	15	S84	barcode15	27F	1492R	MIN_16_2024-3-1	6.9	0.6
IRI-7-DRS-S85	DNA1-IRI-7-DRS	IRI-7-DRS	CM005	16	S85	barcode16	27F	1492R	MIN_16_2024-3-1	6.6	0.6
IRI-7-MGE-S86	DNA1-IRI-7-MGE	IRI-7-MGE	CM005	17	S86	barcode17	27F	1492R	MIN_16_2024-3-1	6.3	0.6
GIN-7-DRS-S87	DNA1-GIN-7-DRS	GIN-7-DRS	CM005	18	S87	barcode18	27F	1492R	MIN_16_2024-3-1	6.2	0.6
GIN-7-MGE-S88	DNA1-GIN-7-MGE	GIN-7-MGE	CM005	19	S88	barcode19	27F	1492R	MIN_16_2024-3-1	6.6	0.6
JOA-21-MGE-S89	DNA1-JOA-21-MGE	JOA-21-MGE	CM005	20	S89	barcode20	27F	1492R	MIN_16_2024-3-1	5.3	0.8
IVY-24-MGE-S90	DNA1-IVY-24-MGE	IVY-24-MGE	CM005	21	S90	barcode21	27F	1492R	MIN_16_2024-3-1	6.5	0.6
MAR-24-DRS-S91	DNA1-MAR-24-DRS	MAR-24-DRS	CM005	22	S91	barcode22	27F	1492R	MIN_16_2024-3-1	5.2	0.8
IVY-24-DRS-S92	DNA1-IVY-24-DRS	IVY-24-DRS	CM005	23	S92	barcode23	27F	1492R	MIN_16_2024-3-1	5.8	0.7
CM-NTC-005	NTC	NTC5	CM005	24	CTRL	barcode24	27F	1492R	MIN_16_2024-3-1	NA	NA
OPH-37-MGE-S93	DNA1-OPH-37-MGE	OPH-37-MGE	CM006	1	S93	barcode01	27F	1492R	MIN_16_2024-5-19	4.26	0.9
GRO-37-MGE-S94	DNA1-GRO-37-MGE	GRO-37-MGE	CM006	2	S94	barcode02	27F	1492R	MIN_16_2024-5-19	5.4	0.7
OPH-55-MGE-S95	DNA1-OPH-55-MGE	OPH-55-MGE	CM006	3	S95	barcode03	27F	1492R	MIN_16_2024-5-19	1.43	2.8
GIN-55-DRS-S96	DNA1-GIN-55-DRS	GIN-55-DRS	CM006	4	S96	barcode04	27F	1492R	MIN_16_2024-5-19	2.08	1.9
GIN-55-MGE-S97	DNA1-GIN-55-MGE	GIN-55-MGE	CM006	5	S97	barcode05	27F	1492R	MIN_16_2024-5-19	0.788	5.1
BUD-56-MGE-S98	DNA1-BUD-56-MGE	BUD-56-MGE	CM006	6	S98	barcode06	27F	1492R	MIN_16_2024-5-19	2.35	1.7
GOO-58-MGE-S99	DNA1-GOO-58-MGE	GOO-58-MGE	CM006	7	S99	barcode07	27F	1492R	MIN_16_2024-5-19	1.49	2.7
OPH-59-MGE-S100	DNA1-OPH-59-MGE	OPH-59-MGE	CM006	8	S100	barcode08	27F	1492R	MIN_16_2024-5-19	2.5	1.6
IRI-60-MGE-S101	DNA1-IRI-60-MGE	IRI-60-MGE	CM006	9	S101	barcode09	27F	1492R	MIN_16_2024-5-19	2.05	2
MAR-60-MGE-S102	DNA1-MAR-60-MGE	MAR-60-MGE	CM006	10	S102	barcode10	27F	1492R	MIN_16_2024-5-19	1.02	3.9
IVY-9-MGE-S103	DNA1-IVY-9-MGE	IVY-9-MGE	CM006	11	S103	barcode11	27F	1492R	MIN_16_2024-5-19	8.2	0.5
HEN-9-DRS-S104	DNA1-HEN-9-DRS	HEN-9-DRS	CM006	12	S104	barcode12	27F	1492R	MIN_16_2024-5-19	6.1	0.7
HEN-9-MGE-S105	DNA1-HEN-9-MGE	HEN-9-MGE	CM006	13	S105	barcode13	27F	1492R	MIN_16_2024-5-19	6.2	0.6
HER-14-MGE-S106	DNA1-HER-14-MGE	HER-14-MGE	CM006	14	S106	barcode14	27F	1492R	MIN_16_2024-5-19	3.06	1.3
WOL-14-MGE-S107	DNA1-WOL-14-MGE	WOL-14-MGE	CM006	15	S107	barcode15	27F	1492R	MIN_16_2024-5-19	1.98	2
KUB-37-MGE-S108	DNA1-KUB-37-MGE	KUB-37-MGE	CM006	16	S108	barcode16	27F	1492R	MIN_16_2024-5-19	5.6	0.7
JAR-50-MGE-S109	DNA1-JAR-50-MGE	JAR-50-MGE	CM006	17	S109	barcode17	27F	1492R	MIN_16_2024-5-19	3.88	1
CHA-50-MGE-S110	DNA1-CHA-50-MGE	CHA-50-MGE	CM006	18	S110	barcode18	27F	1492R	MIN_16_2024-5-19	3.38	1.2
FRA-56-MGE-S111	DNA1-FRA-56-MGE	FRA-56-MGE	CM006	19	S111	barcode19	27F	1492R	MIN_16_2024-5-19	1.35	3
GOO-37-MGE-S112	DNA1-GOO-37-MGE	GOO-37-MGE	CM006	20	S112	barcode20	27F	1492R	MIN_16_2024-5-19	1.71	2.3
OPH-48-MGE-S113	DNA1-OPH-48-MGE	OPH-48-MGE	CM006	21	S113	barcode21	27F	1492R	MIN_16_2024-5-19	2.82	1.4
FRA-48-MGE-S114	DNA1-FRA-48-MGE	FRA-48-MGE	CM006	22	S114	barcode22	27F	1492R	MIN_16_2024-5-19	2.29	1.8
WOL-49-MGE-S115	DNA1-WOL-49-MGE	WOL-49-MGE	CM006	23	S115	barcode23	27F	1492R	MIN_16_2024-5-19	2.75	1.5
CM-NTC-006	NTC	NTC6	CM006	24	CTRL	barcode24	27F	1492R	MIN_16_2024-5-19	0.0269	1.6
CHA-49-MGE-S116	DNA1-CHA-49-MGE	CHA-49-MGE	CM007	1	S116	barcode01	27F	1492R	MIN_16_2024-5-21	7.2	0.6
LAM-50-MGE-S117	DNA1-LAM-50-MGE	LAM-50-MGE	CM007	2	S117	barcode02	27F	1492R	MIN_16_2024-5-21	2.46	1.6
BUD-50-MGE-S118	DNA1-BUD-50-MGE	BUD-50-MGE	CM007	3	S118	barcode03	27F	1492R	MIN_16_2024-5-21	4.75	0.8
