Sequence_ID	Pipeline	Library_Tube	Library_Barcode	Extract_ID	Sample_ID	Final_Lib_Conc_(ng/uL)	Vol_Added_Pool_(uL)	Seq_ID	Run_ID	Library_Tube_ID	F_Primer	R_Primer
GRO-41-MGE-L190	16S_LSK	31	barcode31	DNA1-GRO-41-MGE	GRO-41-MGE	8.3	2.4	CM001	MIN_16_2023-12-21	L190	27F	1391R
KOR-44-DRS-L191	16S_LSK	32	barcode32	DNA1-KOR-44-DRS	KOR-44-DRS	13	1.5	CM001	MIN_16_2023-12-21	L191	27F	1391R
KOR-44-MGE-L192	16S_LSK	33	barcode33	DNA1-KOR-44-MGE	KOR-44-MGE	7.1	2.8	CM001	MIN_16_2023-12-21	L192	27F	1391R
MAR-41-MGE-L202	16S_LSK	34	barcode34	DNA1-MAR-41-MGE	MAR-41-MGE	4.21	4.7	CM001	MIN_16_2023-12-21	L202	27F	1391R
JAR-44-DRS-L203	16S_LSK	35	barcode35	DNA1-JAR-44-DRS	JAR-44-DRS	8.8	2.2	CM001	MIN_16_2023-12-21	L203	27F	1391R
JAR-44-MGE-L204	16S_LSK	36	barcode36	DNA1-JAR-44-MGE	JAR-44-MGE	1.97	10	CM001	MIN_16_2023-12-21	L204	27F	1391R
KUB-58-DRS-L205	16S_LSK	37	barcode37	DNA1-KUB-58-DRS	KUB-58-DRS	1.2	16.4	CM001	MIN_16_2023-12-21	L205	27F	1391R
KUB-58-MGE-L206	16S_LSK	38	barcode38	DNA1-KUB-58-MGE	KUB-58-MGE	3.05	6.4	CM001	MIN_16_2023-12-21	L206	27F	1391R
HAM-67-DRS-L207	16S_LSK	39	barcode39	DNA1-HAM-67-DRS	HAM-67-DRS	3.25	6	CM001	MIN_16_2023-12-21	L207	27F	1391R
HAM-67-MGE-L208	16S_LSK	40	barcode40	DNA1-HAM-67-MGE	HAM-67-MGE	2.35	8.4	CM001	MIN_16_2023-12-21	L208	27F	1391R
MAR-70-DRS-L209	16S_LSK	41	barcode41	DNA1-MAR-70-DRS	MAR-70-DRS	4.68	4.2	CM001	MIN_16_2023-12-21	L209	27F	1391R
GRO-36-MGE-L214	16S_LSK	42	barcode42	DNA1-GRO-36-MGE	GRO-36-MGE	9.2	2.1	CM001	MIN_16_2023-12-21	L214	27F	1391R
KOR-58-MGE-L215	16S_LSK	43	barcode43	DNA1-KOR-58-MGE	KOR-58-MGE	3.33	5.9	CM001	MIN_16_2023-12-21	L215	27F	1391R
GRO-70-DRS-L217	16S_LSK	44	barcode44	DNA1-GRO-70-DRS	GRO-70-DRS	3.51	5.6	CM001	MIN_16_2023-12-21	L217	27F	1391R
LAM-2-DRS-L218	16S_LSK	45	barcode45	DNA1-LAM-2-DRS	LAM-2-DRS	1.65	11.9	CM001	MIN_16_2023-12-21	L218	27F	1391R
LAM-2-MGE-L219	16S_LSK	46	barcode46	DNA1-LAM-2-MGE	LAM-2-MGE	1.21	16.2	CM001	MIN_16_2023-12-21	L219	27F	1391R
JAR-3-DRS-L220	16S_LSK	47	barcode47	DNA1-JAR-3-DRS	JAR-3-DRS	4.14	4.7	CM001	MIN_16_2023-12-21	L220	27F	1391R
JAR-3-MGE-L221	16S_LSK	48	barcode48	DNA1-JAR-3-MGE	JAR-3-MGE	2.19	9	CM001	MIN_16_2023-12-21	L221	27F	1391R
GOO-4-DRS-L222	16S_LSK	49	barcode49	DNA1-GOO-4-DRS	GOO-4-DRS	10	2	CM001	MIN_16_2023-12-21	L222	27F	1391R
GOO-4-MGE-L223	16S_LSK	50	barcode50	DNA1-GOO-4-MGE	GOO-4-MGE	1.6	12.3	CM001	MIN_16_2023-12-21	L223	27F	1391R
MAR-37-MGE-L224	16S_LSK	51	barcode51	DNA1-MAR-37-MGE	MAR-37-MGE	1.94	10.1	CM001	MIN_16_2023-12-21	L224	27F	1391R
JOA-3-MGE-L225	16S_LSK	52	barcode52	DNA1-JOA-3-MGE	JOA-3-MGE	4.64	4.2	CM001	MIN_16_2023-12-21	L225	27F	1391R
IRI-16-MGE-S1	16S_Rap	1	barcode01	DNA1-IRI-16-MGE	IRI-16-MGE	7.2	0.6	CM002	MIN_16_2024-2-12	S1	27F	1492R
WOL-70-MGE-S2	16S_Rap	2	barcode02	DNA1-WOL-70-MGE	WOL-70-MGE	4.55	0.9	CM002	MIN_16_2024-2-12	S2	27F	1492R
JAR-2-DRS-S3	16S_Rap	3	barcode03	DNA1-JAR-2-DRS	JAR-2-DRS	7.4	0.5	CM002	MIN_16_2024-2-12	S3	27F	1492R
JAR-2-MGE-S4	16S_Rap	4	barcode04	DNA1-JAR-2-MGE	JAR-2-MGE	8.9	0.5	CM002	MIN_16_2024-2-12	S4	27F	1492R
HAM-17-MGE-S5	16S_Rap	5	barcode05	DNA1-HAM-17-MGE	HAM-17-MGE	1.64	2.4	CM002	MIN_16_2024-2-12	S5	27F	1492R
WOL-44-MGE-S6	16S_Rap	6	barcode06	DNA1-WOL-44-MGE	WOL-44-MGE	7.2	0.6	CM002	MIN_16_2024-2-12	S6	27F	1492R
GRO-41-MGE-S7	16S_Rap	7	barcode07	DNA1-GRO-41-MGE	GRO-41-MGE	6.9	0.6	CM002	MIN_16_2024-2-12	S7	27F	1492R
KOR-44-MGE-S8	16S_Rap	8	barcode08	DNA1-KOR-44-MGE	KOR-44-MGE	2.79	1.4	CM002	MIN_16_2024-2-12	S8	27F	1492R
MAR-41-MGE-S9	16S_Rap	9	barcode09	DNA1-MAR-41-MGE	MAR-41-MGE	7.9	0.5	CM002	MIN_16_2024-2-12	S9	27F	1492R
JAR-44-MGE-S10	16S_Rap	10	barcode10	DNA1-JAR-44-MGE	JAR-44-MGE	2.21	1.8	CM002	MIN_16_2024-2-12	S10	27F	1492R
KUB-58-MGE-S11	16S_Rap	11	barcode11	DNA1-KUB-58-MGE	KUB-58-MGE	6.5	0.6	CM002	MIN_16_2024-2-12	S11	27F	1492R
HAM-67-MGE-S12	16S_Rap	12	barcode12	DNA1-HAM-67-MGE	HAM-67-MGE	7.5	0.5	CM002	MIN_16_2024-2-12	S12	27F	1492R
GRO-36-MGE-S13	16S_Rap	13	barcode13	DNA1-GRO-36-MGE	GRO-36-MGE	6.5	0.6	CM002	MIN_16_2024-2-12	S13	27F	1492R
KOR-58-MGE-S14	16S_Rap	14	barcode14	DNA1-KOR-58-MGE	KOR-58-MGE	7.2	0.6	CM002	MIN_16_2024-2-12	S14	27F	1492R
GRO-70-DRS-S15	16S_Rap	15	barcode15	DNA1-GRO-70-DRS	GRO-70-DRS	7.3	0.6	CM002	MIN_16_2024-2-12	S15	27F	1492R
LAM-2-DRS-S16	16S_Rap	16	barcode16	DNA1-LAM-2-DRS	LAM-2-DRS	8	0.5	CM002	MIN_16_2024-2-12	S16	27F	1492R
LAM-2-MGE-S17	16S_Rap	17	barcode17	DNA1-LAM-2-MGE	LAM-2-MGE	5.6	0.7	CM002	MIN_16_2024-2-12	S17	27F	1492R
JAR-3-DRS-S18	16S_Rap	18	barcode18	DNA1-JAR-3-DRS	JAR-3-DRS	5.6	0.7	CM002	MIN_16_2024-2-12	S18	27F	1492R
JAR-3-MGE-S19	16S_Rap	19	barcode19	DNA1-JAR-3-MGE	JAR-3-MGE	4.96	0.8	CM002	MIN_16_2024-2-12	S19	27F	1492R
GOO-4-DRS-S20	16S_Rap	20	barcode20	DNA1-GOO-4-DRS	GOO-4-DRS	7.9	0.5	CM002	MIN_16_2024-2-12	S20	27F	1492R
GOO-4-MGE-S21	16S_Rap	21	barcode21	DNA1-GOO-4-MGE	GOO-4-MGE	7.1	0.6	CM002	MIN_16_2024-2-12	S21	27F	1492R
MAR-37-MGE-S22	16S_Rap	22	barcode22	DNA1-MAR-37-MGE	MAR-37-MGE	7.1	0.6	CM002	MIN_16_2024-2-12	S22	27F	1492R
JOA-3-MGE-S23	16S_Rap	23	barcode23	DNA1-JOA-3-MGE	JOA-3-MGE	5.9	0.7	CM002	MIN_16_2024-2-12	S23	27F	1492R
CM-NTC-002	16S_Rap	24	barcode24	NTC	NTC2			CM002	MIN_16_2024-2-12	CTRL	27F	1492R
PAD-6-MGE-S24	16S_Rap	1	barcode01	DNA1-PAD-6-MGE	PAD-6-MGE	0.433	9	CM003	MIN_16_2024-3-6	S24	27F	1492R
IRI-11-MGE-S25	16S_Rap	2	barcode02	DNA1-IRI-11-MGE	IRI-11-MGE	0.0984	9	CM003	MIN_16_2024-3-6	S25	27F	1492R
LAM-18-MGE-S26	16S_Rap	3	barcode03	DNA1-LAM-18-MGE	LAM-18-MGE	0.428	9	CM003	MIN_16_2024-3-6	S26	27F	1492R
HER-19-MGE-S27	16S_Rap	4	barcode04	DNA1-HER-19-MGE	HER-19-MGE	0.253	9	CM003	MIN_16_2024-3-6	S27	27F	1492R
MAR-36-MGE-S28	16S_Rap	5	barcode05	DNA1-MAR-36-MGE	MAR-36-MGE	0.13	9	CM003	MIN_16_2024-3-6	S28	27F	1492R
KOR-20-DRS-S29	16S_Rap	6	barcode06	DNA1-KOR-20-DRS	KOR-20-DRS	0.714	5.6	CM003	MIN_16_2024-3-6	S29	27F	1492R
KUB-20-MGE-S30	16S_Rap	7	barcode07	DNA1-KUB-20-MGE	KUB-20-MGE	0.225	9	CM003	MIN_16_2024-3-6	S30	27F	1492R
IRI-29-MGE-S31	16S_Rap	8	barcode08	DNA1-IRI-29-MGE	IRI-29-MGE	0.307	9	CM003	MIN_16_2024-3-6	S31	27F	1492R
HAM-31-MGE-S32	16S_Rap	9	barcode09	DNA1-HAM-31-MGE	HAM-31-MGE	5.2	0.8	CM003	MIN_16_2024-3-6	S32	27F	1492R
JAR-32-DRS-S33	16S_Rap	10	barcode10	DNA1-JAR-32-DRS	JAR-32-DRS	5.2	0.8	CM003	MIN_16_2024-3-6	S33	27F	1492R
JAR-32-MGE-S34	16S_Rap	11	barcode11	DNA1-JAR-32-MGE	JAR-32-MGE	5.5	0.7	CM003	MIN_16_2024-3-6	S34	27F	1492R
FRA-44-DRS-S35	16S_Rap	12	barcode12	DNA1-FRA-44-DRS	FRA-44-DRS	5.3	0.8	CM003	MIN_16_2024-3-6	S35	27F	1492R
IVY-45-MGE-S36	16S_Rap	13	barcode13	DNA1-IVY-45-MGE	IVY-45-MGE	6.4	0.6	CM003	MIN_16_2024-3-6	S36	27F	1492R
LAM-46-MGE-S37	16S_Rap	14	barcode14	DNA1-LAM-46-MGE	LAM-46-MGE	5.5	0.7	CM003	MIN_16_2024-3-6	S37	27F	1492R
CHA-46-MGE-S38	16S_Rap	15	barcode15	DNA1-CHA-46-MGE	CHA-46-MGE	6.8	0.6	CM003	MIN_16_2024-3-6	S38	27F	1492R
IRI-48-MGE-S39	16S_Rap	16	barcode16	DNA1-IRI-48-MGE	IRI-48-MGE	6.7	0.6	CM003	MIN_16_2024-3-6	S39	27F	1492R
MAR-48-MGE-S40	16S_Rap	17	barcode17	DNA1-MAR-48-MGE	MAR-48-MGE	5.6	0.7	CM003	MIN_16_2024-3-6	S40	27F	1492R
KUB-50-MGE-S41	16S_Rap	18	barcode18	DNA1-KUB-50-MGE	KUB-50-MGE	7.4	0.5	CM003	MIN_16_2024-3-6	S41	27F	1492R
GIN-58-MGE-S42	16S_Rap	19	barcode19	DNA1-GIN-58-MGE	GIN-58-MGE	6.2	0.6	CM003	MIN_16_2024-3-6	S42	27F	1492R
GOO-59-MGE-S43	16S_Rap	20	barcode20	DNA1-GOO-59-MGE	GOO-59-MGE	6.4	0.6	CM003	MIN_16_2024-3-6	S43	27F	1492R
HAM-22-MGE-S44	16S_Rap	21	barcode21	DNA1-HAM-22-MGE	HAM-22-MGE	4.71	0.9	CM003	MIN_16_2024-3-6	S44	27F	1492R
KUB-24-MGE-S45	16S_Rap	22	barcode22	DNA1-KUB-24-MGE	KUB-24-MGE	8.6	0.5	CM003	MIN_16_2024-3-6	S45	27F	1492R
GRO-24-MGE-S46	16S_Rap	23	barcode23	DNA1-GRO-24-MGE	GRO-24-MGE	8.3	0.5	CM003	MIN_16_2024-3-6	S46	27F	1492R
CM-NTC-003	16S_Rap	24	barcode24	NTC	NTC3			CM003	MIN_16_2024-3-6	CTRL	27F	1492R
BUD-28-MGE-S47	16S_Rap	1	barcode01	DNA1-BUD-28-MGE	BUD-28-MGE	7.3	0.6	CM004	MIN_16_2024-2-29	S47	27F	1492R
HER-67-MGE-S48	16S_Rap	2	barcode02	DNA1-HER-67-MGE	HER-67-MGE	5.3	0.8	CM004	MIN_16_2024-2-29	S48	27F	1492R
IVY-67-MGE-S49	16S_Rap	3	barcode03	DNA1-IVY-67-MGE	IVY-67-MGE	5.5	0.7	CM004	MIN_16_2024-2-29	S49	27F	1492R
JAR-68-MGE-S50	16S_Rap	4	barcode04	DNA1-JAR-68-MGE	JAR-68-MGE	4.66	0.9	CM004	MIN_16_2024-2-29	S50	27F	1492R
FRA-68-MGE-S51	16S_Rap	5	barcode05	DNA1-FRA-68-MGE	FRA-68-MGE	1.87	2.1	CM004	MIN_16_2024-2-29	S51	27F	1492R
JOA-36-MGE-S52	16S_Rap	6	barcode06	DNA1-JOA-36-MGE	JOA-36-MGE	6.8	0.6	CM004	MIN_16_2024-2-29	S52	27F	1492R
IVY-44-DRS-S53	16S_Rap	7	barcode07	DNA1-IVY-44-DRS	IVY-44-DRS	2.32	1.7	CM004	MIN_16_2024-2-29	S53	27F	1492R
IVY-44-MGE-S54	16S_Rap	8	barcode08	DNA1-IVY-44-MGE	IVY-44-MGE	2.58	1.6	CM004	MIN_16_2024-2-29	S54	27F	1492R
CHA-44-MGE-S55	16S_Rap	9	barcode09	DNA1-CHA-44-MGE	CHA-44-MGE	8.2	0.5	CM004	MIN_16_2024-2-29	S55	27F	1492R
JAR-45-MGE-S56	16S_Rap	10	barcode10	DNA1-JAR-45-MGE	JAR-45-MGE	5.4	0.7	CM004	MIN_16_2024-2-29	S56	27F	1492R
FRA-45-DRS-S57	16S_Rap	11	barcode11	DNA1-FRA-45-DRS	FRA-45-DRS	5.7	0.7	CM004	MIN_16_2024-2-29	S57	27F	1492R
GOO-46-DRS-S58	16S_Rap	12	barcode12	DNA1-GOO-46-DRS	GOO-46-DRS	6.7	0.6	CM004	MIN_16_2024-2-29	S58	27F	1492R
GRO-46-DRS-S59	16S_Rap	13	barcode13	DNA1-GRO-46-DRS	GRO-46-DRS	6.3	0.6	CM004	MIN_16_2024-2-29	S59	27F	1492R
GRO-46-MGE-S60	16S_Rap	14	barcode14	DNA1-GRO-46-MGE	GRO-46-MGE	7.3	0.6	CM004	MIN_16_2024-2-29	S60	27F	1492R
LAM-48-MGE-S61	16S_Rap	15	barcode15	DNA1-LAM-48-MGE	LAM-48-MGE	4.15	1	CM004	MIN_16_2024-2-29	S61	27F	1492R
HEN-36-MGE-S62	16S_Rap	16	barcode16	DNA1-HEN-36-MGE	HEN-36-MGE	3.12	1.3	CM004	MIN_16_2024-2-29	S62	27F	1492R
HAM-41-DRS-S63	16S_Rap	17	barcode17	DNA1-HAM-41-DRS	HAM-41-DRS	5.3	0.8	CM004	MIN_16_2024-2-29	S63	27F	1492R
HAM-41-MGE-S64	16S_Rap	18	barcode18	DNA1-HAM-41-MGE	HAM-41-MGE	6	0.7	CM004	MIN_16_2024-2-29	S64	27F	1492R
JOA-41-DRS-S65	16S_Rap	19	barcode19	DNA1-JOA-41-DRS	JOA-41-DRS	4.7	0.9	CM004	MIN_16_2024-2-29	S65	27F	1492R
JOA-41-MGE-S66	16S_Rap	20	barcode20	DNA1-JOA-41-MGE	JOA-41-MGE	8.4	0.5	CM004	MIN_16_2024-2-29	S66	27F	1492R
IRI-44-MGE-S67	16S_Rap	21	barcode21	DNA1-IRI-44-MGE	IRI-44-MGE	4.68	0.9	CM004	MIN_16_2024-2-29	S67	27F	1492R
GRO-44-DRS-S68	16S_Rap	22	barcode22	DNA1-GRO-44-DRS	GRO-44-DRS	7.8	0.5	CM004	MIN_16_2024-2-29	S68	27F	1492R
BUD-48-MGE-S69	16S_Rap	23	barcode23	DNA1-BUD-48-MGE	BUD-48-MGE	4.99	0.8	CM004	MIN_16_2024-2-29	S69	27F	1492R
CM-NTC-004	16S_Rap	24	barcode24	NTC	NTC4			CM004	MIN_16_2024-2-29	CTRL	27F	1492R
JAR-49-DRS-S70	16S_Rap	1	barcode01	DNA1-JAR-49-DRS	JAR-49-DRS	5.8	0.7	CM005	MIN_16_2024-3-1	S70	27F	1492R
FRA-9-MGE-S71	16S_Rap	2	barcode02	DNA1-FRA-9-MGE	FRA-9-MGE	4.56	0.9	CM005	MIN_16_2024-3-1	S71	27F	1492R
HER-11-MGE-S72	16S_Rap	3	barcode03	DNA1-HER-11-MGE	HER-11-MGE	6.1	0.7	CM005	MIN_16_2024-3-1	S72	27F	1492R
PAD-11-MGE-S73	16S_Rap	4	barcode04	DNA1-PAD-11-MGE	PAD-11-MGE	5.1	0.8	CM005	MIN_16_2024-3-1	S73	27F	1492R
KUB-14-MGE-S74	16S_Rap	5	barcode05	DNA1-KUB-14-MGE	KUB-14-MGE	2.87	1.4	CM005	MIN_16_2024-3-1	S74	27F	1492R
GIN-14-MGE-S75	16S_Rap	6	barcode06	DNA1-GIN-14-MGE	GIN-14-MGE	5.5	0.7	CM005	MIN_16_2024-3-1	S75	27F	1492R
GOO-42-MGE-S76	16S_Rap	7	barcode07	DNA1-GOO-42-MGE	GOO-42-MGE	2.49	1.6	CM005	MIN_16_2024-3-1	S76	27F	1492R
LAM-44-DRS-S77	16S_Rap	8	barcode08	DNA1-LAM-44-DRS	LAM-44-DRS	4.58	0.9	CM005	MIN_16_2024-3-1	S77	27F	1492R
MAR-44-MGE-S78	16S_Rap	9	barcode09	DNA1-MAR-44-MGE	MAR-44-MGE	1.54	2.6	CM005	MIN_16_2024-3-1	S78	27F	1492R
OPH-45-MGE-S79	16S_Rap	10	barcode10	DNA1-OPH-45-MGE	OPH-45-MGE	3.34	1.2	CM005	MIN_16_2024-3-1	S79	27F	1492R
IRI-46-MGE-S80	16S_Rap	11	barcode11	DNA1-IRI-46-MGE	IRI-46-MGE	6.2	0.6	CM005	MIN_16_2024-3-1	S80	27F	1492R
BUD-46-MGE-S81	16S_Rap	12	barcode12	DNA1-BUD-46-MGE	BUD-46-MGE	3.02	1.3	CM005	MIN_16_2024-3-1	S81	27F	1492R
PAD-5-MGE-S82	16S_Rap	13	barcode13	DNA1-PAD-5-MGE	PAD-5-MGE	5.8	0.7	CM005	MIN_16_2024-3-1	S82	27F	1492R
KOR-6-DRS-S83	16S_Rap	14	barcode14	DNA1-KOR-6-DRS	KOR-6-DRS	3.15	1.3	CM005	MIN_16_2024-3-1	S83	27F	1492R
KOR-6-MGE-S84	16S_Rap	15	barcode15	DNA1-KOR-6-MGE	KOR-6-MGE	6.9	0.6	CM005	MIN_16_2024-3-1	S84	27F	1492R
IRI-7-DRS-S85	16S_Rap	16	barcode16	DNA1-IRI-7-DRS	IRI-7-DRS	6.6	0.6	CM005	MIN_16_2024-3-1	S85	27F	1492R
IRI-7-MGE-S86	16S_Rap	17	barcode17	DNA1-IRI-7-MGE	IRI-7-MGE	6.3	0.6	CM005	MIN_16_2024-3-1	S86	27F	1492R
GIN-7-DRS-S87	16S_Rap	18	barcode18	DNA1-GIN-7-DRS	GIN-7-DRS	6.2	0.6	CM005	MIN_16_2024-3-1	S87	27F	1492R
GIN-7-MGE-S88	16S_Rap	19	barcode19	DNA1-GIN-7-MGE	GIN-7-MGE	6.6	0.6	CM005	MIN_16_2024-3-1	S88	27F	1492R
JOA-21-MGE-S89	16S_Rap	20	barcode20	DNA1-JOA-21-MGE	JOA-21-MGE	5.3	0.8	CM005	MIN_16_2024-3-1	S89	27F	1492R
IVY-24-MGE-S90	16S_Rap	21	barcode21	DNA1-IVY-24-MGE	IVY-24-MGE	6.5	0.6	CM005	MIN_16_2024-3-1	S90	27F	1492R
MAR-24-DRS-S91	16S_Rap	22	barcode22	DNA1-MAR-24-DRS	MAR-24-DRS	5.2	0.8	CM005	MIN_16_2024-3-1	S91	27F	1492R
IVY-24-DRS-S92	16S_Rap	23	barcode23	DNA1-IVY-24-DRS	IVY-24-DRS	5.8	0.7	CM005	MIN_16_2024-3-1	S92	27F	1492R
CM-NTC-005	16S_Rap	24	barcode24	NTC	NTC5			CM005	MIN_16_2024-3-1	CTRL	27F	1492R
OPH-37-MGE-S93	16S_Rap	1	barcode01	DNA1-OPH-37-MGE	OPH-37-MGE	4.26	0.9	CM006	MIN_16_2024-5-19	S93	27F	1492R
GRO-37-MGE-S94	16S_Rap	2	barcode02	DNA1-GRO-37-MGE	GRO-37-MGE	5.4	0.7	CM006	MIN_16_2024-5-19	S94	27F	1492R
OPH-55-MGE-S95	16S_Rap	3	barcode03	DNA1-OPH-55-MGE	OPH-55-MGE	1.43	2.8	CM006	MIN_16_2024-5-19	S95	27F	1492R
GIN-55-DRS-S96	16S_Rap	4	barcode04	DNA1-GIN-55-DRS	GIN-55-DRS	2.08	1.9	CM006	MIN_16_2024-5-19	S96	27F	1492R
GIN-55-MGE-S97	16S_Rap	5	barcode05	DNA1-GIN-55-MGE	GIN-55-MGE	0.788	5.1	CM006	MIN_16_2024-5-19	S97	27F	1492R
BUD-56-MGE-S98	16S_Rap	6	barcode06	DNA1-BUD-56-MGE	BUD-56-MGE	2.35	1.7	CM006	MIN_16_2024-5-19	S98	27F	1492R
GOO-58-MGE-S99	16S_Rap	7	barcode07	DNA1-GOO-58-MGE	GOO-58-MGE	1.49	2.7	CM006	MIN_16_2024-5-19	S99	27F	1492R
OPH-59-MGE-S100	16S_Rap	8	barcode08	DNA1-OPH-59-MGE	OPH-59-MGE	2.5	1.6	CM006	MIN_16_2024-5-19	S100	27F	1492R
IRI-60-MGE-S101	16S_Rap	9	barcode09	DNA1-IRI-60-MGE	IRI-60-MGE	2.05	2	CM006	MIN_16_2024-5-19	S101	27F	1492R
MAR-60-MGE-S102	16S_Rap	10	barcode10	DNA1-MAR-60-MGE	MAR-60-MGE	1.02	3.9	CM006	MIN_16_2024-5-19	S102	27F	1492R
IVY-9-MGE-S103	16S_Rap	11	barcode11	DNA1-IVY-9-MGE	IVY-9-MGE	8.2	0.5	CM006	MIN_16_2024-5-19	S103	27F	1492R
HEN-9-DRS-S104	16S_Rap	12	barcode12	DNA1-HEN-9-DRS	HEN-9-DRS	6.1	0.7	CM006	MIN_16_2024-5-19	S104	27F	1492R
HEN-9-MGE-S105	16S_Rap	13	barcode13	DNA1-HEN-9-MGE	HEN-9-MGE	6.2	0.6	CM006	MIN_16_2024-5-19	S105	27F	1492R
