"ID"	"Ivy_17"	"Ophelia_20"	"Franc_22"	"Grogu_22"	"Hamlet_23"	"Franc_24"	"Hera_24"	"Ivy_24"	"Kubo_24"	"Ophelia_24"	"Henry_25"	"Kubo_25"	"Ginger_44"	"Iris_44"	"Korra_45"	"Hamlet_46"	"Joans_46"	"Ginger_47"	"Marshmallow_47"	"Charles_48"	"Grogu_48"	"Hera_48"	"Kubo_48"	"Kubo_49"	"Franc_50"	"Kubo_52"	"Kubo_53"	"Marshmallow_53"	"Ginger_55"	"Ophelia_55"	"Buddy_56"
"g__Asteroleplasma"	2	15	0	0	0	1	0	6	0	29	0	0	0	16	0	0	0	0	0	0	0	0	0	7	11	0	12	0	0	2	0
"g__Porcincola"	2	2	9	1	1	9	1	2	5	0	1	1	2	5	4	3	2	2	4	1	1	4	4	1	3	3	3	0	16	4	4
"g__Hominisplanchenecus"	1	4	8	1	2	2	1	6	5	9	0	3	0	9	2	0	1	1	3	0	0	2	10	6	1	3	7	0	1	8	1
"g__Colibacter"	2	0	7	0	0	4	0	4	4	0	0	0	7	23	1	0	0	11	1	0	0	0	4	0	2	0	1	0	6	0	3
"g__Hoylesella"	8	0	8	0	0	9	0	0	0	0	0	0	0	43	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	2
"g__Marvinbryantia"	0	4	2	0	0	2	2	4	3	3	3	1	0	2	7	1	4	0	5	2	1	7	2	1	5	2	6	0	2	1	2
"g__Anaeromassilibacillus"	0	2	1	0	3	5	0	6	0	1	2	4	0	0	0	0	0	0	0	13	0	1	8	8	0	0	6	0	0	4	1
"g__Sodaliphilus"	1	3	1	0	0	3	1	2	1	5	2	6	1	0	2	1	0	5	2	0	1	1	4	1	1	3	1	0	5	4	0
"g__Streptococcus"	0	3	0	0	7	0	4	5	4	2	4	0	0	1	4	1	0	3	0	0	0	1	0	3	0	0	2	0	8	1	3
"g__Eisenbergiella"	2	1	2	0	0	3	0	0	4	1	0	2	0	1	1	4	0	0	0	0	0	6	7	3	4	4	10	0	0	0	1
"g__Thermophilibacter"	1	3	0	0	0	2	0	1	1	6	2	1	2	1	3	1	0	1	0	0	0	1	1	3	0	2	12	0	1	3	1
"g__Anaerocolumna"	2	1	2	0	1	4	0	2	3	1	0	1	2	1	1	2	2	1	3	0	0	3	2	1	2	1	1	0	3	1	1
"g__Kineothrix"	0	2	6	1	0	3	0	2	0	1	3	1	0	3	1	0	0	2	2	0	0	2	2	1	3	0	4	0	2	2	1
"g__Catenibacillus"	0	4	0	0	0	2	0	3	0	15	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0
"g__Alloprevotella"	0	1	0	0	1	0	1	0	4	2	1	2	0	0	3	1	0	0	1	2	0	0	0	0	0	3	0	0	0	1	5
"g__Muribaculum"	0	0	0	0	0	2	0	4	1	0	0	0	0	18	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"g__Alistipes"	0	0	0	0	1	1	3	0	0	0	0	4	0	2	0	3	0	0	0	0	0	8	0	0	0	4	1	0	0	0	0
"g__Parolsenella"	1	0	0	0	0	1	0	0	1	0	3	1	2	0	2	4	0	3	0	0	0	1	1	0	0	0	0	0	5	1	0
"g__Eubacterium"	0	1	1	0	0	0	1	0	1	4	0	0	0	6	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	3	0
"g__Hungatella"	0	0	0	0	1	0	0	4	0	1	0	0	0	1	0	0	0	0	0	4	0	1	3	1	0	0	2	0	0	2	1
"g__Roseburia"	0	0	2	0	0	0	1	3	2	1	0	0	0	2	1	1	0	1	0	0	0	1	2	0	0	0	0	0	2	0	1
"g__Pantoea"	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
"g__Caecibacter"	0	0	1	0	0	0	0	1	0	0	1	0	1	2	1	1	0	6	1	0	0	0	1	1	0	0	0	0	2	0	0
"g__Gluceribacter"	1	0	2	0	0	1	0	2	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	2	0	1	0	2	1	1
"g__Qiania"	1	0	3	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	2	1	1
"g__Kosakonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Drancourtella"	0	0	2	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	2	0
"g__Faecalimonas"	0	0	2	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	3	0
"g__Atlantibacter"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Gemella"	0	2	0	0	0	0	1	1	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1
"g__Latilactobacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0
"g__Marseilla"	1	0	0	0	0	0	0	0	0	1	3	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Olsenella"	0	0	0	0	0	1	0	0	1	1	0	0	0	2	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0
"g__Murimonas"	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	1	0	0	2	0
"g__Caecibacteroides"	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"g__Proteus"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	4	0
"g__Canicola"	1	2	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
"g__Granulicatella"	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1
"g__Jingyaoa"	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0
"g__Leyella"	0	0	1	0	0	1	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"g__Abiotrophia"	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1
"g__Merdimonas"	0	0	2	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"g__Clostridioides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
"g__Anaeroglobus"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	1	0	0
"g__Caproiciproducens"	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
"g__Bariatricus"	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
"g__Neisseria"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0
"g__Vescimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0
"g__Veillonella"	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Lautropia"	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"g__Aggregatibacter"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
"g__Corynebacterium"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
"g__Pusillibacter"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
"g__Cuneatibacter"	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"g__Diplocloster"	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Campylobacter"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
"g__Agathobaculum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"g__Acetatifactor"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
"g__Anaerosacchariphilus"	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Coprococcus"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
"g__Fusimonas"	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Jutongia"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
"g__Sellimonas"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
"g__Heminiphilus"	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Cardiobacterium"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Arachnia"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"g__Enorma"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"g__Paraeggerthella"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Enterococcus"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"g__Acetivibrio"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"g__Anaerotruncus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"g__Dysosmobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
"g__Lawsonibacter"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"g__Novisyntrophococcus"	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Sporofaciens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"g__Velocimicrobium"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Metaprevotella"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"g__Pelistega"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"g__Pseudescherichia"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"g__Salmonella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"g__Glaesserella"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
